sample_id,step,t,w_t,geo_loss,grad_norm,prior_velocity_norm,guidance_velocity_norm,guided_velocity_norm,effective_guidance_ratio,guidance_mode,mu,alpha
0,0,0.015625,0.0,0.9867162108421326,0.08647742122411728,2070.66845703125,0.0,2070.66845703125,0.0,relative,0.01,0.0
0,1,0.046875,0.0,0.9852743148803711,0.08928239345550537,2063.66162109375,0.0,2063.66162109375,0.0,relative,0.01,0.0
0,2,0.078125,0.0,0.9835584759712219,0.09226023405790329,2062.406982421875,0.0,2062.406982421875,0.0,relative,0.01,0.0
0,3,0.109375,0.0,0.9813441634178162,0.09541535377502441,2062.074462890625,0.0,2062.074462890625,0.0,relative,0.01,0.0
0,4,0.140625,0.0,0.9786052107810974,0.09875527769327164,2060.502197265625,0.0,2060.502197265625,0.0,relative,0.01,0.0
0,5,0.171875,0.0,0.9753740429878235,0.10229136049747467,2056.49169921875,0.0,2056.49169921875,0.0,relative,0.01,0.0
0,6,0.203125,0.0,0.9715274572372437,0.10602651536464691,2060.712890625,0.0,2060.712890625,0.0,relative,0.01,0.0
0,7,0.234375,0.0,0.9669442176818848,0.1099773421883583,2055.881591796875,0.0,2055.881591796875,0.0,relative,0.01,0.0
0,8,0.265625,0.0,0.9616013765335083,0.11413981020450592,2054.0126953125,0.0,2054.0126953125,0.0,relative,0.01,0.0
0,9,0.296875,0.0,0.955543577671051,0.11854590475559235,2058.804931640625,0.0,2058.804931640625,0.0,relative,0.01,0.0
0,10,0.328125,0.0,0.9484645128250122,0.12321552634239197,2058.3076171875,0.0,2058.3076171875,0.0,relative,0.01,0.0
0,11,0.359375,0.0,0.9400635361671448,0.12815630435943604,2059.6240234375,0.0,2059.6240234375,0.0,relative,0.01,0.0
0,12,0.390625,0.0,0.9299259185791016,0.13339757919311523,2044.1197509765625,0.0,2044.1197509765625,0.0,relative,0.01,0.0
0,13,0.421875,0.0,0.9177551865577698,0.1389123648405075,2054.283935546875,0.0,2054.283935546875,0.0,relative,0.01,0.0
0,14,0.453125,0.0,0.9027974605560303,0.14478671550750732,2049.1650390625,0.0,2049.1650390625,0.0,relative,0.01,0.0
0,15,0.484375,0.0,0.8844016194343567,0.1509929746389389,2054.82958984375,0.0,2054.82958984375,0.0,relative,0.01,0.0
0,16,0.515625,0.0009765625,0.8614769577980042,0.15757043659687042,2038.015380859375,0.0,2038.015380859375,0.0,relative,0.01,0.0
0,17,0.546875,0.0087890625,0.8328744769096375,0.16434139013290405,2045.0546875,0.0,2045.0546875,0.0,relative,0.01,0.0
0,18,0.578125,0.0244140625,0.7969617247581482,0.17118383944034576,2048.095458984375,0.0,2048.095458984375,0.0,relative,0.01,0.0
0,19,0.609375,0.0478515625,0.7522798180580139,0.17742317914962769,2052.892578125,0.0,2052.892578125,0.0,relative,0.01,0.0
0,20,0.640625,0.0791015625,0.6967968344688416,0.18212859332561493,2051.605712890625,0.0,2051.605712890625,0.0,relative,0.01,0.0
0,21,0.671875,0.1181640625,0.6298990845680237,0.18464677035808563,2050.863525390625,0.0,2050.863525390625,0.0,relative,0.01,0.0
0,22,0.703125,0.1650390625,0.5529977679252625,0.18391203880310059,2050.8037109375,0.0,2050.8037109375,0.0,relative,0.01,0.0
0,23,0.734375,0.2197265625,0.468487024307251,0.18176470696926117,2047.386962890625,0.0,2047.386962890625,0.0,relative,0.01,0.0
0,24,0.765625,0.2822265625,0.37835100293159485,0.17720697820186615,2050.715576171875,0.0,2050.715576171875,0.0,relative,0.01,0.0
0,25,0.796875,0.3525390625,0.2959999144077301,0.145614892244339,2050.67236328125,0.0,2050.67236328125,0.0,relative,0.01,0.0
0,26,0.828125,0.4306640625,0.24427035450935364,0.0964234471321106,2055.335205078125,0.0,2055.335205078125,0.0,relative,0.01,0.0
0,27,0.859375,0.5166015625,0.22636821866035461,0.05427323281764984,2060.934326171875,0.0,2060.934326171875,0.0,relative,0.01,0.0
0,28,0.890625,0.6103515625,0.22498783469200134,0.025504596531391144,2079.1171875,0.0,2079.1171875,0.0,relative,0.01,0.0
0,29,0.921875,0.7119140625,0.22438418865203857,0.011547108180820942,2118.83447265625,0.0,2118.83447265625,0.0,relative,0.01,0.0
0,30,0.953125,0.8212890625,0.22355163097381592,0.010301932692527771,2177.804443359375,0.0,2177.804443359375,0.0,relative,0.01,0.0
0,31,0.984375,0.9384765625,0.22069492936134338,0.008150300942361355,2301.252685546875,0.0,2301.252685546875,0.0,relative,0.01,0.0
1,0,0.015625,0.0,1.0524176359176636,0.09467129409313202,2069.684814453125,0.0,2069.684814453125,0.0,relative,0.01,0.0
1,1,0.046875,0.0,1.051119089126587,0.09771739691495895,2061.8154296875,0.0,2061.8154296875,0.0,relative,0.01,0.0
