sample_id,path,geo_misfit,geo_rank,voxel_accuracy,mean_iou,borehole_consistency
0,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_0.pt,0.1784818023443222,4,0.7007179260253906,0.21386298537254333,0.9991536140441895
1,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_1.pt,0.19962672889232635,7,0.6617698669433594,0.19818463921546936,0.9980956315994263
2,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_2.pt,0.310174822807312,13,0.6892547607421875,0.20766761898994446,0.9978840351104736
3,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_3.pt,0.22929692268371582,9,0.672454833984375,0.19858089089393616,0.9993652105331421
4,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_4.pt,0.24201242625713348,10,0.6461448669433594,0.19357334077358246,0.9980956315994263
5,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_5.pt,0.17919288575649261,6,0.6841659545898438,0.21183046698570251,0.9989420175552368
6,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_6.pt,0.17456568777561188,3,0.6856422424316406,0.20348338782787323,0.9993652105331421
7,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_7.pt,0.2239060252904892,8,0.6491165161132812,0.18730060756206512,0.9985188245773315
8,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_8.pt,0.31095850467681885,14,0.6620597839355469,0.1946593075990677,0.9995768070220947
9,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_9.pt,0.322909951210022,15,0.6616249084472656,0.19761154055595398,0.9987304210662842
10,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_10.pt,0.32962095737457275,16,0.6671562194824219,0.19412009418010712,0.9983072280883789
11,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_11.pt,0.25274592638015747,11,0.6510467529296875,0.18900929391384125,0.9989420175552368
12,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_12.pt,0.15345081686973572,2,0.6783027648925781,0.20451124012470245,0.9997884035110474
13,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_13.pt,0.2569415867328644,12,0.6500396728515625,0.20499595999717712,0.9991536140441895
14,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_14.pt,0.14726769924163818,1,0.67498779296875,0.20601007342338562,0.9983072280883789
15,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_15.pt,0.1789148598909378,5,0.6858444213867188,0.2059725821018219,0.9978840351104736
