sample_id,path,target_label,target_iou,target_precision,target_recall,target_f1,target_volume,predicted_target_volume,target_volume_error,target_volume_error_fraction,target_centroid_distance,target_connected_components,largest_component_fraction,ensemble_probability_overlap_inside_truth,global_geo_misfit,global_voxel_accuracy,global_mean_iou
0,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label7/guided_alpha0_05/sample_0.pt,7,0.07791810482740402,0.2703133225440979,0.09867209196090698,0.1445714682340622,10317.0,3766.0,-6551.0,-0.634971406416594,24.681293487548828,55,0.9453000531067446,0.11961447447538376,0.9397745728492737,0.7006416320800781,0.21362866461277008
1,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label7/guided_alpha0_05/sample_1.pt,7,0.10470141470432281,0.24397315084934235,0.1549869179725647,0.1895560473203659,10317.0,6554.0,-3763.0,-0.3647378113792769,19.634496688842773,65,0.7758620689655172,0.11961447447538376,0.8331881761550903,0.6616134643554688,0.1977989375591278
2,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label7/guided_alpha0_05/sample_2.pt,7,0.12357618659734726,0.32140859961509705,0.1671997606754303,0.21996937692165375,10317.0,5367.0,-4950.0,-0.479790636813027,19.45808219909668,85,0.8140488168436744,0.11961447447538376,0.9822313785552979,0.6891746520996094,0.20732183754444122
3,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label7/guided_alpha0_05/sample_3.pt,7,0.11132753640413284,0.32897940278053284,0.14403411746025085,0.2003505378961563,10317.0,4517.0,-5800.0,-0.5621789279829408,22.471513748168945,90,0.7936683639583795,0.11961447447538376,0.7619901299476624,0.6722908020019531,0.1984262615442276
4,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label7/guided_alpha0_05/sample_4.pt,7,0.06587177515029907,0.16732870042324066,0.09799360483884811,0.12360169738531113,10317.0,6042.0,-4275.0,-0.4143646408839779,20.03775405883789,75,0.5749751737835154,0.11961447447538376,0.9625355005264282,0.646087646484375,0.19317443668842316
5,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label7/guided_alpha0_05/sample_5.pt,7,0.06839092820882797,0.21309255063533783,0.09149947017431259,0.12802603840827942,10317.0,4430.0,-5887.0,-0.5706116119026848,24.247608184814453,62,0.8923250564334085,0.11961447447538376,1.1109135150909424,0.6840858459472656,0.21152882277965546
6,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label7/guided_alpha0_05/sample_6.pt,7,0.07108350843191147,0.392567902803421,0.07986817508935928,0.13273195922374725,10317.0,2099.0,-8218.0,-0.7965493845110012,19.656225204467773,74,0.7374940447832301,0.11961447447538376,0.6505115628242493,0.6855392456054688,0.20336772501468658
7,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label7/guided_alpha0_05/sample_7.pt,7,0.10308998078107834,0.25615930557250977,0.14713579416275024,0.18691128492355347,10317.0,5926.0,-4391.0,-0.4256082194436367,21.493242263793945,72,0.7448531893351333,0.11961447447538376,1.0778263807296753,0.6490631103515625,0.1869688183069229
8,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label7/guided_alpha0_05/sample_8.pt,7,0.06267190724611282,0.1619289368391037,0.09275951981544495,0.11795157194137573,10317.0,5910.0,-4407.0,-0.4271590578656586,24.74469757080078,80,0.9076142131979695,0.11961447447538376,1.3164728879928589,0.6619415283203125,0.19438031315803528
9,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label7/guided_alpha0_05/sample_9.pt,7,0.08168540894985199,0.19685406982898712,0.12251623719930649,0.15103358030319214,10317.0,6421.0,-3896.0,-0.377629155762334,22.355716705322266,89,0.5858900482790843,0.11961447447538376,0.8376089334487915,0.661407470703125,0.19718877971172333
