sample_id,step,t,w_t,geo_loss,grad_norm,prior_velocity_norm,guidance_velocity_norm,guided_velocity_norm,effective_guidance_ratio,guidance_mode,mu,alpha
0,0,0.015625,0.0,2.0270047187805176,0.1079360768198967,2080.95166015625,0.0,2080.95166015625,0.0,relative,0.01,0.05
0,1,0.046875,0.0,2.0210139751434326,0.11130690574645996,2075.549560546875,0.0,2075.549560546875,0.0,relative,0.01,0.05
0,2,0.078125,0.0,2.0141777992248535,0.11486747860908508,2075.4140625,0.0,2075.4140625,0.0,relative,0.01,0.05
0,3,0.109375,0.0,2.0064423084259033,0.11864260584115982,2074.644775390625,0.0,2074.644775390625,0.0,relative,0.01,0.05
0,4,0.140625,0.0,1.9977469444274902,0.12264330685138702,2072.89404296875,0.0,2072.89404296875,0.0,relative,0.01,0.05
0,5,0.171875,0.0,1.9878770112991333,0.12687648832798004,2068.405029296875,0.0,2068.405029296875,0.0,relative,0.01,0.05
0,6,0.203125,0.0,1.9767160415649414,0.13135117292404175,2072.365478515625,0.0,2072.365478515625,0.0,relative,0.01,0.05
0,7,0.234375,0.0,1.964080810546875,0.13610483705997467,2066.763671875,0.0,2066.763671875,0.0,relative,0.01,0.05
0,8,0.265625,0.0,1.9498004913330078,0.1411352902650833,2065.3525390625,0.0,2065.3525390625,0.0,relative,0.01,0.05
0,9,0.296875,0.0,1.9335983991622925,0.14647753536701202,2070.17626953125,0.0,2070.17626953125,0.0,relative,0.01,0.05
0,10,0.328125,0.0,1.9147769212722778,0.15218277275562286,2069.714599609375,0.0,2069.714599609375,0.0,relative,0.01,0.05
0,11,0.359375,0.0,1.8929698467254639,0.15827339887619019,2071.911865234375,0.0,2071.911865234375,0.0,relative,0.01,0.05
0,12,0.390625,0.0,1.8673522472381592,0.1648097187280655,2057.314453125,0.0,2057.314453125,0.0,relative,0.01,0.05
0,13,0.421875,0.0,1.8373678922653198,0.17178364098072052,2068.04736328125,0.0,2068.04736328125,0.0,relative,0.01,0.05
0,14,0.453125,0.0,1.8017017841339111,0.17937476933002472,2063.15625,0.0,2063.15625,0.0,relative,0.01,0.05
0,15,0.484375,0.0,1.7590605020523071,0.1875874549150467,2068.255859375,0.0,2068.255859375,0.0,relative,0.01,0.05
0,16,0.515625,0.0009765625,1.7075048685073853,0.19645413756370544,2051.154052734375,0.10015400499105453,2051.154296875,4.882812572759576e-05,relative,0.01,0.05
0,17,0.546875,0.0087890625,1.6442135572433472,0.20556388795375824,2058.27099609375,0.9045134782791138,2058.275634765625,0.0004394530551508069,relative,0.01,0.05
0,18,0.578125,0.0244140625,1.561545491218567,0.21396799385547638,2060.530029296875,2.5152952671051025,2060.546875,0.0012207030085846782,relative,0.01,0.05
0,19,0.609375,0.0478515625,1.4517205953598022,0.2205623984336853,2065.25146484375,4.941275119781494,2065.2919921875,0.002392577938735485,relative,0.01,0.05
0,20,0.640625,0.0791015625,1.308262586593628,0.22484290599822998,2063.628173828125,8.161810874938965,2063.708740234375,0.003955078311264515,relative,0.01,0.05
0,21,0.671875,0.1181640625,1.1301312446594238,0.22527475655078888,2061.675048828125,12.180793762207031,2061.812255859375,0.00590820237994194,relative,0.01,0.05
0,22,0.703125,0.1650390625,0.9286054968833923,0.2218235731124878,2060.206787109375,17.000728607177734,2060.396484375,0.008251952938735485,relative,0.01,0.05
0,23,0.734375,0.2197265625,0.7342898845672607,0.22053180634975433,2056.759765625,22.596237182617188,2056.9423828125,0.010986328125,relative,0.01,0.05
0,24,0.765625,0.2822265625,0.5953980088233948,0.21133045852184296,2059.579833984375,29.06340217590332,2059.613525390625,0.014111326076090336,relative,0.01,0.05
0,25,0.796875,0.3525390625,0.5565773844718933,0.17637689411640167,2058.000244140625,36.276268005371094,2057.685791015625,0.01762695051729679,relative,0.01,0.05
0,26,0.828125,0.4306640625,0.5918603539466858,0.12284518778324127,2061.550048828125,44.39177322387695,2060.87451171875,0.02153320237994194,relative,0.01,0.05
0,27,0.859375,0.5166015625,0.6271562576293945,0.11015629023313522,2062.6162109375,53.27753448486328,2062.001708984375,0.02583007700741291,relative,0.01,0.05
0,28,0.890625,0.6103515625,0.6641293168067932,0.1688738912343979,2078.07275390625,63.41774368286133,2077.797607421875,0.03051757626235485,relative,0.01,0.05
0,29,0.921875,0.7119140625,0.6943920254707336,0.16731514036655426,2110.453125,75.12305450439453,2110.3076171875,0.03559570014476776,relative,0.01,0.05
0,30,0.953125,0.8212890625,0.7384353876113892,0.16677197813987732,2156.0390625,88.53656005859375,2155.80322265625,0.04106445237994194,relative,0.01,0.05
0,31,0.984375,0.9384765625,0.74139803647995,0.1215076595544815,2253.9150390625,105.7623062133789,2253.588623046875,0.04692381992936134,relative,0.01,0.05
1,0,0.015625,0.0,2.0051746368408203,0.10562053322792053,2080.9912109375,0.0,2080.9912109375,0.0,relative,0.01,0.05
1,1,0.046875,0.0,1.9994802474975586,0.10904131084680557,2075.621337890625,0.0,2075.621337890625,0.0,relative,0.01,0.05
1,2,0.078125,0.0,1.9929404258728027,0.11266282945871353,2075.686279296875,0.0,2075.686279296875,0.0,relative,0.01,0.05
1,3,0.109375,0.0,1.9854727983474731,0.11650965362787247,2074.97119140625,0.0,2074.97119140625,0.0,relative,0.01,0.05
1,4,0.140625,0.0,1.976991057395935,0.1205989271402359,2073.19921875,0.0,2073.19921875,0.0,relative,0.01,0.05
1,5,0.171875,0.0,1.9672435522079468,0.12494310736656189,2068.67431640625,0.0,2068.67431640625,0.0,relative,0.01,0.05
1,6,0.203125,0.0,1.9561656713485718,0.12956275045871735,2072.580810546875,0.0,2072.580810546875,0.0,relative,0.01,0.05
1,7,0.234375,0.0,1.9435428380966187,0.1345093697309494,2066.83251953125,0.0,2066.83251953125,0.0,relative,0.01,0.05
1,8,0.265625,0.0,1.9291340112686157,0.13978669047355652,2065.294921875,0.0,2065.294921875,0.0,relative,0.01,0.05
1,9,0.296875,0.0,1.912601351737976,0.14543502032756805,2069.9228515625,0.0,2069.9228515625,0.0,relative,0.01,0.05
1,10,0.328125,0.0,1.8932017087936401,0.1515091210603714,2069.318115234375,0.0,2069.318115234375,0.0,relative,0.01,0.05
1,11,0.359375,0.0,1.8704941272735596,0.15802717208862305,2071.45947265625,0.0,2071.45947265625,0.0,relative,0.01,0.05
1,12,0.390625,0.0,1.8435828685760498,0.1650327742099762,2056.69189453125,0.0,2056.69189453125,0.0,relative,0.01,0.05
1,13,0.421875,0.0,1.8118823766708374,0.17248131334781647,2067.282470703125,0.0,2067.282470703125,0.0,relative,0.01,0.05
1,14,0.453125,0.0,1.7740422487258911,0.18050885200500488,2062.284912109375,0.0,2062.284912109375,0.0,relative,0.01,0.05
1,15,0.484375,0.0,1.728808879852295,0.18903157114982605,2067.323486328125,0.0,2067.323486328125,0.0,relative,0.01,0.05
1,16,0.515625,0.0009765625,1.6744778156280518,0.19800521433353424,2050.210693359375,0.10010793805122375,2050.211181640625,4.8828122089616954e-05,relative,0.01,0.05
1,17,0.546875,0.0087890625,1.6086686849594116,0.20698127150535583,2057.322021484375,0.9040964841842651,2057.3271484375,0.00043945308425463736,relative,0.01,0.05
1,18,0.578125,0.0244140625,1.5240709781646729,0.2151414304971695,2059.657958984375,2.514230728149414,2059.675048828125,0.0012207030085846782,relative,0.01,0.05
