sample_id,path,target_label,target_iou,target_precision,target_recall,target_f1,target_volume,predicted_target_volume,target_volume_error,target_volume_error_fraction,target_centroid_distance,target_connected_components,largest_component_fraction,ensemble_probability_overlap_inside_truth,global_geo_misfit,global_voxel_accuracy,global_mean_iou
0,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/baseline_alpha0/sample_0.pt,9,0.014678539708256721,0.10706637799739838,0.016726138070225716,0.028932396322488785,8968.0,1401.0,-7567.0,-0.8437778768956289,26.559911727905273,70,0.4475374732334047,0.01384784746915102,0.9061699509620667,0.5530409216880798,0.14092878997325897
1,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/baseline_alpha0/sample_1.pt,9,0.0087890625,0.24620060622692108,0.009032114408910275,0.01742497645318508,8968.0,329.0,-8639.0,-0.963314005352364,29.028945922851562,18,0.7203647416413373,0.01384784746915102,0.8684685230255127,0.5651286840438843,0.14890122413635254
2,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/baseline_alpha0/sample_2.pt,9,0.0073007927276194096,0.10144927352666855,0.007805530913174152,0.01449575461447239,8968.0,690.0,-8278.0,-0.9230597680642284,17.058940887451172,73,0.23478260869565218,0.01384784746915102,0.8720742464065552,0.5653514266014099,0.1500217616558075
3,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/baseline_alpha0/sample_3.pt,9,0.0088419234380126,0.21134020388126373,0.009143621660768986,0.01752885803580284,8968.0,388.0,-8580.0,-0.9567350579839429,21.295650482177734,57,0.46134020618556704,0.01384784746915102,0.8793866634368896,0.5135329365730286,0.13522963225841522
4,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/baseline_alpha0/sample_4.pt,9,0.014233198016881943,0.0842633917927742,0.016837645322084427,0.028066912665963173,8968.0,1792.0,-7176.0,-0.800178412132025,17.9663143157959,67,0.6032366071428571,0.01384784746915102,0.9144198894500732,0.5637822151184082,0.14800313115119934
5,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/baseline_alpha0/sample_5.pt,9,0.010713192634284496,0.11194030195474625,0.011708295904099941,0.021199272945523262,8968.0,938.0,-8030.0,-0.8954058876003568,16.994304656982422,67,0.38272921108742003,0.01384784746915102,0.8751233220100403,0.5194452404975891,0.14066050946712494
6,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/baseline_alpha0/sample_6.pt,9,0.01225490216165781,0.12711864709854126,0.013380910269916058,0.024213075637817383,8968.0,944.0,-8024.0,-0.8947368421052632,20.942852020263672,74,0.24046610169491525,0.01384784746915102,0.8801264762878418,0.5422489643096924,0.14398251473903656
7,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/baseline_alpha0/sample_7.pt,9,0.01340568158775568,0.22621184587478638,0.014049955643713474,0.026456691324710846,8968.0,557.0,-8411.0,-0.9378902765388046,16.386981964111328,69,0.24775583482944344,0.01384784746915102,0.8615928888320923,0.5489104390144348,0.13894282281398773
8,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/baseline_alpha0/sample_8.pt,9,0.015072764828801155,0.1819322407245636,0.01616859994828701,0.029697902500629425,8968.0,797.0,-8171.0,-0.9111284567350579,18.987924575805664,99,0.3161856963613551,0.01384784746915102,0.8732813000679016,0.5573789477348328,0.1480112224817276
9,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/baseline_alpha0/sample_9.pt,9,0.010749321430921555,0.14365410804748535,0.011485281400382519,0.021270006895065308,8968.0,717.0,-8251.0,-0.9200490633363069,20.427244186401367,47,0.5188284518828452,0.01384784746915102,0.8763331174850464,0.587542712688446,0.1577695608139038
10,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/baseline_alpha0/sample_10.pt,9,0.01799100451171398,0.1479046791791916,0.0200713649392128,0.03534609451889992,8968.0,1217.0,-7751.0,-0.8642952720785013,22.524507522583008,63,0.4067378800328677,0.01384784746915102,0.9082832336425781,0.5545797348022461,0.14516663551330566
11,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/baseline_alpha0/sample_11.pt,9,0.02339119464159012,0.31526389718055725,0.024643175303936005,0.04571310430765152,8968.0,701.0,-8267.0,-0.9218331846565566,17.743629455566406,79,0.49072753209700426,0.01384784746915102,0.8900511860847473,0.5370858907699585,0.14454928040504456
12,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/baseline_alpha0/sample_12.pt,9,0.005750186275690794,0.11320754885673523,0.006021409295499325,0.011434621177613735,8968.0,477.0,-8491.0,-0.9468108831400536,17.910968780517578,78,0.34591194968553457,0.01384784746915102,0.8699247241020203,0.5303535461425781,0.13525141775608063
13,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/baseline_alpha0/sample_13.pt,9,0.02631578966975212,0.22859664261341095,0.028880463913083076,0.05128205195069313,8968.0,1133.0,-7835.0,-0.8736619090098127,16.971271514892578,57,0.6090026478375993,0.01384784746915102,0.8651041984558105,0.5297056436538696,0.14427730441093445
