sample_id,path,geo_misfit,geo_rank,voxel_accuracy,mean_iou,borehole_consistency
0,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_0.pt,0.7013407945632935,10,0.5530358552932739,0.14091460406780243,0.9996961355209351
1,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_1.pt,0.683167576789856,3,0.5651388168334961,0.14891016483306885,0.9996671676635742
2,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_2.pt,0.6971080899238586,6,0.5653514266014099,0.15002061426639557,0.9996961355209351
3,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_3.pt,0.7002063393592834,7,0.5135278701782227,0.13524310290813446,0.9996961355209351
4,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_4.pt,0.7495979070663452,15,0.5638024806976318,0.148018017411232,0.9997250437736511
5,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_5.pt,0.7205659747123718,14,0.5194401741027832,0.1406589299440384,0.9997395277023315
6,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_6.pt,0.7175966501235962,13,0.5422439575195312,0.14399468898773193,0.999754011631012
7,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_7.pt,0.6776621341705322,2,0.5489307045936584,0.13897860050201416,0.9996671676635742
8,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_8.pt,0.7003427147865295,8,0.5573890805244446,0.14801891148090363,0.9996961355209351
9,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_9.pt,0.707125723361969,11,0.5875528454780579,0.1577746421098709,0.9996961355209351
10,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_10.pt,0.7153870463371277,12,0.554584801197052,0.14516498148441315,0.9996961355209351
11,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_11.pt,0.6965392827987671,5,0.5370960235595703,0.14456699788570404,0.9996092915534973
12,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_12.pt,0.6609110832214355,1,0.5303535461425781,0.13525381684303284,0.9996816515922546
13,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_13.pt,0.6877718567848206,4,0.5297157764434814,0.14427484571933746,0.9997395277023315
14,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_14.pt,0.7011359333992004,9,0.5839791297912598,0.16263604164123535,0.9996816515922546
15,project/geodata-3d-conditional/dike-demo-manual/cond_generation_0_label9/guided_alpha005/sample_15.pt,0.7869346737861633,16,0.5687023997306824,0.15118876099586487,0.9997974038124084
