source_case,target_case,pair_type,intersection_voxels,union_voxels,iou,centroid_distance_voxels,source_volume_voxels,target_volume_voxels,symmetric_volume_ratio_min_over_max,source_components_6,target_components_6,source_components_26,target_components_26
fullgeo_case01,fullgeo_case01,diagonal,120,120,1.0,0.0,120,120,1.0,6,6,4,4
fullgeo_case01,fullgeo_case02,off_diagonal,0,16203,0.0,34.2936117125327,120,16083,0.007461294534601754,6,71,4,16
fullgeo_case01,fullgeo_case03,off_diagonal,0,1856,0.0,33.787554782736464,120,1736,0.06912442396313365,6,82,4,2
fullgeo_case01,fullgeo_case04,off_diagonal,0,13413,0.0,44.32117725654916,120,13293,0.009027307605506657,6,3,4,2
fullgeo_case01,fullgeo_case05,off_diagonal,0,4231,0.0,36.628093966886375,120,4111,0.029189978107516418,6,34,4,4
fullgeo_case02,fullgeo_case01,off_diagonal,0,16203,0.0,34.2936117125327,16083,120,0.007461294534601754,71,6,16,4
fullgeo_case02,fullgeo_case02,diagonal,16083,16083,1.0,0.0,16083,16083,1.0,71,71,16,16
fullgeo_case02,fullgeo_case03,off_diagonal,149,17670,0.008432371250707414,20.694652483082812,16083,1736,0.10794006093390536,71,82,16,2
fullgeo_case02,fullgeo_case04,off_diagonal,1100,28276,0.0389022492573207,13.451569601830242,16083,13293,0.8265249020705092,71,3,16,2
fullgeo_case02,fullgeo_case05,off_diagonal,252,19942,0.012636646274195166,16.830331594228372,16083,4111,0.25561151526456505,71,34,16,4
fullgeo_case03,fullgeo_case01,off_diagonal,0,1856,0.0,33.787554782736464,1736,120,0.06912442396313365,82,6,2,4
fullgeo_case03,fullgeo_case02,off_diagonal,149,17670,0.008432371250707414,20.694652483082812,1736,16083,0.10794006093390536,82,71,2,16
fullgeo_case03,fullgeo_case03,diagonal,1736,1736,1.0,0.0,1736,1736,1.0,82,82,2,2
fullgeo_case03,fullgeo_case04,off_diagonal,16,15013,0.001065743022713648,32.61429190302596,1736,13293,0.13059505002632965,82,3,2,2
fullgeo_case03,fullgeo_case05,off_diagonal,45,5802,0.0077559462254395035,30.28064669264276,1736,4111,0.42228168328873755,82,34,2,4
fullgeo_case04,fullgeo_case01,off_diagonal,0,13413,0.0,44.32117725654916,13293,120,0.009027307605506657,3,6,2,4
fullgeo_case04,fullgeo_case02,off_diagonal,1100,28276,0.0389022492573207,13.451569601830242,13293,16083,0.8265249020705092,3,71,2,16
fullgeo_case04,fullgeo_case03,off_diagonal,16,15013,0.001065743022713648,32.61429190302596,13293,1736,0.13059505002632965,3,82,2,2
fullgeo_case04,fullgeo_case04,diagonal,13293,13293,1.0,0.0,13293,13293,1.0,3,3,2,2
fullgeo_case04,fullgeo_case05,off_diagonal,405,16999,0.023824930878286958,14.99755247835793,13293,4111,0.30926051305198227,3,34,2,4
fullgeo_case05,fullgeo_case01,off_diagonal,0,4231,0.0,36.628093966886375,4111,120,0.029189978107516418,34,6,4,4
fullgeo_case05,fullgeo_case02,off_diagonal,252,19942,0.012636646274195166,16.830331594228372,4111,16083,0.25561151526456505,34,71,4,16
fullgeo_case05,fullgeo_case03,off_diagonal,45,5802,0.0077559462254395035,30.28064669264276,4111,1736,0.42228168328873755,34,82,4,2
fullgeo_case05,fullgeo_case04,off_diagonal,405,16999,0.023824930878286958,14.99755247835793,4111,13293,0.30926051305198227,34,3,4,2
fullgeo_case05,fullgeo_case05,diagonal,4111,4111,1.0,0.0,4111,4111,1.0,34,34,4,4
