case_id,sample_id,source_seed,delta_label9_iou,delta_label9_precision,delta_label9_recall,delta_hidden_label9_iou,delta_hidden_label9_precision,delta_hidden_label9_recall,delta_largest_hidden_component_recall,delta_truth_present_miou,delta_global_accuracy,baseline_condition_violation_count,guided_condition_violation_count
fullgeo_case01,0,9301000,-0.0021225009666340664,-0.0020596496944475726,-0.3,-0.0031174229303775544,-0.0031397174254317113,-0.3050847457627119,-0.30392156862745096,-0.002276777484921111,0.010058443357625624,0,0
fullgeo_case01,1,9301001,-0.0024262605948625966,-0.002364126663225975,-0.3333333333333333,-0.0034226063147086505,-0.0034456025497458867,-0.3389830508474576,-0.3333333333333333,-0.00474486920016684,0.007371466496555956,0,0
fullgeo_case01,2,9301002,-0.0019455472571545257,-0.001843711527573976,-0.3083333333333333,-0.002932641696245827,-0.002915648682589992,-0.3135593220338983,-0.3333333333333333,-0.0030657747330955776,0.011856204854600483,0,0
fullgeo_case01,3,9301003,-0.0012503908989023752,-0.0012150447643854625,-0.08333333333333334,-0.002036659877800407,-0.0020824656393169513,-0.0847457627118644,-0.09803921568627451,-0.0018332331538023772,0.0028029614737777875,0,0
fullgeo_case02,0,9311000,-0.09378181838461391,0.016271955615835026,-0.22402536840141765,-0.09493933838537852,-0.0014566263989028716,-0.22454194191698865,-0.21275873769935527,-0.01734155862829795,-0.004486698120781951,0,0
fullgeo_case02,1,9311001,-0.10118984221769828,-0.004687391903993948,-0.21681278368463594,-0.10226431712952112,-0.02236577946532936,-0.21731272591300013,-0.22463522225992535,-0.017450767504630038,-0.0016341026839900574,0,0
fullgeo_case02,2,9311002,-0.09009443153523053,0.03286496899644814,-0.24560094509730773,-0.09134839228249253,0.015340648571502358,-0.24616726910133363,-0.24126230064472343,-0.018393053758752803,0.0035704671361169726,0,0
fullgeo_case02,3,9311003,-0.048775789699506605,0.05211990909193126,-0.09513150531617236,-0.049641204273740844,0.03391327719172835,-0.09535086625950392,-0.10485239226331863,-0.009822361849919137,0.0003211531286454461,0,0
fullgeo_case03,0,9321000,-2.135800691656191e-05,0.007467350667893157,-0.018433179723502304,-0.00047912280615486705,0.0061709231589637675,-0.01846508944027698,-0.09620991253644315,-0.0317856337432115,-0.0030165035687756414,0,0
fullgeo_case03,1,9321001,0.0036837429028172154,0.01235704583092983,-0.003456221198156681,0.0032517557143292714,0.011102945083497469,-0.003462204270051932,-0.020408163265306124,-0.030047366526597036,-0.0014662661886767903,0,0
fullgeo_case03,2,9321002,-0.014184132789540359,-0.009619105765139788,-0.08352534562211981,-0.014705693797380475,-0.011043717616874109,-0.08366993652625505,0.03206997084548105,-0.03415852386529053,-0.00116913735749119,0,0
fullgeo_case03,3,9321003,0.006230076689379152,0.015104496289051264,0.008640552995391706,0.005956043879567008,0.014203743047298097,0.008655510675129834,0.03206997084548105,-0.030632552694533466,-0.004469851112618273,0,0
fullgeo_case04,0,9331000,-0.1605257707679011,-0.018333225403244946,-0.372150756037012,-0.17452426031512033,-0.18557146971094407,-0.3826282001701601,-0.3770910121916643,-0.02195029346438665,0.0035923966749985548,0,0
fullgeo_case04,1,9331001,-0.14379137195692773,0.030568355914265433,-0.4061536146844204,-0.15899396426813092,-0.12117469627857333,-0.4175883672364452,-0.42401474340799544,-0.019445860007291427,0.006667441725280443,0,0
fullgeo_case04,2,9331002,-0.1441322433872949,0.005861005995952545,-0.3656059580230196,-0.15864641837740767,-0.16016185307230085,-0.3758991414649238,-0.36915225404026086,-0.016854137697111443,0.012753589490205108,0,0
fullgeo_case04,3,9331003,-0.1794192852620288,-0.03558638989784546,-0.4117204543744828,-0.1936937249560401,-0.2059164686872151,-0.423311934411014,-0.43620640771193653,-0.024722661437646676,-0.0028483404057431105,0,0
fullgeo_case05,0,9341000,-0.028606045481873277,-0.05597333473349318,-0.05327171004621747,-0.02903772218497495,-0.05945064669018267,-0.05338859093125305,0.0,-0.009276694748418635,-0.0021839488636362647,0,0
fullgeo_case05,1,9341001,-0.026866204745577438,-0.03825389174464954,-0.06981269764047678,-0.02760995245852268,-0.04271921933177152,-0.06996587030716724,-0.010648596321393998,-0.011406084754626122,-0.0010520241477273151,0,0
fullgeo_case05,2,9341002,-0.03323210112991964,-0.0479464431153928,-0.08538068596448553,-0.03397783040490982,-0.052432354892503,-0.08556801560214529,-0.0062923523717328175,-0.012153306231525773,7.54616477272041e-05,0,0
fullgeo_case05,3,9341003,-0.03657487628219455,-0.05466297652143713,-0.09024568231573826,-0.03729217603081697,-0.05907293015429683,-0.09044368600682594,-0.04695062923523717,-0.011465181632038468,0.0006480823863637131,0,0
