step,training_bce
0,0.7615450024604797
50,0.1479237675666809
100,0.08282385021448135
150,0.06606198102235794
200,0.05914448946714401
250,0.05566813051700592
300,0.053719598799943924
350,0.052549831569194794
400,0.05181526765227318
450,0.051339663565158844
500,0.051025401800870895
550,0.05081481114029884
600,0.05067282170057297
650,0.050576526671648026
700,0.05051117017865181
750,0.05046702176332474
800,0.05043737217783928
850,0.05041749030351639
900,0.05040433630347252
950,0.05039572715759277
999,0.05039011314511299
