retained_index,chain_id,iteration,current_hard_seismic_loss,iou,precision,recall,centroid_distance,target_voxel_count,b2_current_binary_sha256_float32,b3_binary_sha256_uint8,index_alignment_verified,binary_hash_alignment_verified
0,0,9,14.403404235839844,0.02450047573739296,0.07816847963571971,0.03445584299732382,13.679037094116211,3953,89cd1dcf0939b7b54103f760a1e6ed8831a944dd5fb32e1d973ca5f4fe58a49c,5b69923b42b91a8efb39010807decfd9856c8b3bb98e7cdf4a1cedc3bf4f15bd,True,True
1,0,10,14.502174377441406,0.022615228108615697,0.07048780487804877,0.032225691347011594,13.296311378479004,4100,5ca67d42442e2d034c018104217136923db66ce2f5bf4e669fca5824021acb62,c7054c6a372e19084066cd1571cf5f8d58ae65cf61e3aca566804fd1f8950be5,True,True
2,0,11,15.466120719909668,0.02388791057346298,0.07082860385925085,0.03479036574487065,12.989358901977539,4405,f6c6874e6962f828176a2900fafc2fdc76c059ceb2779f2a2b922cebe795ca26,78dd54b8637ff6d20e64cfbc8fa5138d1ca17a62262f6403785a4a14658c2a24,True,True
3,0,12,15.858888626098633,0.023307692307692307,0.0698961937716263,0.033786797502230154,12.650402069091797,4335,e36025ec27efea93bee981b87ee2be2d9e4d81f9dbb9b115ffc0cd8343469304,d28f7f36712261300aa870bdf0aff09a115d755489e9bd7b7aee9a2c22960f13,True,True
4,0,13,14.9550199508667,0.023320377568017768,0.07475209763539283,0.03278322925958965,14.326478958129883,3933,62c520d9b1fe20ce870db20b99108d1c2afe7df9f11963c8b4ed327c9897d585,ea02b22695915bef41bab3bbd5da06eb048b89d8d73a99a5c5cf53f41afb7a2c,True,True
5,0,14,14.480363845825195,0.023431294678316124,0.07531273934133265,0.03289473684210526,14.64356803894043,3917,e2bd09610027ec83d0e4f50e74628a29b9028664b772f7b4ca8bd00803805126,d58e28daf6fbf27afd6e0944bd91708949a95966960b418eff9a50353d2ea542,True,True
6,0,15,14.068984985351562,0.02303447172678557,0.07533350771645304,0.032114183764495985,14.384157180786133,3823,87d25a9d5e6de89e2f92a3dd019aa0acf6e74b74adbd6c006e1c04ec65a3c48d,cf1fec8932d814ff1a2fd3c59b05eb4e275e16f88bb2439e7f28a0666b425021,True,True
7,0,16,13.975323677062988,0.023268830961138652,0.07599895534082006,0.03244870651204282,13.978134155273438,3829,dbcf1542e8e1283f715ab25fcb1f876cb0d8c46f88bb9904c44ab29eb01da207,c2f1ff948883dfcef15343238eb3ae3559dfc1b6b22b569d4627c8aaa557f0ae,True,True
8,0,17,14.101483345031738,0.02299298519095869,0.07096463796006736,0.03289473684210526,13.96299934387207,4157,796368a86c8b10d9ff4f837b11a021b8bdf11e77ca9b3b0e58042b59b2b2fd4d,a408839aa5bd880ed9d7965bced3027076b18c08b2bc98ad7cd859ca85d06f98,True,True
9,0,18,13.697871208190918,0.023253968253968253,0.07464968152866241,0.03267172167707404,12.908794403076172,3925,d06e528070c3d3d8fbb738da46259ee020e48cd5e7c5a797b6f014dd5feb12a1,7778f42e6e1197d3aa8750665055d35cd800fab259ccf8c51028dabbbf8651c4,True,True
