sample_group,sample_index,binary_sha256,target_voxel_count,predicted_voxels,true_positive_voxels,false_positive_voxels,false_negative_voxels,precision,recall,iou,centroid_distance
initial,0,d9908e95cf143cdef60931f3a7abf6199248dcce8e976a06e079465fc82845c6,4483,4483,337,4146,8631,0.07517287530671425,0.03757805530776093,0.025697727619338112,13.313899993896484
initial,1,3348123440a5feaddb011dcb0cf855e1bdf0b7c250e811442e2eef72b0a23c61,5872,5872,470,5402,8498,0.0800408719346049,0.0524085637823372,0.032707028531663185,16.421405792236328
initial,2,97536be6a0feed7b0c608119bdf1bda35e79b86e1a3a95fa7e7b6eb7e8c9486b,2819,2819,319,2500,8649,0.1131606952820149,0.03557091882247993,0.02781653296128357,9.15842342376709
initial,3,0c8333058e2db200371a81adb9acb486460bcce0c89d44b0d0b4e5f6ddb78c3b,5531,5531,444,5087,8524,0.08027481468088953,0.04950936663693131,0.03159018143009605,8.382183074951172
retained,0,5b69923b42b91a8efb39010807decfd9856c8b3bb98e7cdf4a1cedc3bf4f15bd,3953,3953,309,3644,8659,0.07816847963571971,0.03445584299732382,0.02450047573739296,13.679037094116211
retained,1,c7054c6a372e19084066cd1571cf5f8d58ae65cf61e3aca566804fd1f8950be5,4100,4100,289,3811,8679,0.07048780487804877,0.032225691347011594,0.022615228108615697,13.296311378479004
retained,2,78dd54b8637ff6d20e64cfbc8fa5138d1ca17a62262f6403785a4a14658c2a24,4405,4405,312,4093,8656,0.07082860385925085,0.03479036574487065,0.02388791057346298,12.989358901977539
retained,3,d28f7f36712261300aa870bdf0aff09a115d755489e9bd7b7aee9a2c22960f13,4335,4335,303,4032,8665,0.0698961937716263,0.033786797502230154,0.023307692307692307,12.650402069091797
retained,4,ea02b22695915bef41bab3bbd5da06eb048b89d8d73a99a5c5cf53f41afb7a2c,3933,3933,294,3639,8674,0.07475209763539283,0.03278322925958965,0.023320377568017768,14.326478958129883
retained,5,d58e28daf6fbf27afd6e0944bd91708949a95966960b418eff9a50353d2ea542,3917,3917,295,3622,8673,0.07531273934133265,0.03289473684210526,0.023431294678316124,14.64356803894043
retained,6,cf1fec8932d814ff1a2fd3c59b05eb4e275e16f88bb2439e7f28a0666b425021,3823,3823,288,3535,8680,0.07533350771645304,0.032114183764495985,0.02303447172678557,14.384157180786133
retained,7,c2f1ff948883dfcef15343238eb3ae3559dfc1b6b22b569d4627c8aaa557f0ae,3829,3829,291,3538,8677,0.07599895534082006,0.03244870651204282,0.023268830961138652,13.978134155273438
retained,8,a408839aa5bd880ed9d7965bced3027076b18c08b2bc98ad7cd859ca85d06f98,4157,4157,295,3862,8673,0.07096463796006736,0.03289473684210526,0.02299298519095869,13.96299934387207
retained,9,7778f42e6e1197d3aa8750665055d35cd800fab259ccf8c51028dabbbf8651c4,3925,3925,293,3632,8675,0.07464968152866241,0.03267172167707404,0.023253968253968253,12.908794403076172
retained,10,5278422ae47e110e801a658cf426ece26709e8fd4ba73ae66735590519289e40,3943,3943,307,3636,8661,0.077859497844281,0.034232827832292596,0.02435734687400825,14.7669038772583
retained,11,c6118a7efefe1877e41d54782925bc0b485e9e96394bf8c3408463593b1d5a1d,3840,3840,283,3557,8685,0.07369791666666667,0.03155664585191793,0.022594810379241517,14.92558479309082
retained,12,5f062f7f780b6898754beffc8adcb9fbd3405bda8f031947d5ba983c1435d46b,3867,3867,285,3582,8683,0.07370054305663305,0.03177966101694915,0.022709163346613544,15.853591918945312
retained,13,44da76452828cf9855d078f7d712449a68cd8ee9e11302d6e335c96f4b716d5c,3894,3894,296,3598,8672,0.07601438109912687,0.03300624442462088,0.023555626293172052,15.368467330932617
retained,14,0bbf28d32feaaa50e5d16cc60265bc2ad075277190e80e22cc5ebc395443bac9,4150,4150,334,3816,8634,0.08048192771084338,0.03724353256021409,0.026126408010012515,14.058753967285156
retained,15,3dc346e6a1b050a6ecd9506c62b63adc00060218b98edf06c9bf57b4bb5c647f,4223,4223,318,3905,8650,0.07530191806772436,0.035459411239964315,0.024702866464693544,13.025813102722168
retained,16,465a91a3f203d31c30ee61749ee5217ac2f61ab191290311c5b72e031f655a29,4204,4204,284,3920,8684,0.0675547098001903,0.03166815343443354,0.02203600248292986,14.120343208312988
retained,17,53a9e32d678bed0cd4d69c60232691a5b25a70a5fe0610b5b5dad38bb3e52de2,4412,4412,324,4088,8644,0.07343608340888486,0.03612845673505798,0.024816176470588234,13.569238662719727
retained,18,93a914ee66da8743f865b13555ad6f3f57d94d67bff64a83dbfb421fba74867d,4425,4425,338,4087,8630,0.07638418079096045,0.037689562890276536,0.02589046342397549,12.778511047363281
retained,19,facfe9f94879cd1febc9c50c48667d3e1a732f1c6b0b3ba39219343b4b37b32f,4240,4240,270,3970,8698,0.06367924528301887,0.030107047279214986,0.020868758695316122,13.70108699798584
retained,20,1b21ad956cde1d09d45f40f913b0508e0b02b83efb7d0c30d4a9588e899ceb0e,4275,4275,274,4001,8694,0.064093567251462,0.030553077609277432,0.021127303570051662,12.97777271270752
retained,21,490abaf42a7d9aa5085d9e61944180683c733d77eb984a11179f69bb58c8b07c,4149,4149,262,3887,8706,0.06314774644492649,0.029214986619090097,0.020381174640217815,14.744423866271973
retained,22,103d3b8b471eb9851745ac6d201f05297c6e0dffe805269d7229cc6fcfbc0f1f,4149,4149,287,3862,8681,0.06917329476982405,0.032002676181980376,0.022369446609508962,14.48232650756836
retained,23,8e59246725c588652709c15089326e6e2c0643976992784cef0b5dab6ccc42db,4367,4367,242,4125,8726,0.055415617128463476,0.026984834968777877,0.018483158939891546,14.486955642700195
retained,24,9f0ec9d199af8b60a055e7399d4154d829a730d8ed2847530470c85f20756ad6,4795,4795,410,4385,8558,0.08550573514077164,0.04571810883140053,0.030704710551935896,15.76578140258789
retained,25,bf05aed5426bff3d385ab7ccc80285186a59cdee9b6a883ea1ec8276fb5d31d4,4822,4822,401,4421,8567,0.08316051430941518,0.04471454058876004,0.029949958921502727,15.965328216552734
retained,26,6f465e5bc180fcf061a7d5fc1880fb94ff8d34a82a28e1ef49272a74ed230150,5059,5059,422,4637,8546,0.08341569480134414,0.04705619982158787,0.031018008085262772,15.8145751953125
retained,27,2d97a03a5c06f1ea265c73df874abeadbdba048b2e786e8e6624fea054d7d7f4,5326,5326,486,4840,8482,0.0912504693954187,0.05419268510258698,0.03519698725376593,15.751814842224121
retained,28,2d97a03a5c06f1ea265c73df874abeadbdba048b2e786e8e6624fea054d7d7f4,5326,5326,486,4840,8482,0.0912504693954187,0.05419268510258698,0.03519698725376593,15.751814842224121
retained,29,8a6176e0864b665d6b6afd517d2ed492dc3644a1c0f43193ee49651d06a62ae8,5116,5116,435,4681,8533,0.08502736512900703,0.04850579839429081,0.031870466700857206,16.223234176635742
retained,30,ec5171f2860ac53ee45eff53a0bce4db93f276b4e10f48fac2d089f76c7fb671,4895,4895,368,4527,8600,0.07517875383043922,0.04103479036574487,0.027269359021859948,17.39615821838379
retained,31,0b8c524ffa3c67b90fa31bc5b625fe76ad8e19f21fd77d6bea4c4be7c0366d3a,5323,5323,382,4941,8586,0.07176404283298891,0.042595896520963426,0.027464231792364655,17.533565521240234
retained,32,c420976afd391ab4de1ae732810d8b60628837946f26f76f4b8b9c5b510fd34f,4835,4835,370,4465,8598,0.07652533609100311,0.04125780553077609,0.02754410779423807,17.674779891967773
