seed,sample_id,baseline_global_voxel_accuracy,baseline_global_mean_iou,baseline_target_iou,baseline_target_precision,baseline_target_recall,baseline_target_volume,baseline_predicted_target_volume,baseline_target_volume_error,baseline_target_volume_error_fraction,baseline_target_absolute_volume_error,baseline_target_absolute_volume_error_fraction,baseline_target_centroid_distance,baseline_target_connected_components,baseline_largest_component_fraction,baseline_selected_target_volume,baseline_predicted_target_volume_inside_roi,baseline_selected_volume_error,baseline_selected_volume_error_fraction,baseline_selected_absolute_volume_error,baseline_selected_absolute_volume_error_fraction,baseline_selected_roi_iou,baseline_selected_roi_precision,baseline_selected_roi_recall,baseline_selected_centroid_distance,baseline_selected_roi_connected_components,baseline_selected_roi_largest_component_fraction,baseline_inside_roi_voxel_accuracy,baseline_outside_roi_voxel_accuracy,baseline_outside_roi_target_iou,baseline_outside_roi_target_precision,baseline_outside_roi_target_recall,baseline_condition_violation_count,baseline_path,guided_global_voxel_accuracy,guided_global_mean_iou,guided_target_iou,guided_target_precision,guided_target_recall,guided_target_volume,guided_predicted_target_volume,guided_target_volume_error,guided_target_volume_error_fraction,guided_target_absolute_volume_error,guided_target_absolute_volume_error_fraction,guided_target_centroid_distance,guided_target_connected_components,guided_largest_component_fraction,guided_selected_target_volume,guided_predicted_target_volume_inside_roi,guided_selected_volume_error,guided_selected_volume_error_fraction,guided_selected_absolute_volume_error,guided_selected_absolute_volume_error_fraction,guided_selected_roi_iou,guided_selected_roi_precision,guided_selected_roi_recall,guided_selected_centroid_distance,guided_selected_roi_connected_components,guided_selected_roi_largest_component_fraction,guided_inside_roi_voxel_accuracy,guided_outside_roi_voxel_accuracy,guided_outside_roi_target_iou,guided_outside_roi_target_precision,guided_outside_roi_target_recall,guided_condition_violation_count,guided_paired_hard_change_count,guided_paired_hard_change_fraction,guided_paired_hard_change_inside_roi,guided_paired_hard_change_outside_roi,guided_paired_target_to_other_count,guided_paired_other_to_target_count,delta_global_voxel_accuracy,delta_global_mean_iou,delta_target_iou,delta_target_precision,delta_target_recall,delta_target_volume_error_fraction,delta_target_absolute_volume_error_fraction,delta_target_centroid_distance,delta_target_connected_components,delta_largest_component_fraction,delta_selected_roi_iou,delta_selected_roi_precision,delta_selected_roi_recall,delta_selected_absolute_volume_error_fraction,delta_selected_centroid_distance,delta_inside_roi_voxel_accuracy,delta_outside_roi_voxel_accuracy,delta_outside_roi_target_iou
42,0,0.5873655676841736,0.19290867447853088,0.02859647939569704,0.0674836861371956,0.04727921498661909,8968,6283,-2685,-0.2993978590544157,2685,0.2993978590544157,24.002561569213867,37,0.7243355085150406,8968,4825,-4143,-0.4619759143621766,4143,0.4619759143621766,0.03171516194180567,0.08787564766839379,0.04727921498661909,23.993736267089844,33,0.7231088082901554,0.5610397381615094,0.6206422333768824,0.0,0.0,nan,0,project/geodata-3d-conditional/experiments/stage1_probability/runs/cond_generation_0/label9/all/phase1b_v4/calibrated_reference_windowed/seed42_n4_s32/baseline/sample_0.pt,0.6344967484474182,0.21147193014621735,0.8128731343283582,0.8326008025988917,0.9716770740410348,8968,10466,1498,0.16703835860838537,1498,0.16703835860838537,4.037562847137451,68,0.39184024460156697,8968,9045,77,0.008586083853702051,77,0.008586083853702051,0.93709000967846,0.9634051962410172,0.9716770740410348,0.8691670894622803,54,0.45339966832504147,0.6454753982429259,0.6206193128423755,0.0,0.0,nan,0,13943,0.053188323974609375,13763,180,4288,8471,0.04713118076324463,0.018563255667686462,0.7842766549326612,0.7651171164616961,0.9243978590544156,0.4664362176628011,-0.13235950044603031,-19.964998722076416,31.0,-0.3324952639134736,0.9053748477366543,0.8755295485726233,0.9243978590544156,-0.45338983050847453,-23.124569177627563,0.08443566008141645,-2.2920534506920553e-05,0.0
42,1,0.6121586561203003,0.1839071363210678,0.024501661129568107,0.08761508761508761,0.03289473684210526,8968,3367,-5601,-0.6245539696699376,5601,0.6245539696699376,24.415714263916016,39,0.7303237303237303,8968,2311,-6657,-0.7423059768064229,6657,0.7423059768064229,0.026857246904588492,0.12765036780614453,0.03289473684210526,22.839153289794922,31,0.6317611423626136,0.5805778942310308,0.6520777464530473,0.0,0.0,nan,0,project/geodata-3d-conditional/experiments/stage1_probability/runs/cond_generation_0/label9/all/phase1b_v4/calibrated_reference_windowed/seed42_n4_s32/baseline/sample_1.pt,0.6561565399169922,0.22125330567359924,0.8542316692667706,0.8718280425913026,0.9769179304192686,8968,10049,1081,0.12053969669937556,1081,0.12053969669937556,3.490896463394165,40,0.40521444919892524,8968,9007,39,0.004348795718108831,39,0.004348795718108831,0.9508356848274365,0.972687909403797,0.9769179304192686,0.5331616401672363,35,0.4520928166981237,0.6594286335983753,0.6520204451167801,0.0,0.0,nan,0,11861,0.045246124267578125,11748,113,1946,8628,0.043997883796691895,0.03734616935253143,0.8297300081372025,0.784212954976215,0.9440231935771632,0.7450936663693132,-0.504014272970562,-20.92481780052185,1.0,-0.3251092811248051,0.9239784379228481,0.8450375415976525,0.9440231935771632,-0.737957181088314,-22.305991649627686,0.07885073936734455,-5.730133626713485e-05,0.0
42,2,0.5951102375984192,0.16651487350463867,0.018205275229357797,0.048491790759831996,0.028322925958965208,8968,5238,-3730,-0.41592328278322926,3730,0.41592328278322926,23.32476234436035,43,0.830278732340588,8968,2641,-6327,-0.7055084745762712,6327,0.7055084745762712,0.022369000440334654,0.09617569102612647,0.028322925958965208,19.342599868774414,34,0.7372207497160167,0.5697344442731896,0.6271860459785922,0.0,0.0,nan,0,project/geodata-3d-conditional/experiments/stage1_probability/runs/cond_generation_0/label9/all/phase1b_v4/calibrated_reference_windowed/seed42_n4_s32/baseline/sample_2.pt,0.6404241919517517,0.21032938361167908,0.7415092741593969,0.7551319648093842,0.9762488849241748,8968,11594,2626,0.29281891168599467,2626,0.29281891168599467,6.539984226226807,46,0.3499223736415387,8968,8991,23,0.0025646743978590546,23,0.0025646743978590546,0.9512168622338114,0.9737515293070849,0.9762488849241748,0.4498584568500519,33,0.45122900678456235,0.6509877875191529,0.6270714433060579,0.0,0.0,nan,0,12452,0.0475006103515625,12280,172,2341,8697,0.04531395435333252,0.043814510107040405,0.7233039989300392,0.7066401740495521,0.9479259589652096,0.7087421944692239,-0.1231043710972346,-16.784778118133545,3.0,-0.4803563586990493,0.9288478617934768,0.8775758382809584,0.9479259589652096,-0.7029438001784122,-18.892741411924362,0.08125334324596323,-0.0001146026725342697,0.0
42,3,0.5751562714576721,0.1643439382314682,0.03941310086561483,0.08062288082381013,0.0715878679750223,8968,7963,-1005,-0.11206512042818911,1005,0.11206512042818911,10.325028419494629,66,0.768554564862489,8968,6222,-2746,-0.30619982158786796,2746,0.30619982158786796,0.04412977728897443,0.10318225650916105,0.0715878679750223,11.412454605102539,60,0.863066538090646,0.5185997805924005,0.6466455797749203,0.0,0.0,nan,0,project/geodata-3d-conditional/experiments/stage1_probability/runs/cond_generation_0/label9/all/phase1b_v4/calibrated_reference_windowed/seed42_n4_s32/baseline/sample_3.pt,0.6222368478775024,0.2090112268924713,0.787027027027027,0.8038277511961722,0.9741302408563782,8968,10868,1900,0.211864406779661,1900,0.211864406779661,3.4538285732269287,87,0.3793706293706294,8968,9236,268,0.029884032114183764,268,0.029884032114183764,0.9226869455006337,0.94586401039411,0.9741302408563782,0.6478109955787659,71,0.4464053702901689,0.602962909235972,0.6465997387059066,0.0,0.0,nan,0,15274,0.05826568603515625,15048,226,5438,8343,0.04708057641983032,0.04466728866100311,0.7476139261614122,0.7232048703723621,0.902542372881356,0.3239295272078501,0.0997992863514719,-6.8711998462677,21.0,-0.3891839354918596,0.8785571682116593,0.842681753884949,0.902542372881356,-0.2763157894736842,-10.764643609523773,0.08436312864357143,-4.5841069013730085e-05,0.0
142,0,0.6026979684829712,0.17453131079673767,0.018963765662038605,0.07301173402868318,0.024977698483496878,8968,3068,-5900,-0.6578947368421053,5900,0.6578947368421053,22.13328742980957,45,0.7297913950456323,8968,2355,-6613,-0.7373996431757359,6613,0.7373996431757359,0.02018199837823227,0.0951167728237792,0.024977698483496878,22.18874168395996,45,0.6577494692144373,0.5603778887911729,0.6561919823970295,0.0,0.0,nan,0,project/geodata-3d-conditional/experiments/stage1_probability/runs/cond_generation_0/label9/all/phase1b_v4/calibrated_reference_windowed/seed142_n4_s32/baseline/sample_0.pt,0.6484523415565491,0.228414386510849,0.8885839178611366,0.909573361082206,0.9746877787689563,8968,9610,642,0.0715878679750223,642,0.0715878679750223,1.9875673055648804,41,0.41966701352757546,8968,8952,-16,-0.001784121320249777,16,0.001784121320249777,0.9522823837019283,0.9764298480786416,0.9746877787689563,0.4666965901851654,30,0.45051385165326185,0.6421026863831292,0.6564784890783653,0.0,0.0,nan,0,11967,0.045650482177734375,11814,153,2119,8661,0.04575437307357788,0.05388307571411133,0.8696201521990979,0.8365616270535228,0.9497100802854594,0.7294826048171276,-0.586306868867083,-20.14572012424469,-4.0,-0.3101243815180568,0.932100385323696,0.8813130752548625,0.9497100802854594,-0.7356155218554862,-21.722045093774796,0.08172479759195628,0.0002865066813357853,0.0
142,1,0.6133127212524414,0.19860239326953888,0.04772978315214232,0.09067815330240778,0.09154772524531668,8968,9054,86,0.00958965209634255,86,0.00958965209634255,11.083229064941406,85,0.8552021206096753,8968,7004,-1964,-0.21900089206066012,1964,0.21900089206066012,0.05418784238664114,0.1172187321530554,0.09154772524531668,9.337265014648438,68,0.8235294117647058,0.5788643390119405,0.6568566778977286,0.0,0.0,nan,0,project/geodata-3d-conditional/experiments/stage1_probability/runs/cond_generation_0/label9/all/phase1b_v4/calibrated_reference_windowed/seed142_n4_s32/baseline/sample_1.pt,0.6610867977142334,0.22516272962093353,0.7630088032772596,0.7775113242739142,0.9761373773416593,8968,11259,2291,0.25546387154326494,2291,0.25546387154326494,3.8069639205932617,66,0.3680611066702194,8968,9270,302,0.03367528991971454,302,0.03367528991971454,0.9230282581189372,0.944336569579288,0.9761373773416593,0.6266693472862244,47,0.4470334412081985,0.6642066420664207,0.6571431845790644,0.0,0.0,nan,0,15609,0.059543609619140625,15408,201,6028,8233,0.04777407646179199,0.026560336351394653,0.7152790201251173,0.6868331709715064,0.8845896520963425,0.2458742194469224,0.2458742194469224,-7.2762651443481445,-19.0,-0.48714101393945586,0.8688404157322961,0.8271178374262327,0.8845896520963425,-0.18532560214094557,-8.710595667362213,0.0853423030544802,0.0002865066813357853,0.0
142,2,0.5887119770050049,0.1706649363040924,0.03848825095497164,0.07409470752089137,0.07415254237288135,8968,8975,7,0.0007805530776092774,7,0.0007805530776092774,10.363779067993164,48,0.7427298050139276,8968,6358,-2610,-0.29103479036574487,2610,0.29103479036574487,0.04535843394038606,0.10459263919471531,0.07415254237288135,12.953722953796387,30,0.8090594526580686,0.557358767690871,0.6283435329711888,0.0,0.0,nan,0,project/geodata-3d-conditional/experiments/stage1_probability/runs/cond_generation_0/label9/all/phase1b_v4/calibrated_reference_windowed/seed142_n4_s32/baseline/sample_2.pt,0.6347092986106873,0.21082854270935059,0.7225495891775251,0.7386103334181726,0.97078501338091,8968,11787,2819,0.31433987511150757,2819,0.31433987511150757,2.5884125232696533,112,0.34241113090693137,8968,9182,214,0.023862622658340767,214,0.023862622658340767,0.9218551461245235,0.9481594423872794,0.97078501338091,0.6914029717445374,94,0.43955565236331956,0.6398088796612782,0.6282633111004149,0.0,0.0,nan,0,15005,0.057239532470703125,14852,153,5470,8282,0.04599732160568237,0.04016360640525818,0.6840613382225534,0.6645156258972813,0.8966324710080286,0.3135593220338983,0.3135593220338983,-7.775366544723511,64.0,-0.40031867410699623,0.8764967121841374,0.8435668031925642,0.8966324710080286,-0.2671721677074041,-12.26231998205185,0.08245011197040719,-8.022187077394438e-05,0.0
142,3,0.5958188772201538,0.16593743860721588,0.017224199288256227,0.045454545454545456,0.026984834968777877,8968,5324,-3644,-0.4063336306868867,3644,0.4063336306868867,18.214269638061523,53,0.6714876033057852,8968,3722,-5246,-0.5849687778768956,5246,0.5849687778768956,0.01944087403598972,0.06501880709296078,0.026984834968777877,18.360857009887695,38,0.646963997850618,0.5697979092813041,0.6287102615232987,0.0,0.0,nan,0,project/geodata-3d-conditional/experiments/stage1_probability/runs/cond_generation_0/label9/all/phase1b_v4/calibrated_reference_windowed/seed142_n4_s32/baseline/sample_3.pt,0.6420237421989441,0.21446463465690613,0.8091843347838164,0.8266338787477537,0.9745762711864406,8968,10573,1605,0.17896966993755575,1605,0.17896966993755575,3.228039026260376,84,0.3837132318168921,8968,9022,54,0.006021409455842997,54,0.006021409455842997,0.9448648648648649,0.9687430724894702,0.9745762711864406,0.5779557228088379,81,0.44967856351141655,0.6525472134328223,0.6287217217905522,0.0,0.0,nan,0,13275,0.050640106201171875,13095,180,3410,8659,0.04620486497879028,0.04852719604969025,0.7919601354955601,0.7811793332932083,0.9475914362176627,0.5853033006244425,-0.22736396074933096,-14.986230611801147,31.0,-0.28777437148889307,0.9254239908288752,0.9037242653965094,0.9475914362176627,-0.5789473684210527,-17.782901287078857,0.08274930415151815,1.1460267253515788e-05,0.0
242,0,0.5975601673126221,0.17301097512245178,0.06715602061533656,0.18305661983822905,0.09589652096342552,8968,4698,-4270,-0.47613737734165923,4270,0.47613737734165923,9.063100814819336,50,0.3918688803746275,8968,4257,-4711,-0.5253122212310437,4711,0.5253122212310437,0.06955115244642135,0.20202020202020202,0.09589652096342552,9.124547004699707,50,0.43058491895701195,0.5620823775805326,0.6424052808911503,0.0,0.0,nan,0,project/geodata-3d-conditional/experiments/stage1_probability/runs/cond_generation_0/label9/all/phase1b_v4/calibrated_reference_windowed/seed242_n4_s32/baseline/sample_0.pt,0.6407836079597473,0.2229645699262619,0.8906313645621181,0.9112315065638674,0.9752453166815344,8968,9598,630,0.07024977698483496,630,0.07024977698483496,1.2653030157089233,59,0.42498437174411335,8968,9180,212,0.023639607493309546,212,0.023639607493309546,0.9302276111465646,0.952723311546841,0.9752453166815344,0.6248658299446106,59,0.4443355119825708,0.6395550196288203,0.6423365192876298,0.0,0.0,nan,0,12630,0.04817962646484375,12522,108,3158,8058,0.043223440647125244,0.04995359480381012,0.8234753439467816,0.7281748867256383,0.8793487957181089,0.5463871543264942,-0.40588760035682425,-7.797797799110413,9.0,0.03311549136948583,0.8606764587001432,0.750703109526639,0.8793487957181089,-0.5016726137377342,-8.499681174755096,0.07747264204828774,-6.876160352053962e-05,0.0
242,1,0.612254798412323,0.18996572494506836,0.015047291487532245,0.06168487839266831,0.019513826940231935,8968,2837,-6131,-0.6836529884032114,6131,0.6836529884032114,19.307985305786133,36,0.6295382446246035,8968,2501,-6467,-0.7211195361284567,6467,0.7211195361284567,0.015494953072427839,0.0699720111955218,0.019513826940231935,19.231792449951172,34,0.616953218712515,0.5823367815987742,0.6500721996836967,0.0,0.0,nan,0,project/geodata-3d-conditional/experiments/stage1_probability/runs/cond_generation_0/label9/all/phase1b_v4/calibrated_reference_windowed/seed242_n4_s32/baseline/sample_1.pt,0.657867431640625,0.23191609978675842,0.9180016863406408,0.9436619718309859,0.9712310437109724,8968,9230,262,0.029214986619090097,262,0.029214986619090097,1.1804648637771606,65,0.4344528710725894,8968,8918,-50,-0.005575379125780553,50,0.005575379125780553,0.9492153443766347,0.9766763848396501,0.9712310437109724,0.4416288733482361,65,0.4496523884278986,0.6641703763474981,0.6499002956748952,0.0,0.0,nan,0,12179,0.046459197998046875,12013,166,2273,8666,0.045612633228302,0.041950374841690063,0.9029543948531086,0.8819770934383175,0.9517172167707404,0.7128679750223015,-0.6544380017841214,-18.127520442008972,29.0,-0.1950853735520141,0.9337203913042068,0.9067043736441284,0.9517172167707404,-0.7155441570026762,-18.790163576602936,0.08183359474872387,-0.00017190400880151557,0.0
