seed,sample_id,baseline_component_count,guided_component_count,guided_roi_component_count,guided_components_ge_20,guided_roi_components_ge_20,guided_roi_components_ge_10,guided_roi_components_ge_5,guided_tiny_mass_fraction_le_5,guided_roi_tiny_mass_fraction_le_5,guided_largest_component_fraction,guided_roi_largest_component_fraction,false_positive_count,false_positive_inside_roi,false_positive_outside_roi,false_positive_outside_roi_fraction,truth_component_0_size,truth_component_0_recall,truth_component_1_size,truth_component_1_recall,truth_component_2_size,truth_component_2_recall,truth_component_3_size,truth_component_3_recall,truth_component_4_size,truth_component_4_recall,truth_component_5_size,truth_component_5_recall,truth_component_6_size,truth_component_6_recall,guided_roi_component_0_size,guided_roi_component_1_size,guided_roi_component_2_size,guided_roi_component_3_size
42,0,37,68,54,11,4,5,5,0.006019491687368622,0.006412382531785517,0.39184024460156697,0.45339966832504147,1752,331,1421,0.8110730593607306,4079,0.9781809449195862,2192,0.9717153310775757,2043,0.9730787873268127,627,0.9346092343330383,22,0.7727272510528564,4,0.5,1,1.0,4101,2150,2131,588
42,1,39,40,35,6,4,5,6,0.0035824460145288087,0.0049961141334517595,0.40521444919892524,0.4520928166981237,1288,246,1042,0.8090062111801242,4079,0.982348620891571,2192,0.9785584211349487,2043,0.9784630537033081,627,0.9377990365028381,22,0.8636363744735718,4,0.75,1,0.0,4072,2179,2099,593
42,2,43,46,33,6,4,5,5,0.003967569432465068,0.003447892336781226,0.3499223736415387,0.45122900678456235,2839,236,2603,0.9168721380767876,4079,0.9796518683433533,2192,0.9771897792816162,2043,0.9848262071609497,627,0.9409888386726379,22,0.6363636255264282,4,0.25,1,0.0,4057,2197,2099,593
42,3,66,87,71,10,4,5,5,0.0076370997423629,0.00801212646167172,0.3793706293706294,0.4464053702901689,2132,500,1632,0.7654784240150094,4079,0.9781809449195862,2192,0.974452555179596,2043,0.9769946336746216,627,0.9441786408424377,22,0.7727272510528564,4,1.0,1,1.0,4123,2212,2205,605
142,0,45,41,30,11,4,5,6,0.0029136316337148803,0.00290437890974084,0.41966701352757546,0.45051385165326185,869,211,658,0.757192174913694,4079,0.9774454236030579,2192,0.9799270033836365,2043,0.9745472073554993,627,0.9553428888320923,22,0.6818181872367859,4,0.25,1,0.0,4033,2178,2092,600
142,1,85,66,47,12,4,4,4,0.005861977084998668,0.005285868392664509,0.3680611066702194,0.4470334412081985,2505,516,1989,0.7940119760479042,4079,0.9811228513717651,2192,0.9785584211349487,2043,0.9794420003890991,627,0.9362041354179382,22,0.6818181872367859,4,1.0,1,0.0,4144,2258,2208,611
142,2,48,112,94,11,4,5,5,0.010435225248154746,0.011544325854933566,0.34241113090693137,0.43955565236331956,3081,476,2605,0.8455047062641999,4079,0.9727874398231506,2192,0.9803832173347473,2043,0.9716103672981262,627,0.9377990365028381,22,0.6363636255264282,4,0.5,1,0.0,4036,2285,2148,593
142,3,53,84,81,11,4,5,6,0.008417667643998865,0.009753934825980935,0.3837132318168921,0.44967856351141655,1833,282,1551,0.8461538461538461,4079,0.9789164066314697,2192,0.9730839133262634,2043,0.9789525270462036,627,0.9489633440971375,22,0.7727272510528564,4,0.25,1,1.0,4057,2156,2089,606
242,0,50,59,59,6,4,5,5,0.005938737236924359,0.0072984749455337694,0.42498437174411335,0.4443355119825708,852,434,418,0.49061032863849763,4079,0.9776906371116638,2192,0.9840328693389893,2043,0.9789525270462036,627,0.9362041354179382,22,0.5,4,0.75,1,0.0,4079,2259,2173,591
242,1,36,65,65,7,4,5,5,0.006933911159263272,0.008185691859161248,0.4344528710725894,0.4496523884278986,520,208,312,0.6,4079,0.9759745001792908,2192,0.9771897792816162,2043,0.9672051072120667,627,0.9473684430122375,22,0.5909090638160706,4,0.75,1,1.0,4010,2177,2044,601
242,2,43,69,58,8,4,5,5,0.0061284305888622435,0.006703296703296703,0.3602451372235545,0.44571428571428573,2495,336,2159,0.8653306613226452,4079,0.9808776378631592,2192,0.9749087691307068,2043,0.9858052134513855,627,0.9505581855773926,22,0.6818181872367859,4,0.25,1,0.0,4056,2201,2166,601
242,3,81,65,43,12,4,5,5,0.0051573892939711895,0.004628099173553719,0.3667970834074338,0.45454545454545453,2477,306,2171,0.8764634638675818,4079,0.98529052734375,2192,0.9721715450286865,2043,0.9804209470748901,627,0.9553428888320923,22,0.6818181872367859,4,0.5,1,0.0,4125,2178,2095,620
