seed,sample_id,pair_id,global_voxel_accuracy,global_mean_iou,target_iou,target_precision,target_recall,target_volume,predicted_target_volume,target_volume_error,target_volume_error_fraction,target_absolute_volume_error,target_absolute_volume_error_fraction,target_centroid_distance,target_connected_components,largest_component_fraction,selected_target_volume,predicted_target_volume_inside_roi,selected_volume_error,selected_volume_error_fraction,selected_absolute_volume_error,selected_absolute_volume_error_fraction,selected_roi_iou,selected_roi_precision,selected_roi_recall,selected_centroid_distance,selected_roi_connected_components,selected_roi_largest_component_fraction,inside_roi_voxel_accuracy,outside_roi_voxel_accuracy,outside_roi_target_iou,outside_roi_target_precision,outside_roi_target_recall,condition_violation_count,paired_hard_change_count,paired_hard_change_fraction,paired_hard_change_inside_roi,paired_hard_change_outside_roi,paired_target_to_other_count,paired_other_to_target_count,truth_present_mean_iou,target_tiny_component_mass_le_5,target_tiny_component_mass_fraction_le_5,target_top4_component_mass_fraction,target_top8_component_mass_fraction,target_components_ge_5,target_components_ge_10,target_components_ge_20,target_components_ge_100,target_component_1_voxels,target_component_2_voxels,target_component_3_voxels,target_component_4_voxels,target_component_5_voxels,target_component_6_voxels,target_component_7_voxels,target_component_8_voxels,hard_property_loss,hard_property_mae,property_confidence_fraction,paired_hard_change_inside_property_confidence,paired_hard_change_outside_property_confidence,path,delta_global_voxel_accuracy,delta_global_mean_iou,delta_truth_present_mean_iou,delta_hard_property_loss,delta_hard_property_mae,delta_target_iou,delta_target_precision,delta_target_recall,delta_target_absolute_volume_error_fraction,delta_target_centroid_distance,delta_target_connected_components,delta_largest_component_fraction,delta_target_components_ge_20,delta_target_components_ge_100,delta_target_tiny_component_mass_fraction_le_5,delta_target_top4_component_mass_fraction,delta_inside_roi_voxel_accuracy,delta_outside_roi_voxel_accuracy,truth_present_classes,improved_truth_present_classes,target_volume_fraction,major_component_min_recall,major_component_mean_recall,final_churn_fraction,pair_gate_pass,gate_primary_directions,gate_majority_classes,gate_target_thresholds,gate_major_component_recovery,gate_size_stratified_topology,gate_endpoint_churn
42,0,42:0,0.628361701965332,0.18968941271305084,0.48163006756756754,0.9005132254243979,0.5086975914362176,8968,5066,-3902,-0.43510258697591436,3902,0.43510258697591436,3.416382312774658,203,0.25700750098697195,8968,5007,-3961,-0.44168153434433544,3961,0.44168153434433544,0.4846488898332094,0.9111244258038745,0.5086975914362176,3.2371954917907715,186,0.26003594967046134,0.6242236869543143,0.6335923353732609,0.0,0.0,nan,0,13061,0.049823760986328125,10111,2950,5398,4181,0.3319564759731293,270,0.05329648637978682,0.6843663639952625,0.87248322147651,34,16,11,9,1302,1099,551,515,307,281,211,154,0.5339299440383911,0.014800813049077988,0.7363777160644531,13061,0,project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/ideal_density_susceptibility_label9_contrast_v1/phase2a_v1/seed42_n4_s32_a025_c025/alpha025/sample_0.pt,0.04099613428115845,-0.0032192617654800415,0.06670704483985901,-1.011952519416809,-0.007358143106102943,0.4530335881718705,0.8330295392872024,0.46141837644959854,0.13570472792149868,-20.58617925643921,166.0,-0.46732800752806863,4.0,5.0,0.047885058717841884,-0.28539330495269233,0.06318394879280487,0.012950101996378471,8,6,0.5648974130240857,0.37161084529505584,0.4924159393757308,0.00890350341796875,True,True,True,True,True,True,True
42,1,42:1,0.6472374796867371,0.19664409756660461,0.4861021331609567,0.9349357646083714,0.5031222123104371,8968,4826,-4142,-0.461864406779661,4142,0.461864406779661,3.158403158187866,161,0.35060091172813923,8968,4799,-4169,-0.46487511150758254,4169,0.46487511150758254,0.4875202593192869,0.9401958741404459,0.5031222123104371,3.0772552490234375,152,0.3525734528026672,0.6344687525499334,0.6633775699649316,0.0,0.0,nan,0,10620,0.0405120849609375,8295,2325,2820,4279,0.34412717819213867,217,0.0449647741400746,0.7886448404475757,0.9119353501864899,30,16,8,7,1692,1132,637,345,274,154,105,62,0.5220114588737488,0.014514842070639133,0.7363777160644531,10620,0,project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/ideal_density_susceptibility_label9_contrast_v1/phase2a_v1/seed42_n4_s32_a025_c025/alpha025/sample_1.pt,0.03507882356643677,0.012736961245536804,0.06826648116111755,-0.7488213181495667,-0.005530490539968014,0.4616004720313886,0.8473206769932837,0.4702274754683318,-0.16268956289027658,-21.25731110572815,122.0,-0.3797228185955911,2.0,3.0,0.0351637643390648,-0.1445300927273575,0.05389085831890261,0.0112998235118843,8,6,0.538135593220339,0.45614035087719296,0.5070328322329535,0.008434295654296875,True,True,True,True,True,True,True
42,2,42:2,0.637356698513031,0.19457793235778809,0.4851295171090502,0.9168009669621273,0.507471008028546,8968,4964,-4004,-0.4464763603925067,4004,0.4464763603925067,3.9496665000915527,213,0.28021756647864626,8968,4866,-4102,-0.4574041034790366,4102,0.4574041034790366,0.4902509964451147,0.9352651048088779,0.507471008028546,3.664742946624756,162,0.2858610768598438,0.6329637252146477,0.6429095326503014,0.0,0.0,nan,0,13226,0.05045318603515625,9232,3994,4639,4365,0.34051138162612915,332,0.06688154713940371,0.8696615632554392,0.9103545527800161,27,10,6,5,1391,1358,1306,262,149,27,13,13,0.5115740895271301,0.014575193636119366,0.7363777160644531,13226,0,project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/ideal_density_susceptibility_label9_contrast_v1/phase2a_v1/seed42_n4_s32_a025_c025/alpha025/sample_2.pt,0.042246460914611816,0.028063058853149414,0.06992471218109131,-0.9964434504508972,-0.006769855506718159,0.46692424187969245,0.8683091762022953,0.47914808206958076,0.030553077609277446,-19.3750958442688,170.0,-0.5500611658619418,-3.0,1.0,0.057145006475027994,-0.06733729126918853,0.06322928094145808,0.015723486671709197,8,6,0.5535236396074933,0.3157894736842105,0.4931128882840722,0.008636474609375,True,True,True,True,True,True,True
42,3,42:3,0.6235327124595642,0.1927313655614853,0.5090127855795431,0.8943104400662861,0.5415923282783229,8968,5431,-3537,-0.3944023193577163,3537,0.3944023193577163,3.4530129432678223,194,0.3146750138096115,8968,5395,-3573,-0.3984165923282783,3573,0.3984165923282783,0.5109404586576899,0.9002780352177943,0.5415923282783229,3.5333731174468994,181,0.31677479147358667,0.5934703573079957,0.661532466937129,0.0,0.0,nan,0,15702,0.05989837646484375,12475,3227,6814,4282,0.3372798562049866,261,0.04805744798379672,0.8668753452402872,0.9315043270116,26,12,7,6,1709,1521,1282,196,150,112,76,13,0.5058099627494812,0.014977904036641121,0.7363777160644531,15702,0,project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/ideal_density_susceptibility_label9_contrast_v1/phase2a_v1/seed42_n4_s32_a025_c025/alpha025/sample_3.pt,0.04837644100189209,0.02838742733001709,0.070220947265625,-1.1073647141456604,-0.008573012426495552,0.46959968471392827,0.813687559242476,0.4700044603033006,0.2823371989295272,-6.872015476226807,128.0,-0.4538795510528775,-4.0,4.0,0.03989469525241408,-0.08954811325525469,0.07487057671559516,0.01488688716220865,8,6,0.6055976806422837,0.39074960127591707,0.5376342490018802,0.008541107177734375,True,True,True,True,True,True,True
142,0,142:0,0.6406165361404419,0.2008981853723526,0.45676202860858256,0.9418994413407821,0.4700044603033006,8968,4475,-4493,-0.5010035682426405,4493,0.5010035682426405,4.181705474853516,175,0.29720670391061454,8968,4464,-4504,-0.5022301516503123,4504,0.5022301516503123,0.45730714983183246,0.9442204301075269,0.4700044603033006,4.161957740783691,166,0.2979390681003584,0.6196270070808816,0.6671479978913109,0.0,0.0,nan,0,10483,0.039989471435546875,8365,2118,2642,4049,0.35157182812690735,237,0.0529608938547486,0.8415642458100558,0.9081564245810055,28,18,10,5,1330,1245,965,226,126,75,69,28,0.5433257818222046,0.014805631712079048,0.7363777160644531,10483,0,project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/ideal_density_susceptibility_label9_contrast_v1/phase2a_v1/seed142_n4_s32_a025_c025/alpha025/sample_0.pt,0.0379185676574707,0.02636687457561493,0.06795844435691833,-0.6737630367279053,-0.0054120514541864395,0.43779826294654395,0.8688877073120989,0.4450267618198037,-0.15689116859946484,-17.951581954956055,130.0,-0.43258469113501774,3.0,2.0,0.03405606986517885,-0.08803158209085682,0.05924911828970869,0.01095601549428138,8,6,0.4989964317573595,0.3684726648688404,0.48179911359267424,0.008571624755859375,True,True,True,True,True,True,True
142,1,142:1,0.6604034304618835,0.21094076335430145,0.5252744976175678,0.8808407156505125,0.5654549509366636,8968,5757,-3211,-0.3580508474576271,3211,0.3580508474576271,4.097864151000977,173,0.3126628452318916,8968,5713,-3255,-0.362957181088314,3255,0.362957181088314,0.5276795005202913,0.8876247155610012,0.5654549509366636,4.088395118713379,150,0.31507089095046387,0.6504438017353147,0.6729927341905613,0.0,0.0,nan,0,15328,0.0584716796875,11838,3490,7615,4318,0.36914631724357605,241,0.0418620809449366,0.8514851485148515,0.9214868855306584,31,17,10,6,1800,1565,1311,226,182,160,34,27,0.475912481546402,0.013501858338713646,0.7363777160644531,15328,0,project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/ideal_density_susceptibility_label9_contrast_v1/phase2a_v1/seed142_n4_s32_a025_c025/alpha025/sample_1.pt,0.04709070920944214,0.012338370084762573,0.07124274969100952,-1.122248500585556,-0.0088698361068964,0.4775447144654255,0.7901625623481047,0.47390722569134697,0.34846119536128456,-6.98536491394043,88.0,-0.5425392753777837,1.0,4.0,0.03247396519499182,-0.11449673794417214,0.07157946272337423,0.016136056292832657,8,6,0.6419491525423728,0.36044657097288674,0.558203485435777,0.00833892822265625,True,True,True,True,True,True,True
142,2,142:2,0.6293336153030396,0.19272999465465546,0.44934010152284265,0.8338357196684251,0.4935325602140946,8968,5308,-3660,-0.40811775200713646,3660,0.40811775200713646,5.267656326293945,311,0.2950263752825923,8968,5198,-3770,-0.4203835860838537,3770,0.4203835860838537,0.45441478439425054,0.8514813389765294,0.4935325602140946,5.245645999908447,254,0.30126971912273953,0.6183486404888618,0.6432189598661441,0.0,0.0,nan,0,14487,0.055263519287109375,10658,3829,7494,3827,0.33727747201919556,428,0.08063300678221552,0.8278070836473248,0.8656744536548606,46,15,9,4,1566,1444,1169,215,79,56,40,26,0.5414243340492249,0.015048449859023094,0.7363777160644531,14487,0,project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/ideal_density_susceptibility_label9_contrast_v1/phase2a_v1/seed142_n4_s32_a025_c025/alpha025/sample_2.pt,0.04062163829803467,0.02206505835056305,0.05994695425033569,-1.2506287693977356,-0.007848650217056274,0.410851850567871,0.7597410121475336,0.41938001784121326,0.4073371989295272,-5.096122741699219,263.0,-0.4477034297313353,1.0,-1.0,0.07495055552873363,-0.13241575757830193,0.06098987279799084,0.014875426894955246,8,6,0.5918822479928635,0.3588516746411483,0.49637845627025123,0.009857177734375,True,True,True,True,True,True,True
142,3,142:3,0.6351901888847351,0.19158600270748138,0.4625508238818746,0.9195915762603701,0.48204727921498663,8968,4701,-4267,-0.4758028545941124,4267,0.4758028545941124,3.611854076385498,205,0.2693044033184429,8968,4646,-4322,-0.48193577163247103,4322,0.48193577163247103,0.46528898934452695,0.9304778303917348,0.48204727921498663,3.6215503215789795,177,0.27249246663796817,0.628765968249363,0.6433106420041715,0.0,0.0,nan,0,12577,0.047977447509765625,9593,2984,4751,4128,0.3352755308151245,280,0.05956179536268879,0.7679217187832376,0.8957668581152947,28,16,11,7,1266,1183,869,292,265,147,119,70,0.5246744751930237,0.01464073359966278,0.7363777160644531,12577,0,project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/ideal_density_susceptibility_label9_contrast_v1/phase2a_v1/seed142_n4_s32_a025_c025/alpha025/sample_3.pt,0.0393713116645813,0.025648564100265503,0.06562715768814087,-0.9322593808174133,-0.00692412257194519,0.4453266245936183,0.8741370308058247,0.4550624442462088,0.06946922390722571,-14.602415561676025,152.0,-0.40218319998734225,2.0,2.0,0.049231216850292095,-0.15112411141961746,0.0589680589680589,0.014600380480872865,8,5,0.5241971454058876,0.4003189792663477,0.4812800828292162,0.008453369140625,True,True,True,True,True,True,True
242,0,242:0,0.6369062066078186,0.19993169605731964,0.5235040487958776,0.9019749954701939,0.5550847457627118,8968,5519,-3449,-0.38458965209634255,3449,0.38458965209634255,4.370544910430908,136,0.309838738901975,8968,5518,-3450,-0.38470115967885815,3450,0.38470115967885815,0.5235591081194784,0.9021384559623051,0.5550847457627118,4.375487804412842,136,0.3098948894527003,0.6237794318975131,0.6534988195924729,0.0,0.0,nan,0,11825,0.045108795166015625,9822,2003,3373,4194,0.3498804271221161,204,0.0369632179742707,0.9030621489400253,0.9436492118137344,24,13,9,4,1710,1686,1456,132,77,52,50,45,0.4866255819797516,0.014387128874659538,0.7363777160644531,11825,0,project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/ideal_density_susceptibility_label9_contrast_v1/phase2a_v1/seed242_n4_s32_a025_c025/alpha025/sample_0.pt,0.03934603929519653,0.02692072093486786,0.06873762607574463,-0.6653289496898651,-0.006037095561623573,0.4563480281805411,0.7189183756319648,0.45918822479928634,-0.09154772524531668,-4.692555904388428,86.0,-0.08203014147265253,1.0,0.0,0.02504325203131625,-0.03116518183902961,0.06169705431698047,0.01109353870132257,8,5,0.6154103479036575,0.3700159489633174,0.5557980605710069,0.007892608642578125,True,True,True,True,True,True,True
242,1,242:1,0.6495153307914734,0.20190107822418213,0.4658731025445015,0.9575757575757575,0.47569134701159677,8968,4455,-4513,-0.5032337198929527,4513,0.5032337198929527,4.202667713165283,151,0.3021324354657688,8968,4455,-4513,-0.5032337198929527,4513,0.5032337198929527,0.4658731025445015,0.9575757575757575,0.47569134701159677,4.202667713165283,151,0.3021324354657688,0.6420936199533985,0.6588966054688395,nan,nan,nan,0,10533,0.040180206298828125,8726,1807,2506,4124,0.35332685708999634,212,0.047586980920314256,0.8720538720538721,0.918742985409652,31,13,9,4,1346,1192,1189,158,73,66,42,27,0.5328502058982849,0.014494098722934723,0.7363777160644531,10533,0,project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/ideal_density_susceptibility_label9_contrast_v1/phase2a_v1/seed242_n4_s32_a025_c025/alpha025/sample_1.pt,0.03726053237915039,0.01193535327911377,0.0683782696723938,-0.6784587502479553,-0.005467519164085388,0.45082581105696923,0.8958908791830892,0.4561775200713648,-0.1804192685102587,-15.10531759262085,115.0,-0.3274058091588347,3.0,0.0,0.03172515504791383,-0.07225349488303312,0.05975683835462431,0.008824405785142875,8,6,0.49676628010704726,0.3812208874724197,0.4861749760247085,0.008548736572265625,True,True,True,True,True,True,True
