sample_id,from_label,to_label,voxel_count,is_changed
0,-1,-1,64589,False
0,0,-1,1,True
0,0,0,221,False
0,0,1,17,True
0,0,2,6,True
0,0,3,6,True
0,0,4,10,True
0,0,5,14,True
0,0,9,11,True
0,0,10,5,True
0,1,-1,1,True
0,1,0,3,True
0,1,1,35566,False
0,1,2,32,True
0,1,3,72,True
0,1,4,204,True
0,1,5,155,True
0,1,6,9,True
0,1,8,1,True
0,1,9,93,True
0,1,10,11,True
0,1,11,3,True
0,1,12,4,True
0,2,0,5,True
0,2,1,15,True
0,2,2,22617,False
0,2,3,12,True
0,2,4,63,True
0,2,5,82,True
0,2,9,14,True
0,2,10,3,True
0,3,0,3,True
0,3,1,7,True
0,3,2,3,True
0,3,3,5348,False
0,3,4,16,True
0,3,5,23,True
0,3,6,2,True
0,3,9,22,True
0,3,10,1,True
0,4,0,17,True
0,4,1,143,True
0,4,2,55,True
0,4,3,74,True
0,4,4,92738,False
0,4,5,65,True
0,4,7,8,True
0,4,8,2,True
0,4,9,40,True
0,4,10,1,True
0,4,11,2,True
0,4,13,3,True
0,5,0,18,True
0,5,1,184,True
0,5,2,272,True
0,5,3,72,True
0,5,4,289,True
0,5,5,32119,False
0,5,7,14,True
0,5,8,4,True
0,5,9,7,True
0,5,10,1,True
0,5,11,1,True
0,5,13,3,True
0,6,0,2,True
0,6,1,7,True
0,6,2,4,True
0,6,3,7,True
0,6,4,5,True
0,6,5,3,True
0,6,6,251,False
0,6,9,1,True
0,9,-1,1,True
0,9,0,63,True
0,9,1,358,True
0,9,2,121,True
0,9,3,151,True
0,9,4,537,True
0,9,5,128,True
0,9,6,7,True
0,9,7,19,True
0,9,8,13,True
0,9,9,4845,False
0,9,10,12,True
0,9,11,15,True
0,9,12,1,True
0,9,13,12,True
0,10,-1,1,True
0,10,0,5,True
0,10,1,23,True
0,10,2,11,True
0,10,3,6,True
0,10,4,6,True
0,10,5,6,True
0,10,9,5,True
0,10,10,98,False
0,11,1,2,True
0,11,4,1,True
0,11,11,15,False
