sample_id,global_voxel_accuracy,global_mean_iou,target_iou,target_precision,target_recall,target_volume,predicted_target_volume,target_volume_error,target_volume_error_fraction,target_absolute_volume_error,target_absolute_volume_error_fraction,target_centroid_distance,target_connected_components,largest_component_fraction,selected_target_volume,predicted_target_volume_inside_roi,selected_volume_error,selected_volume_error_fraction,selected_absolute_volume_error,selected_absolute_volume_error_fraction,selected_roi_iou,selected_roi_precision,selected_roi_recall,selected_centroid_distance,selected_roi_connected_components,selected_roi_largest_component_fraction,inside_roi_voxel_accuracy,outside_roi_voxel_accuracy,outside_roi_target_iou,outside_roi_target_precision,outside_roi_target_recall,condition_violation_count,truth_present_mean_iou,target_tiny_component_mass_le_5,target_tiny_component_mass_fraction_le_5,target_top4_component_mass_fraction,target_top8_component_mass_fraction,target_components_ge_5,target_components_ge_10,target_components_ge_20,target_components_ge_100,target_component_1_voxels,target_component_2_voxels,target_component_3_voxels,target_component_4_voxels,target_component_5_voxels,target_component_6_voxels,target_component_7_voxels,target_component_8_voxels,hard_property_loss,hard_property_mae,property_confidence_fraction,hard_seismic_loss,hard_seismic_rmse_amplitude,hard_seismic_mae_amplitude,hard_observation_loss,hard_observation_mae,candidate_id,seed,local_sample_id,sample_sha256,path,major_component_min_recall,major_component_mean_recall
0,0.5873655676841736,0.19290867447853088,0.02859647939569704,0.0674836861371956,0.04727921498661909,8968,6283,-2685,-0.2993978590544157,2685,0.2993978590544157,24.002561569213867,37,0.7243355085150406,8968,4825,-4143,-0.4619759143621766,4143,0.4619759143621766,0.03171516194180567,0.08787564766839379,0.04727921498661909,23.993736267089844,33,0.7231088082901554,0.5610397381615094,0.6206422333768824,0.0,0.0,nan,0,0.26524943113327026,34,0.005411427661944931,0.9697596689479548,0.9912462199586185,10,9,7,4,4551,979,350,213,63,36,21,15,1.325160026550293,1003584.125,0.7363777160644531,17.860631942749023,0.042261842638254166,0.013078358955681324,17.860631942749023,0.013078358955681324,seed42_sample0,42,0,8666eeaa5426a70b6a4bfb1f06a1f6ca4a3b68713dcfb2c8602917bcfd9aa80a,/home/xmj/mcy/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/ideal_density_susceptibility_label9_contrast_v1/phase2a_v1/seed42_n4_s32_a025_c025/baseline/sample_0.pt,0.0,0.04142324745887117
1,0.6121586561203003,0.1839071363210678,0.024501661129568107,0.08761508761508761,0.03289473684210526,8968,3367,-5601,-0.6245539696699376,5601,0.6245539696699376,24.415714263916016,39,0.7303237303237303,8968,2311,-6657,-0.7423059768064229,6657,0.7423059768064229,0.026857246904588492,0.12765036780614453,0.03289473684210526,22.839153289794922,31,0.6317611423626136,0.5805778942310308,0.6520777464530473,0.0,0.0,nan,0,0.2758606970310211,33,0.009801009801009801,0.9331749331749332,0.975942975942976,14,9,6,4,2459,333,235,115,77,39,15,13,1.1825977563858032,922050.75,0.7363777160644531,16.86887550354004,0.04107173532247543,0.012815544381737709,16.86887550354004,0.012815544381737709,seed42_sample1,42,1,3f5d945948ead807962a4e9ee4ea656ae75eb0aafe9d7dda312d3e884a5d008e,/home/xmj/mcy/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/ideal_density_susceptibility_label9_contrast_v1/phase2a_v1/seed42_n4_s32_a025_c025/baseline/sample_1.pt,0.0,0.03292273847027809
2,0.5951102375984192,0.16651487350463867,0.018205275229357797,0.048491790759831996,0.028322925958965208,8968,5238,-3730,-0.41592328278322926,3730,0.41592328278322926,23.32476234436035,43,0.830278732340588,8968,2641,-6327,-0.7055084745762712,6327,0.7055084745762712,0.022369000440334654,0.09617569102612647,0.028322925958965208,19.342599868774414,34,0.7372207497160167,0.5697344442731896,0.6271860459785922,0.0,0.0,nan,0,0.27058666944503784,51,0.009736540664375716,0.9369988545246277,0.9723176785032455,17,14,9,4,4349,296,161,102,63,59,40,23,1.2481155395507812,970927.3125,0.7363777160644531,18.841838836669922,0.04340719059109688,0.013772739097476006,18.841838836669922,0.013772739097476006,seed42_sample2,42,2,40bfda4e025586955faa3b34866daa6bcc4a853c25e1bcf1be49ae0635caec61,/home/xmj/mcy/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/ideal_density_susceptibility_label9_contrast_v1/phase2a_v1/seed42_n4_s32_a025_c025/baseline/sample_2.pt,0.0,0.03026919194136627
3,0.5751562714576721,0.1643439382314682,0.03941310086561483,0.08062288082381013,0.0715878679750223,8968,7963,-1005,-0.11206512042818911,1005,0.11206512042818911,10.325028419494629,66,0.768554564862489,8968,6222,-2746,-0.30619982158786796,2746,0.30619982158786796,0.04412977728897443,0.10318225650916105,0.0715878679750223,11.412454605102539,60,0.863066538090646,0.5185997805924005,0.6466455797749203,0.0,0.0,nan,0,0.2670589089393616,65,0.008162752731382644,0.9564234584955419,0.9736280296370714,19,13,11,2,6120,1381,64,51,36,35,34,32,1.4092400074005127,1048958.75,0.7363777160644531,19.627262115478516,0.044302668422460556,0.014207175001502037,19.627262115478516,0.014207175001502037,seed42_sample3,42,3,09d11bb1eada39d714dc9b3263df344a79f245f91b080feab01ecfda7c7c94a9,/home/xmj/mcy/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/ideal_density_susceptibility_label9_contrast_v1/phase2a_v1/seed42_n4_s32_a025_c025/baseline/sample_3.pt,0.0,0.07468522131184349
4,0.6026979684829712,0.17453131079673767,0.018963765662038605,0.07301173402868318,0.024977698483496878,8968,3068,-5900,-0.6578947368421053,5900,0.6578947368421053,22.13328742980957,45,0.7297913950456323,8968,2355,-6613,-0.7373996431757359,6613,0.7373996431757359,0.02018199837823227,0.0951167728237792,0.024977698483496878,22.18874168395996,45,0.6577494692144373,0.5603778887911729,0.6561919823970295,0.0,0.0,nan,0,0.283613383769989,58,0.018904823989569754,0.9295958279009127,0.9634941329856584,14,12,7,3,2239,421,137,55,37,29,20,18,1.1956887245178223,937361.5625,0.7363777160644531,17.401065826416016,0.04171458259224892,0.013220580294728279,17.401065826416016,0.013220580294728279,seed142_sample0,142,0,5658b54e7b95d896ebcd272ca9521f50b73985483dbd49daf748aab932c0f8e2,/home/xmj/mcy/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/ideal_density_susceptibility_label9_contrast_v1/phase2a_v1/seed142_n4_s32_a025_c025/baseline/sample_0.pt,0.0,0.027219114012209823
5,0.6133127212524414,0.19860239326953888,0.04772978315214232,0.09067815330240778,0.09154772524531668,8968,9054,86,0.00958965209634255,86,0.00958965209634255,11.083229064941406,85,0.8552021206096753,8968,7004,-1964,-0.21900089206066012,1964,0.21900089206066012,0.05418784238664114,0.1172187321530554,0.09154772524531668,9.337265014648438,68,0.8235294117647058,0.5788643390119405,0.6568566778977286,0.0,0.0,nan,0,0.29790356755256653,85,0.009388115749944775,0.9659818864590236,0.9781312127236581,18,13,9,2,7743,875,90,38,33,31,25,21,1.3517858982086182,981422.0,0.7363777160644531,20.77468490600586,0.04557925462722778,0.014113220386207104,20.77468490600586,0.014113220386207104,seed142_sample1,142,1,cf0561bffa12c7b2654b387b23c980c0e5b65ad2a36642a2491fbdb62b42997e,/home/xmj/mcy/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/ideal_density_susceptibility_label9_contrast_v1/phase2a_v1/seed142_n4_s32_a025_c025/baseline/sample_1.pt,0.0,0.09342929646933557
6,0.5887119770050049,0.1706649363040924,0.03848825095497164,0.07409470752089137,0.07415254237288135,8968,8975,7,0.0007805530776092774,7,0.0007805530776092774,10.363779067993164,48,0.7427298050139276,8968,6358,-2610,-0.29103479036574487,2610,0.29103479036574487,0.04535843394038606,0.10459263919471531,0.07415254237288135,12.953722953796387,30,0.8090594526580686,0.557358767690871,0.6283435329711888,0.0,0.0,nan,0,0.27733051776885986,51,0.005682451253481894,0.9602228412256267,0.9876323119777158,16,10,8,5,6666,1008,707,237,169,33,22,22,1.3163416385650635,1012103.375,0.7363777160644531,18.692584991455078,0.043234918266534805,0.013574373908340931,18.692584991455078,0.013574373908340931,seed142_sample2,142,2,6ab3f17d62ce090402f3ff1ad6fd97f6ab7f5ee5bcffb9f9fdd2b525b3db02e5,/home/xmj/mcy/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/ideal_density_susceptibility_label9_contrast_v1/phase2a_v1/seed142_n4_s32_a025_c025/baseline/sample_2.pt,0.0,0.07979501395185984
7,0.5958188772201538,0.16593743860721588,0.017224199288256227,0.045454545454545456,0.026984834968777877,8968,5324,-3644,-0.4063336306868867,3644,0.4063336306868867,18.214269638061523,53,0.6714876033057852,8968,3722,-5246,-0.5849687778768956,5246,0.5849687778768956,0.01944087403598972,0.06501880709296078,0.026984834968777877,18.360857009887695,38,0.646963997850618,0.5697979092813041,0.6287102615232987,0.0,0.0,nan,0,0.26964837312698364,55,0.010330578512396695,0.919045830202855,0.9727648384673178,18,11,9,5,3575,859,262,197,136,66,54,30,1.2441556453704834,964810.375,0.7363777160644531,17.711116790771484,0.042084578424692154,0.013200998306274414,17.711116790771484,0.013200998306274414,seed142_sample3,142,3,ed03a016c63d9cce2dacdb9f7e93c500315172868bfd1c08449d05f4b0035a1a,/home/xmj/mcy/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/ideal_density_susceptibility_label9_contrast_v1/phase2a_v1/seed142_n4_s32_a025_c025/baseline/sample_3.pt,0.0,0.02672593974630209
8,0.5975601673126221,0.17301097512245178,0.06715602061533656,0.18305661983822905,0.09589652096342552,8968,4698,-4270,-0.47613737734165923,4270,0.47613737734165923,9.063100814819336,50,0.3918688803746275,8968,4257,-4711,-0.5253122212310437,4711,0.5253122212310437,0.06955115244642135,0.20202020202020202,0.09589652096342552,9.124547004699707,50,0.43058491895701195,0.5620823775805326,0.6424052808911503,0.0,0.0,nan,0,0.28114280104637146,56,0.011919965942954448,0.934227330779055,0.9742443593018306,15,11,8,4,1841,1220,1108,220,81,42,35,30,1.1850404739379883,940909.5625,0.7363777160644531,18.371780395507812,0.042862314730882645,0.013581898994743824,18.371780395507812,0.013581898994743824,seed242_sample0,242,0,eb9cd794b4b2e61062920f83f0c5af35c1cd94c5a7035b1d346091ede48a788f,/home/xmj/mcy/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/ideal_density_susceptibility_label9_contrast_v1/phase2a_v1/seed242_n4_s32_a025_c025/baseline/sample_0.pt,0.0,0.09631135472869512
9,0.612254798412323,0.18996572494506836,0.015047291487532245,0.06168487839266831,0.019513826940231935,8968,2837,-6131,-0.6836529884032114,6131,0.6836529884032114,19.307985305786133,36,0.6295382446246035,8968,2501,-6467,-0.7211195361284567,6467,0.7211195361284567,0.015494953072427839,0.0699720111955218,0.019513826940231935,19.231792449951172,34,0.616953218712515,0.5823367815987742,0.6500721996836967,0.0,0.0,nan,0,0.28494858741760254,45,0.015861825872400422,0.9443073669369052,0.9721536834684525,13,7,6,4,1786,444,306,143,33,21,16,9,1.2037256956100464,937216.875,0.7363777160644531,16.889629364013672,0.041096992790699005,0.012816828675568104,16.889629364013672,0.012816828675568104,seed242_sample1,242,1,f0089a90f0cf30d887a98f4044b6d2f2494fa909960b5df74b6f6ff29fcd0c57,/home/xmj/mcy/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/ideal_density_susceptibility_label9_contrast_v1/phase2a_v1/seed242_n4_s32_a025_c025/baseline/sample_1.pt,0.0,0.0213285529485781
