sample_id,truth_component_rank,truth_component_voxels,recovered_voxels,recall,variant
0,1,4079,171,0.041922039715616574,prior
0,2,2192,2,0.0009124087591240876,prior
0,3,2043,251,0.122858541360744,prior
0,4,627,0,0.0,prior
0,5,22,0,0.0,prior
0,6,4,0,0.0,prior
0,7,1,0,0.0,prior
0,1,4079,82,0.0201029664133366,inverted
0,2,2192,0,0.0,inverted
0,3,2043,131,0.06412139011257954,inverted
0,4,627,0,0.0,inverted
0,5,22,0,0.0,inverted
0,6,4,0,0.0,inverted
0,7,1,0,0.0,inverted
1,1,4079,52,0.012748222603579308,prior
1,2,2192,0,0.0,prior
1,3,2043,243,0.11894273127753303,prior
1,4,627,0,0.0,prior
1,5,22,0,0.0,prior
1,6,4,0,0.0,prior
1,7,1,0,0.0,prior
1,1,4079,18,0.004412846285854376,inverted
1,2,2192,0,0.0,inverted
1,3,2043,106,0.05188448360254528,inverted
1,4,627,0,0.0,inverted
1,5,22,0,0.0,inverted
1,6,4,0,0.0,inverted
1,7,1,0,0.0,inverted
2,1,4079,2,0.0004903162539838195,prior
2,2,2192,83,0.03786496350364964,prior
2,3,2043,169,0.08272148800783162,prior
2,4,627,0,0.0,prior
2,5,22,0,0.0,prior
2,6,4,0,0.0,prior
2,7,1,0,0.0,prior
2,1,4079,0,0.0,inverted
2,2,2192,18,0.008211678832116789,inverted
2,3,2043,85,0.041605482134116495,inverted
2,4,627,0,0.0,inverted
2,5,22,0,0.0,inverted
2,6,4,0,0.0,inverted
2,7,1,0,0.0,inverted
3,1,4079,49,0.01201274822260358,prior
3,2,2192,62,0.028284671532846715,prior
3,3,2043,528,0.25844346549192365,prior
3,4,627,0,0.0,prior
3,5,22,0,0.0,prior
3,6,4,3,0.75,prior
3,7,1,0,0.0,prior
3,1,4079,6,0.0014709487619514587,inverted
3,2,2192,44,0.020072992700729927,inverted
3,3,2043,299,0.14635340186000978,inverted
3,4,627,0,0.0,inverted
3,5,22,0,0.0,inverted
3,6,4,2,0.5,inverted
3,7,1,0,0.0,inverted
4,1,4079,3,0.0007354743809757293,prior
4,2,2192,1,0.0004562043795620438,prior
4,3,2043,220,0.10768477728830152,prior
4,4,627,0,0.0,prior
4,5,22,0,0.0,prior
4,6,4,0,0.0,prior
4,7,1,0,0.0,prior
4,1,4079,1,0.00024515812699190976,inverted
4,2,2192,0,0.0,inverted
4,3,2043,113,0.05531081742535487,inverted
4,4,627,0,0.0,inverted
4,5,22,0,0.0,inverted
4,6,4,0,0.0,inverted
4,7,1,0,0.0,inverted
5,1,4079,82,0.0201029664133366,prior
5,2,2192,229,0.10447080291970803,prior
5,3,2043,509,0.2491434165442976,prior
5,4,627,0,0.0,prior
5,5,22,0,0.0,prior
5,6,4,1,0.25,prior
5,7,1,0,0.0,prior
5,1,4079,18,0.004412846285854376,inverted
5,2,2192,108,0.04927007299270073,inverted
5,3,2043,223,0.10915320606950563,inverted
5,4,627,0,0.0,inverted
5,5,22,0,0.0,inverted
5,6,4,0,0.0,inverted
5,7,1,0,0.0,inverted
6,1,4079,0,0.0,prior
6,2,2192,190,0.08667883211678833,prior
6,3,2043,475,0.23250122369065102,prior
6,4,627,0,0.0,prior
6,5,22,0,0.0,prior
6,6,4,0,0.0,prior
6,7,1,0,0.0,prior
6,1,4079,0,0.0,inverted
6,2,2192,98,0.04470802919708029,inverted
6,3,2043,245,0.11992168379833579,inverted
6,4,627,0,0.0,inverted
6,5,22,0,0.0,inverted
6,6,4,0,0.0,inverted
6,7,1,0,0.0,inverted
7,1,4079,47,0.01152243196861976,prior
7,2,2192,2,0.0009124087591240876,prior
7,3,2043,193,0.09446891825746451,prior
7,4,627,0,0.0,prior
7,5,22,0,0.0,prior
7,6,4,0,0.0,prior
7,7,1,0,0.0,prior
7,1,4079,13,0.003187055650894827,inverted
7,2,2192,1,0.0004562043795620438,inverted
7,3,2043,87,0.042584434654919234,inverted
7,4,627,0,0.0,inverted
7,5,22,0,0.0,inverted
7,6,4,0,0.0,inverted
7,7,1,0,0.0,inverted
8,1,4079,104,0.025496445207158616,prior
