sample_id,from_label,to_label,voxel_count,is_changed
0,-1,-1,64589,False
0,0,0,240,False
0,0,1,20,True
0,0,2,2,True
0,0,3,2,True
0,0,4,9,True
0,0,5,7,True
0,0,9,7,True
0,0,10,4,True
0,1,1,35902,False
0,1,2,3,True
0,1,3,3,True
0,1,4,107,True
0,1,5,77,True
0,1,6,6,True
0,1,8,1,True
0,1,9,28,True
0,1,10,26,True
0,1,11,1,True
0,2,0,1,True
0,2,1,45,True
0,2,2,22521,False
0,2,3,21,True
0,2,4,73,True
0,2,5,126,True
0,2,8,1,True
0,2,9,11,True
0,2,10,12,True
0,3,1,8,True
0,3,2,2,True
0,3,3,5316,False
0,3,4,50,True
0,3,5,32,True
0,3,6,2,True
0,3,9,14,True
0,3,10,1,True
0,4,1,10,True
0,4,2,1,True
0,4,3,6,True
0,4,4,92896,False
0,4,5,186,True
0,4,6,3,True
0,4,9,39,True
0,4,10,6,True
0,4,11,1,True
0,5,1,13,True
0,5,3,2,True
0,5,4,26,True
0,5,5,32930,False
0,5,9,12,True
0,5,10,1,True
0,6,6,280,False
0,9,0,1,True
0,9,1,59,True
0,9,2,3,True
0,9,3,3,True
0,9,4,85,True
0,9,5,29,True
0,9,6,3,True
0,9,9,6089,False
0,9,10,9,True
0,9,11,2,True
0,10,1,1,True
0,10,4,1,True
0,10,5,2,True
0,10,6,2,True
0,10,9,1,True
0,10,10,154,False
0,11,1,2,True
0,11,10,1,True
0,11,11,15,False
