sample_id,from_label,to_label,voxel_count,is_changed
1,-1,-1,64589,False
1,0,0,217,False
1,0,1,39,True
1,0,2,1,True
1,0,3,1,True
1,0,5,28,True
1,0,9,4,True
1,0,10,1,True
1,1,0,2,True
1,1,1,35184,False
1,1,2,118,True
1,1,3,41,True
1,1,4,348,True
1,1,5,264,True
1,1,6,2,True
1,1,9,186,True
1,1,10,6,True
1,1,11,3,True
1,2,-1,2,True
1,2,0,2,True
1,2,1,30,True
1,2,2,22490,False
1,2,3,11,True
1,2,4,107,True
1,2,5,114,True
1,2,9,50,True
1,2,10,5,True
1,3,0,2,True
1,3,1,51,True
1,3,2,26,True
1,3,3,5065,False
1,3,4,149,True
1,3,5,93,True
1,3,6,1,True
1,3,9,35,True
1,3,10,3,True
1,4,0,5,True
1,4,1,324,True
1,4,2,167,True
1,4,3,44,True
1,4,4,91458,False
1,4,5,602,True
1,4,9,539,True
1,4,10,8,True
1,4,11,1,True
1,5,0,5,True
1,5,1,216,True
1,5,2,160,True
1,5,3,55,True
1,5,4,865,True
1,5,5,31638,False
1,5,6,1,True
1,5,9,39,True
1,5,10,5,True
1,6,1,14,True
1,6,3,10,True
1,6,4,2,True
1,6,5,9,True
1,6,6,245,False
1,9,0,4,True
1,9,1,232,True
1,9,2,26,True
1,9,3,7,True
1,9,4,94,True
1,9,5,140,True
1,9,8,1,True
1,9,9,5769,False
1,9,10,9,True
1,9,11,1,True
1,10,1,14,True
1,10,4,1,True
1,10,5,6,True
1,10,9,2,True
1,10,10,138,False
1,11,4,7,True
1,11,10,1,True
1,11,11,10,False
