sample_id,from_label,to_label,voxel_count,is_changed
7,-1,-1,64589,False
7,0,0,49,False
7,0,1,200,True
7,0,2,2,True
7,0,4,5,True
7,0,5,31,True
7,0,9,4,True
7,1,1,34496,False
7,1,2,110,True
7,1,3,62,True
7,1,4,765,True
7,1,5,440,True
7,1,6,12,True
7,1,7,1,True
7,1,9,249,True
7,1,10,14,True
7,1,11,5,True
7,2,-1,1,True
7,2,0,1,True
7,2,1,392,True
7,2,2,21472,False
7,2,3,32,True
7,2,4,334,True
7,2,5,519,True
7,2,9,58,True
7,2,10,2,True
7,3,0,3,True
7,3,1,114,True
7,3,2,55,True
7,3,3,4604,False
7,3,4,363,True
7,3,5,101,True
7,3,6,15,True
7,3,9,157,True
7,3,10,13,True
7,4,0,1,True
7,4,1,974,True
7,4,2,174,True
7,4,3,540,True
7,4,4,89651,False
7,4,5,1261,True
7,4,6,5,True
7,4,9,530,True
7,4,10,11,True
7,4,11,1,True
7,5,0,2,True
7,5,1,626,True
7,5,2,340,True
7,5,3,245,True
7,5,4,2118,True
7,5,5,29554,False
7,5,6,19,True
7,5,9,77,True
7,5,10,3,True
7,6,1,11,True
7,6,3,4,True
7,6,4,1,True
7,6,5,6,True
7,6,6,256,False
7,6,9,2,True
7,9,0,21,True
7,9,1,738,True
7,9,2,77,True
7,9,3,43,True
7,9,4,466,True
7,9,5,177,True
7,9,6,2,True
7,9,9,4745,False
7,9,10,12,True
7,9,11,2,True
7,10,0,23,True
7,10,1,63,True
7,10,3,1,True
7,10,4,8,True
7,10,5,4,True
7,10,6,2,True
7,10,9,3,True
7,10,10,57,False
7,11,1,1,True
7,11,4,3,True
7,11,5,2,True
7,11,11,12,False
