sample_id,truth_component_rank,truth_component_voxels,recovered_voxels,recall
0,1,4079,171,0.041922039715616574
0,2,2192,2,0.0009124087591240876
0,3,2043,251,0.122858541360744
0,4,627,0,0.0
0,5,22,0,0.0
0,6,4,0,0.0
0,7,1,0,0.0
1,1,4079,244,0.059818582986025985
1,2,2192,0,0.0
1,3,2043,241,0.1179637787567303
1,4,627,0,0.0
1,5,22,0,0.0
1,6,4,0,0.0
1,7,1,0,0.0
2,1,4079,252,0.06177984800196126
2,2,2192,0,0.0
2,3,2043,241,0.1179637787567303
2,4,627,0,0.0
2,5,22,0,0.0
2,6,4,0,0.0
2,7,1,0,0.0
3,1,4079,229,0.05614121108114734
3,2,2192,1,0.0004562043795620438
3,3,2043,240,0.11747430249632893
3,4,627,0,0.0
3,5,22,0,0.0
3,6,4,0,0.0
3,7,1,0,0.0
4,1,4079,194,0.047560676636430495
4,2,2192,2,0.0009124087591240876
4,3,2043,242,0.11845325501713166
4,4,627,0,0.0
4,5,22,0,0.0
4,6,4,0,0.0
4,7,1,0,0.0
5,1,4079,194,0.047560676636430495
5,2,2192,2,0.0009124087591240876
5,3,2043,242,0.11845325501713166
5,4,627,0,0.0
5,5,22,0,0.0
5,6,4,0,0.0
5,7,1,0,0.0
6,1,4079,168,0.041186565334640844
6,2,2192,1,0.0004562043795620438
6,3,2043,205,0.10034263338228096
6,4,627,0,0.0
6,5,22,0,0.0
6,6,4,0,0.0
6,7,1,0,0.0
7,1,4079,165,0.040451090953665114
7,2,2192,0,0.0
7,3,2043,200,0.09789525208027411
7,4,627,0,0.0
7,5,22,0,0.0
7,6,4,0,0.0
7,7,1,0,0.0
8,1,4079,176,0.04314783035057612
8,2,2192,0,0.0
8,3,2043,206,0.10083210964268233
8,4,627,0,0.0
8,5,22,0,0.0
8,6,4,0,0.0
8,7,1,0,0.0
