step,t,adapter_scale,used_residual_ratio
0.0,0.015625,1.0,0.16262967884540558
1.0,0.046875,1.0,0.16284115612506866
2.0,0.078125,1.0,0.16283541917800903
3.0,0.109375,1.0,0.1626342236995697
4.0,0.140625,1.0,0.16218018531799316
5.0,0.171875,1.0,0.16159731149673462
6.0,0.203125,1.0,0.1608373075723648
7.0,0.234375,1.0,0.15982602536678314
8.0,0.265625,1.0,0.158424511551857
9.0,0.296875,1.0,0.15694481134414673
10.0,0.328125,1.0,0.15520842373371124
11.0,0.359375,1.0,0.1534387469291687
12.0,0.390625,1.0,0.15124140679836273
13.0,0.421875,1.0,0.14938898384571075
14.0,0.453125,1.0,0.14750812947750092
15.0,0.484375,1.0,0.1456393152475357
16.0,0.515625,1.0,0.14434723556041718
17.0,0.546875,1.0,0.14326323568820953
18.0,0.578125,1.0,0.14244240522384644
19.0,0.609375,1.0,0.14187374711036682
20.0,0.640625,1.0,0.14153218269348145
21.0,0.671875,1.0,0.1414281576871872
22.0,0.703125,1.0,0.14170508086681366
23.0,0.734375,1.0,0.14223222434520721
24.0,0.765625,1.0,0.1431703120470047
25.0,0.796875,1.0,0.1442585438489914
26.0,0.828125,1.0,0.14571429789066315
27.0,0.859375,1.0,0.14754299819469452
28.0,0.890625,1.0,0.1494927853345871
29.0,0.921875,1.0,0.1501350998878479
30.0,0.953125,1.0,0.1474946141242981
31.0,0.984375,1.0,0.13758735358715057
