step,t,adapter_scale,used_residual_ratio
0.0,0.015625,0.0,0.0
1.0,0.046875,0.0,0.0
2.0,0.078125,0.0,0.0
3.0,0.109375,0.0,0.0
4.0,0.140625,0.0,0.0
5.0,0.171875,0.0,0.0
6.0,0.203125,0.0,0.0
7.0,0.234375,0.0,0.0
8.0,0.265625,0.0,0.0
9.0,0.296875,0.0,0.0
10.0,0.328125,0.0,0.0
11.0,0.359375,0.0,0.0
12.0,0.390625,0.0,0.0
13.0,0.421875,0.0,0.0
14.0,0.453125,0.0,0.0
15.0,0.484375,0.0,0.0
16.0,0.515625,0.0,0.0
17.0,0.546875,0.0,0.0
18.0,0.578125,0.0,0.0
19.0,0.609375,0.0,0.0
20.0,0.640625,0.0,0.0
21.0,0.671875,0.0,0.0
22.0,0.703125,0.0,0.0
23.0,0.734375,0.0,0.0
24.0,0.765625,0.0,0.0
25.0,0.796875,0.0,0.0
26.0,0.828125,0.0,0.0
27.0,0.859375,0.0,0.0
28.0,0.890625,0.0,0.0
29.0,0.921875,0.0,0.0
30.0,0.953125,0.0,0.0
31.0,0.984375,0.0,0.0
