sample_id,from_label,to_label,voxel_count,is_changed
1,-1,-1,64589,False
1,0,0,1,False
1,0,1,210,True
1,0,2,6,True
1,0,3,12,True
1,0,4,4,True
1,0,6,14,True
1,0,9,44,True
1,1,1,30534,False
1,1,2,67,True
1,1,3,211,True
1,1,4,40,True
1,1,5,494,True
1,1,6,2630,True
1,1,8,1,True
1,1,9,2177,True
1,2,1,551,True
1,2,2,21528,False
1,2,3,41,True
1,2,4,16,True
1,2,5,586,True
1,2,6,58,True
1,2,9,31,True
1,3,1,217,True
1,3,2,74,True
1,3,3,4753,False
1,3,4,1,True
1,3,5,17,True
1,3,6,236,True
1,3,9,127,True
1,4,1,10972,True
1,4,2,3103,True
1,4,3,2656,True
1,4,4,60772,False
1,4,5,6067,True
1,4,6,6600,True
1,4,9,2977,True
1,4,11,1,True
1,5,1,6423,True
1,5,2,3100,True
1,5,3,2010,True
1,5,4,886,True
1,5,5,19561,False
1,5,6,745,True
1,5,9,259,True
1,6,1,51,True
1,6,3,3,True
1,6,6,226,False
1,9,1,3661,True
1,9,2,910,True
1,9,3,488,True
1,9,4,498,True
1,9,5,50,True
1,9,6,160,True
1,9,8,1,True
1,9,9,515,False
1,10,0,2,True
1,10,1,102,True
1,10,2,17,True
1,10,3,16,True
1,10,4,2,True
1,10,6,8,True
1,10,9,3,True
1,10,10,10,False
1,10,11,1,True
1,11,1,6,True
1,11,2,1,True
1,11,3,3,True
1,11,5,5,True
1,11,6,1,True
1,11,11,2,False
