step,cached_state_index,time,total_loss,flow_loss,cross_entropy_loss,dice_loss,residual_regularizer,endpoint_accuracy,used_residual_ratio,gradient_norm_before_clip
0,0,0.2,0.4319092333316803,0.02460000291466713,1.3099029064178467,0.3193340301513672,0.0,0.850909411907196,0.0,0.31606006622314453
1,1,0.4,0.18456557393074036,0.0200686976313591,0.45664218068122864,0.2013453245162964,7.015276059973985e-05,0.9372918009757996,0.008375728502869606,0.07715560495853424
2,2,0.6,0.09854675084352493,0.021842453628778458,0.15450222790241241,0.15231478214263916,0.0004728248168248683,0.9779524207115173,0.02174454741179943,0.054002463817596436
3,3,0.8,0.06295636296272278,0.021343450993299484,0.03956017643213272,0.12689107656478882,0.0009710356243886054,0.9987567067146301,0.031161461025476456,0.05938706174492836
4,0,0.2,0.40804627537727356,0.024608474224805832,1.2166404724121094,0.3171103596687317,0.0008466039435006678,0.851178765296936,0.029096469283103943,0.6753585338592529
5,1,0.4,0.17711670696735382,0.021012084558606148,0.42385023832321167,0.20056748390197754,0.001901505864225328,0.9373435974121094,0.04360628128051758,0.14871300756931305
6,2,0.6,0.09886852651834488,0.02392740361392498,0.14729632437229156,0.1524667739868164,0.0035032350569963455,0.977817714214325,0.05918816104531288,0.07670868933200836
7,3,0.8,0.06572642922401428,0.02426917478442192,0.03890685364603996,0.12692034244537354,0.004570716992020607,0.9987722635269165,0.0676071047782898,0.10832082480192184
8,0,0.2,0.3539081811904907,0.026437468826770782,1.000822901725769,0.30905812978744507,0.0047636618837714195,0.8539295792579651,0.06901931017637253,0.8696763515472412
9,1,0.4,0.1708134561777115,0.024439612403512,0.3859131634235382,0.19957971572875977,0.006321055348962545,0.9377683997154236,0.07950510084629059,0.09551651775836945
10,2,0.6,0.10136300325393677,0.02745789848268032,0.14243625104427338,0.1531810760498047,0.007727347314357758,0.9772841334342957,0.08790537714958191,0.12978561222553253
11,3,0.8,0.06891436129808426,0.02761622704565525,0.03822362795472145,0.12696552276611328,0.008419613353908062,0.9987515211105347,0.09175849705934525,0.14423595368862152
12,0,0.2,0.31979939341545105,0.027723046019673347,0.8724181652069092,0.2958838939666748,0.008463460952043533,0.8643057942390442,0.09199711680412292,0.5323842763900757
