sample_id,from_label,to_label,voxel_count,is_changed
1,-1,-1,64589,False
1,0,0,280,False
1,0,1,2,True
1,0,3,2,True
1,0,4,2,True
1,0,5,2,True
1,0,9,2,True
1,0,10,1,True
1,1,-1,2,True
1,1,0,2,True
1,1,1,35987,False
1,1,2,12,True
1,1,3,14,True
1,1,4,35,True
1,1,5,19,True
1,1,6,4,True
1,1,9,71,True
1,1,10,7,True
1,1,11,1,True
1,2,-1,2,True
1,2,1,9,True
1,2,2,22698,False
1,2,3,8,True
1,2,4,27,True
1,2,5,35,True
1,2,6,1,True
1,2,9,29,True
1,2,10,2,True
1,3,-1,1,True
1,3,1,4,True
1,3,2,5,True
1,3,3,5345,False
1,3,4,20,True
1,3,5,10,True
1,3,6,6,True
1,3,9,33,True
1,3,10,1,True
1,4,-1,1,True
1,4,0,3,True
1,4,1,18,True
1,4,2,17,True
1,4,3,12,True
1,4,4,92907,False
1,4,5,55,True
1,4,9,133,True
1,4,11,2,True
1,5,-1,2,True
1,5,1,52,True
1,5,2,32,True
1,5,3,6,True
1,5,4,65,True
1,5,5,32806,False
1,5,6,2,True
1,5,8,1,True
1,5,9,17,True
1,5,11,1,True
1,6,1,2,True
1,6,3,6,True
1,6,5,3,True
1,6,6,269,False
1,9,0,2,True
1,9,1,52,True
1,9,2,15,True
1,9,3,12,True
1,9,4,68,True
1,9,5,21,True
1,9,6,2,True
1,9,9,6102,False
1,9,10,6,True
1,9,11,3,True
1,10,0,1,True
1,10,1,6,True
1,10,4,2,True
1,10,5,2,True
1,10,6,1,True
1,10,9,5,True
1,10,10,144,False
1,11,1,2,True
1,11,9,1,True
1,11,10,1,True
1,11,11,14,False
