step,temperature,soft_loss,gradient_norm_before_clip,hard_checked,hard_improved,selected_best_step,hard_loss,hard_rmse_amplitude,hard_mae_amplitude,condition_violations,soft_seismic_rmse_amplitude,soft_seismic_mae_amplitude
0,0.5,,,True,True,0,17.860631942749023,0.042261842638254166,0.013078358955681324,0,,
1,0.5,10.09579086303711,0.07412517815828323,True,True,1,17.76706886291504,0.04215100035071373,0.01304236613214016,0,0.031773872673511505,0.010213905945420265
2,0.5,9.20909595489502,0.06649084389209747,False,False,1,,,,,0.030346492305397987,0.009801788255572319
3,0.5,8.459686279296875,0.06156638637185097,False,False,1,,,,,0.029085539281368256,0.009316760115325451
4,0.5,7.847041130065918,0.058495037257671356,False,False,1,,,,,0.02801256999373436,0.008988773450255394
5,0.5,7.323416709899902,0.05712286755442619,True,True,5,17.412769317626953,0.041728612035512924,0.012923580594360828,0,0.027061812579631805,0.00873411912471056
6,0.5,6.856712341308594,0.05594110116362572,False,False,5,,,,,0.026185324415564537,0.00849989429116249
7,0.5,6.436856269836426,0.05299833416938782,False,False,5,,,,,0.02537095919251442,0.00828438438475132
8,0.5,6.072500705718994,0.052034892141819,False,False,5,,,,,0.024642445147037506,0.008102918043732643
9,0.5,5.752996921539307,0.05116362124681473,False,False,5,,,,,0.023985404521226883,0.007960083894431591
10,0.5,5.474776744842529,0.05146729201078415,True,True,10,17.268596649169922,0.0415554977953434,0.012856823392212391,0,0.02339824102818966,0.007834004238247871
11,0.5,5.227522850036621,0.05046911910176277,False,False,10,,,,,0.022863777354359627,0.007712072227150202
12,0.5,5.002974510192871,0.04983150586485863,False,False,10,,,,,0.022367330268025398,0.0075903357937932014
13,0.5,4.8003034591674805,0.049130987375974655,False,False,10,,,,,0.021909592673182487,0.007471948862075806
14,0.5,4.619961261749268,0.04797731712460518,False,False,10,,,,,0.021494094282388687,0.0073644258081912994
15,0.5,4.459860801696777,0.04708647355437279,True,True,15,17.26123046875,0.04154663532972336,0.012836731970310211,0,0.02111838199198246,0.007265874650329351
16,0.5,4.31632661819458,0.04763593152165413,False,False,15,,,,,0.020775770768523216,0.007170191500335932
17,0.5,4.183119297027588,0.04642665386199951,False,False,15,,,,,0.020452674478292465,0.007075861096382141
18,0.5,4.061062335968018,0.04593774303793907,False,False,15,,,,,0.020152077078819275,0.006984301842749119
19,0.5,3.950512647628784,0.04582472890615463,False,False,15,,,,,0.019875897094607353,0.006896528415381908
20,0.5,3.846879482269287,0.04437809810042381,True,False,15,17.345378875732422,0.041647784411907196,0.012847590260207653,0,0.019613463431596756,0.006813604384660721
21,0.5,3.752615451812744,0.043502550572156906,False,False,15,,,,,0.019371667876839638,0.006735575385391712
22,0.5,3.662242889404297,0.04324907064437866,False,False,15,,,,,0.019136987626552582,0.006660392973572016
23,0.5,3.5783920288085938,0.04243220016360283,False,False,15,,,,,0.01891663856804371,0.006588209420442581
24,0.5,3.5020432472229004,0.04169783741235733,False,False,15,,,,,0.01871374621987343,0.006519535090774298
25,0.5,3.428663969039917,0.041976332664489746,True,False,15,17.449573516845703,0.04177268594503403,0.012862694449722767,0,0.018516650423407555,0.0064515830017626286
26,0.5,3.358603000640869,0.04054611921310425,False,False,15,,,,,0.018326489254832268,0.006386159919202328
27,0.5,3.294361114501953,0.040521040558815,False,False,15,,,,,0.01815037615597248,0.006324484944343567
28,0.5,3.234346866607666,0.03998155519366264,False,False,15,,,,,0.017984289675951004,0.006264884956181049
29,0.5,3.17509388923645,0.0392850898206234,False,False,15,,,,,0.017818791791796684,0.006205161567777395
30,0.5,3.1216578483581543,0.039122018963098526,True,False,15,21.591472625732422,0.04646662250161171,0.014095778577029705,0,0.017668213695287704,0.00614851713180542
31,0.5,3.069941997528076,0.04030700400471687,False,False,15,,,,,0.017521250993013382,0.006092703901231289
32,0.5,3.019862174987793,0.03938202187418938,False,False,15,,,,,0.01737774908542633,0.006039813160896301
33,0.5,2.9735090732574463,0.03851945698261261,False,False,15,,,,,0.017243865877389908,0.005989807657897472
34,0.5,2.9274303913116455,0.03751755505800247,False,False,15,,,,,0.017109734937548637,0.00594062777236104
35,0.5,2.885566234588623,0.03823019191622734,True,False,15,26.691858291625977,0.05166415870189667,0.015614541247487068,0,0.01698695495724678,0.0058937943540513515
36,0.5,2.8450238704681396,0.03885085508227348,False,False,15,,,,,0.016867198050022125,0.005848292727023363
37,0.5,2.8051671981811523,0.0372648611664772,False,False,15,,,,,0.016748633235692978,0.005803908221423626
38,0.5,2.7678234577178955,0.037652064114809036,False,False,15,,,,,0.01663677580654621,0.005761060398072004
39,0.5,2.732475757598877,0.038145776838064194,False,False,15,,,,,0.016530200839042664,0.005719010718166828
40,0.5,2.697333335876465,0.03791831433773041,True,False,15,30.870708465576172,0.05556141585111618,0.01684257946908474,0,0.016423558816313744,0.005677720531821251
41,0.2,21.679927825927734,0.40338850021362305,False,False,15,,,,,0.04656171053647995,0.01586652733385563
42,0.2,19.942752838134766,0.32911041378974915,False,False,15,,,,,0.044657304883003235,0.01526441890746355
43,0.2,18.157920837402344,0.31142136454582214,False,False,15,,,,,0.04261211305856705,0.014532087370753288
44,0.2,16.350812911987305,0.2865580916404724,False,False,15,,,,,0.040436141192913055,0.01374112255871296
45,0.2,14.673873901367188,0.26375895738601685,True,False,15,24.19370460510254,0.04918709769845009,0.014916111715137959,0,0.03830649331212044,0.012977314181625843
46,0.2,13.259638786315918,0.24350106716156006,False,False,15,,,,,0.03641378507018089,0.012309369631111622
47,0.2,12.11755084991455,0.22811119258403778,False,False,15,,,,,0.03481027111411095,0.011757551692426205
48,0.2,11.186318397521973,0.21090282499790192,False,False,15,,,,,0.03344595059752464,0.011323865503072739
49,0.2,10.405122756958008,0.20403410494327545,False,False,15,,,,,0.032256972044706345,0.010973853059113026
50,0.2,9.701066970825195,0.1910071074962616,True,False,15,23.744083404541016,0.04872789978981018,0.014481114223599434,0,0.03114653378725052,0.010659636929631233
51,0.2,9.051483154296875,0.176532581448555,False,False,15,,,,,0.03008568100631237,0.010344638489186764
52,0.2,8.461906433105469,0.1663457602262497,False,False,15,,,,,0.02908935397863388,0.010034232400357723
53,0.2,7.934842109680176,0.15266069769859314,False,False,15,,,,,0.028168851509690285,0.009741364046931267
54,0.2,7.474200248718262,0.13872531056404114,False,False,15,,,,,0.027338983491063118,0.00947618018835783
55,0.2,7.086239814758301,0.12787649035453796,True,False,15,25.732959747314453,0.050727661699056625,0.014600897207856178,0,0.026619991287589073,0.009243051521480083
56,0.2,6.750601291656494,0.1241268590092659,False,False,15,,,,,0.025981919839978218,0.009032530710101128
57,0.2,6.4519195556640625,0.11953914910554886,False,False,15,,,,,0.02540062926709652,0.008835475891828537
