role,sample_id,from_label,to_label,voxel_count,is_changed
ratio025,1,-1,-1,64589,False
ratio025,1,0,-1,1,True
ratio025,1,0,0,221,False
ratio025,1,0,1,17,True
ratio025,1,0,2,6,True
ratio025,1,0,3,6,True
ratio025,1,0,4,10,True
ratio025,1,0,5,14,True
ratio025,1,0,9,11,True
ratio025,1,0,10,5,True
ratio025,1,1,-1,1,True
ratio025,1,1,0,3,True
ratio025,1,1,1,35566,False
ratio025,1,1,2,32,True
ratio025,1,1,3,72,True
ratio025,1,1,4,204,True
ratio025,1,1,5,155,True
ratio025,1,1,6,9,True
ratio025,1,1,8,1,True
ratio025,1,1,9,93,True
ratio025,1,1,10,11,True
ratio025,1,1,11,3,True
ratio025,1,1,12,4,True
ratio025,1,2,0,5,True
ratio025,1,2,1,15,True
ratio025,1,2,2,22617,False
ratio025,1,2,3,12,True
ratio025,1,2,4,63,True
ratio025,1,2,5,82,True
ratio025,1,2,9,14,True
ratio025,1,2,10,3,True
ratio025,1,3,0,3,True
ratio025,1,3,1,7,True
ratio025,1,3,2,3,True
ratio025,1,3,3,5348,False
ratio025,1,3,4,16,True
ratio025,1,3,5,23,True
ratio025,1,3,6,2,True
ratio025,1,3,9,22,True
ratio025,1,3,10,1,True
ratio025,1,4,0,17,True
ratio025,1,4,1,143,True
ratio025,1,4,2,55,True
ratio025,1,4,3,74,True
ratio025,1,4,4,92738,False
ratio025,1,4,5,65,True
ratio025,1,4,7,8,True
ratio025,1,4,8,2,True
ratio025,1,4,9,40,True
ratio025,1,4,10,1,True
ratio025,1,4,11,2,True
ratio025,1,4,13,3,True
ratio025,1,5,0,18,True
ratio025,1,5,1,184,True
ratio025,1,5,2,272,True
ratio025,1,5,3,72,True
ratio025,1,5,4,289,True
ratio025,1,5,5,32119,False
ratio025,1,5,7,14,True
ratio025,1,5,8,4,True
ratio025,1,5,9,7,True
ratio025,1,5,10,1,True
ratio025,1,5,11,1,True
ratio025,1,5,13,3,True
ratio025,1,6,0,2,True
ratio025,1,6,1,7,True
ratio025,1,6,2,4,True
ratio025,1,6,3,7,True
ratio025,1,6,4,5,True
ratio025,1,6,5,3,True
ratio025,1,6,6,251,False
ratio025,1,6,9,1,True
ratio025,1,9,-1,1,True
ratio025,1,9,0,63,True
