sample_id,truth_component_rank,truth_component_voxels,recovered_voxels,recall
0,1,4079,171,0.041922039715616574
0,2,2192,2,0.0009124087591240876
0,3,2043,251,0.122858541360744
0,4,627,0,0.0
0,5,22,0,0.0
0,6,4,0,0.0
0,7,1,0,0.0
1,1,4079,125,0.030644765873988723
1,2,2192,0,0.0
1,3,2043,229,0.11209006363191386
1,4,627,0,0.0
1,5,22,0,0.0
1,6,4,0,0.0
1,7,1,0,0.0
2,1,4079,98,0.02402549644520716
2,2,2192,0,0.0
2,3,2043,213,0.10425844346549193
2,4,627,0,0.0
2,5,22,0,0.0
2,6,4,0,0.0
2,7,1,0,0.0
3,1,4079,82,0.0201029664133366
3,2,2192,6,0.002737226277372263
3,3,2043,187,0.09153206069505629
3,4,627,0,0.0
3,5,22,0,0.0
3,6,4,0,0.0
3,7,1,0,0.0
4,1,4079,58,0.014219171365530768
4,2,2192,8,0.0036496350364963502
4,3,2043,92,0.04503181595692609
4,4,627,1,0.001594896331738437
4,5,22,0,0.0
4,6,4,0,0.0
4,7,1,0,0.0
5,1,4079,68,0.016670752635449867
5,2,2192,18,0.008211678832116789
5,3,2043,59,0.02887909936368086
5,4,627,6,0.009569377990430622
5,5,22,0,0.0
5,6,4,0,0.0
5,7,1,0,0.0
