chain,epsilon,finite_difference,autograd_directional_derivative,absolute_error,relative_error,sign_match,grad_norm,loss_before,loss_after_small_negative_gradient_step
embedding_to_acoustic_property,0.01,-172013.7237548828,-172013.7206084158,0.003146467002807185,1.8291953305370317e-08,True,689880649.8276815,502263694340.1909,502263625351.53156
embedding_to_acoustic_property,0.001,-172013.76342773438,-172013.7206084158,0.042819318565307185,2.4892960721306605e-07,True,689880649.8276815,502263694340.1909,502263625351.53156
embedding_to_acoustic_property,0.0001,-172013.5498046875,-172013.7206084158,0.17080372830969281,9.92965722185165e-07,True,689880649.8276815,502263694340.1909,502263625351.53156
embedding_to_acoustic_property,1e-05,-172015.38085937497,-172013.7206084158,1.6602509591612034,9.651758760563871e-06,True,689880649.8276815,502263694340.1909,502263625351.53156
explicit_blurred_property,0.01,-2.216741850843973e-09,-2.216741844826703e-09,6.017269944915959e-18,2.7144658015208327e-09,True,3.6831791868515716e-06,0.0025474843498020524,0.0025474839814815186
explicit_blurred_property,0.001,-2.2167419809482336e-09,-2.216741844826703e-09,1.361215306431765e-16,6.140612295570328e-08,True,3.6831791868515716e-06,0.0025474843498020524,0.0025474839814815186
explicit_blurred_property,0.0001,-2.2167380778204127e-09,-2.216741844826703e-09,3.7670062903046395e-15,1.6993437007993733e-06,True,3.6831791868515716e-06,0.0025474843498020524,0.0025474839814815186
explicit_blurred_property,1e-05,-2.2167380778204122e-09,-2.216741844826703e-09,3.76700629071823e-15,1.699343700985949e-06,True,3.6831791868515716e-06,0.0025474843498020524,0.0025474839814815186
property_to_reflectivity_and_twt_deposition,0.01,1.3788700948180396e-10,1.3788701040798142e-10,9.261774590164033e-19,6.716930451070195e-09,True,8.11271338850859e-07,0.00015465333738939,0.00015465325626353655
property_to_reflectivity_and_twt_deposition,0.001,1.378870298105947e-10,1.3788701040798142e-10,1.9402613275086805e-17,1.407138387253591e-07,True,8.11271338850859e-07,0.00015465333738939,0.00015465325626353655
property_to_reflectivity_and_twt_deposition,0.0001,1.378869349429046e-10,1.3788701040798142e-10,7.546507681739483e-17,5.472964900327306e-07,True,8.11271338850859e-07,0.00015465333738939,0.00015465325626353655
property_to_reflectivity_and_twt_deposition,1e-05,1.3788747704399082e-10,1.3788701040798142e-10,4.66636009399508e-16,3.384179763116814e-06,True,8.11271338850859e-07,0.00015465333738939,0.00015465325626353655
wavelet_convolved_seismic_loss,0.01,1.3355087977347246e-10,1.3355088032518647e-10,5.517140106351724e-19,4.13111474287395e-09,True,3.3715527562970724e-06,0.0003079775367880354,0.00030797719963403247
wavelet_convolved_seismic_loss,0.001,1.3355085808942901e-10,1.3355088032518647e-10,2.223575746034526e-17,1.664965248166305e-07,True,3.3715527562970724e-06,0.0003079775367880354,0.00030797719963403247
wavelet_convolved_seismic_loss,0.0001,1.3355093940459195e-10,1.3355088032518647e-10,5.907940547606757e-17,4.42373567265497e-07,True,3.3715527562970724e-06,0.0003079775367880354,0.00030797719963403247
wavelet_convolved_seismic_loss,1e-05,1.335493131013332e-10,1.3355088032518647e-10,1.5672238532780385e-15,1.173503199276534e-05,True,3.3715527562970724e-06,0.0003079775367880354,0.00030797719963403247
gravity_forward_and_loss,0.01,2.8824494235912823e-06,2.8824494752222154e-06,5.16309331104344e-14,1.7912172807974035e-08,True,0.006332087894696143,1.5633718643281542,1.5633712311202768
gravity_forward_and_loss,0.001,2.8824500564184063e-06,2.8824494752222154e-06,5.811961909259048e-13,2.0163270119173244e-07,True,0.006332087894696143,1.5633718643281542,1.5633712311202768
gravity_forward_and_loss,0.0001,2.882448724150777e-06,2.8824494752222154e-06,7.51071438624283e-13,2.605670784797992e-07,True,0.006332087894696143,1.5633718643281542,1.5633712311202768
gravity_forward_and_loss,1e-05,2.8824165276830622e-06,2.8824494752222154e-06,3.294753915317734e-11,1.1430396069869473e-05,True,0.006332087894696143,1.5633718643281542,1.5633712311202768
