mode,step,t,dt,base_velocity_norm,raw_physics_gradient_norm,applied_physics_velocity_norm,total_velocity_norm,cosine_base_velocity_applied_physics_velocity,pre_update_soft_loss,post_physics_soft_loss,post_total_soft_loss,post_projection_soft_loss,pre_update_hard_loss,post_physics_hard_loss,post_total_hard_loss,post_projection_hard_loss,soft_attainment,hard_attainment,distance_to_baseline,distance_to_truth,truth_direction_fraction,orthogonal_response_fraction,hard_label_flip_count,target_flip_in,target_flip_out,wrong_class_flips,condition_projection_change_norm,guidance_clipping_fraction,used_guidance_ratio,flip_into_raw_label_-1,flip_into_raw_label_0,flip_into_raw_label_1,flip_into_raw_label_2,flip_into_raw_label_3,flip_into_raw_label_4,flip_into_raw_label_5,flip_into_raw_label_6,flip_into_raw_label_7,flip_into_raw_label_8,flip_into_raw_label_9,flip_into_raw_label_10,flip_into_raw_label_11,flip_into_raw_label_12,flip_into_raw_label_13,control
MATCHED_NORM_PHYSICS_ONLY,1,0.015625,0.03125,1911.460693359375,0.0,0.0,0.0,nan,0.0008657529833726585,0.0008657529833726585,0.0008657529833726585,0.0008657529833726585,0.03677539899945259,0.03677539899945259,0.03677539899945259,0.03677539899945259,0.00025162830285547187,0.0007683396665821342,101.99017195123801,220.123708763829,0.10767936586793439,0.45043780362657554,977,45,73,932,0.0,0.0,0.0,54,0,68,67,69,67,61,55,90,78,45,69,71,100,83,zero
MATCHED_NORM_PHYSICS_ONLY,2,0.046875,0.03125,1914.4998779296875,0.0,0.0,0.0,nan,0.0008688301895745099,0.0008688301895745099,0.0008688301895745099,0.0008688301895745099,0.03677539899945259,0.03677539899945259,0.03677539899945259,0.03677539899945259,0.00048159871363406565,0.0008525307760431001,143.61986585643274,220.123708763829,0.21315692775412645,0.6162751185309296,2067,94,155,1973,0.0,0.0,0.0,126,3,160,140,150,140,147,127,153,165,94,131,158,190,183,zero
MATCHED_NORM_PHYSICS_ONLY,3,0.078125,0.03125,1913.864990234375,0.0,0.0,0.0,nan,0.0008750678971409798,0.0008750678971409798,0.0008750678971409798,0.0008750678971409798,0.03677539899945259,0.03677539899945259,0.03677539899945259,0.03677539899945259,0.0005215304734548071,0.0017393353247146313,172.86016890365252,220.123708763829,0.3086949507013183,0.7212710218426447,3203,166,226,3037,0.0,0.0,0.0,181,5,255,227,229,215,225,213,240,258,166,202,248,274,265,zero
MATCHED_NORM_PHYSICS_ONLY,4,0.109375,0.03125,1913.34765625,0.0,0.0,0.0,nan,0.0008846320561133325,0.0008846320561133325,0.0008846320561133325,0.0008846320561133325,0.03677539899945259,0.03677539899945259,0.03677539899945259,0.03677539899945259,0.0005697778759339361,0.0027029757852327697,196.7260661675615,220.123708763829,0.3996444215419967,0.7979392728196308,4511,236,329,4275,0.0,0.0,0.0,249,6,360,332,319,298,318,312,337,368,236,286,351,369,370,zero
MATCHED_NORM_PHYSICS_ONLY,5,0.140625,0.03125,1913.511474609375,0.0,0.0,0.0,nan,0.000897797872312367,0.000897797872312367,0.000897797872312367,0.000897797872312367,0.03677539899945259,0.03677539899945259,0.03677539899945259,0.03677539899945259,0.0005493608488862714,0.005179154274172399,217.6817413456466,220.123708763829,0.48902461346002263,0.8566009681345815,5952,326,439,5626,0.0,0.0,0.0,331,10,453,445,431,406,430,413,453,478,326,374,453,473,476,zero
MATCHED_NORM_PHYSICS_ONLY,6,0.171875,0.03125,1914.568359375,0.0,0.0,0.0,nan,0.0009149463730864227,0.0009149463730864227,0.0009149463730864227,0.0009149463730864227,0.03677539899945259,0.03677539899945259,0.03677539899945259,0.03677539899945259,0.00039732928230452283,0.006499801390574665,233.43418562724645,220.123708763829,0.5618928571721635,0.8953127392826351,7576,424,571,7152,0.0,0.0,0.0,449,14,588,572,535,519,539,528,561,619,424,483,560,595,590,zero
MATCHED_NORM_PHYSICS_ONLY,7,0.203125,0.03125,1915.9439697265625,0.0,0.0,0.0,nan,0.000936579133849591,0.000936579133849591,0.000936579133849591,0.000936579133849591,0.03677539899945259,0.03677539899945259,0.03677539899945259,0.03677539899945259,0.00039373145208623946,0.008704047357270492,248.5850667682464,220.123708763829,0.6364903317261056,0.927034479657568,9438,537,723,8901,0.0,0.0,0.0,566,19,719,697,691,641,668,680,706,737,537,633,687,734,723,zero
MATCHED_NORM_PHYSICS_ONLY,8,0.234375,0.03125,1919.3126220703125,0.0,0.0,0.0,nan,0.0009632969158701599,0.0009632969158701599,0.0009632969158701599,0.0009632969158701599,0.03677539899945259,0.03677539899945259,0.03677539899945259,0.03677539899945259,0.0009123688199322519,0.009702838017982949,259.6810232530826,220.123708763829,0.693999514539216,0.9470511283643452,11597,650,908,10947,0.0,0.0,0.0,693,22,917,864,863,794,807,832,873,899,650,767,846,892,878,zero
MATCHED_NORM_PHYSICS_ONLY,9,0.265625,0.03125,1923.5440673828125,4.135058134124847e-06,125.50228881835938,125.50228881835938,-0.0009735723142512143,0.0009959659073501825,0.0009801367996260524,0.0009801367996260524,0.0009801367996260524,0.03677539899945259,0.03671574220061302,0.03671574220061302,0.03671574220061302,0.02136271898280668,0.012490219399384349,269.97794644057853,219.94553841481502,0.7502014508404942,0.9618609839895536,14326,765,1235,13561,0.0,0.0,0.06540312618017197,849,30,1143,1061,1082,1018,989,1009,1076,1127,765,915,1054,1110,1098,zero
MATCHED_NORM_PHYSICS_ONLY,10,0.296875,0.03125,1923.9434814453125,4.337654445407679e-06,392.8270263671875,392.8270263671875,0.0006436270195990801,0.0010187913430854678,0.0009694552281871438,0.0009694552281871438,0.0009694552281871438,0.03671574220061302,0.03643250837922096,0.03643250837922096,0.03643250837922096,0.08054079655782374,0.02016181388403684,280.22729103672475,219.09120385981797,0.8115532234770736,0.9717440302105524,18482,909,1873,17573,0.0,0.0,0.20464873313903809,1123,43,1459,1390,1386,1370,1307,1296,1361,1451,909,1157,1401,1443,1386,zero
