control,mode,step,temperature,soft_loss,gradient_norm_before_clip,hard_checked,hard_improved,selected_best_step,hard_loss
zero,ENDPOINT_REFERENCE,0,0.5,,,True,True,0,0.001870624371804297
zero,ENDPOINT_REFERENCE,1,0.5,0.0004384176863823086,7.233301857922925e-06,True,True,1,0.0018558511510491371
zero,ENDPOINT_REFERENCE,2,0.5,0.00041066770791076124,5.191217951505678e-06,False,False,1,
zero,ENDPOINT_REFERENCE,3,0.5,0.00039640627801418304,5.173186764295679e-06,False,False,1,
zero,ENDPOINT_REFERENCE,4,0.5,0.000382887024898082,4.8974370656651445e-06,False,False,1,
zero,ENDPOINT_REFERENCE,5,0.5,0.0003692717000376433,4.395484666019911e-06,True,True,5,0.00179565220605582
zero,ENDPOINT_REFERENCE,6,0.5,0.00035665082396008074,3.925343207811238e-06,False,False,5,
zero,ENDPOINT_REFERENCE,7,0.5,0.0003454606339801103,3.5927923818235286e-06,False,False,5,
zero,ENDPOINT_REFERENCE,8,0.5,0.0003355661465320736,3.374173729753238e-06,False,False,5,
zero,ENDPOINT_REFERENCE,9,0.5,0.00032667219056747854,3.1588699584972346e-06,False,False,5,
zero,ENDPOINT_REFERENCE,10,0.5,0.0003186168323736638,2.9465818442986347e-06,True,True,10,0.0017155486857518554
zero,ENDPOINT_REFERENCE,11,0.5,0.00031134544406086206,2.744362291196012e-06,False,False,10,
zero,ENDPOINT_REFERENCE,12,0.5,0.0003048296784982085,2.545330289649428e-06,False,False,10,
zero,ENDPOINT_REFERENCE,13,0.5,0.0002990473003592342,2.3661384602746693e-06,False,False,10,
zero,ENDPOINT_REFERENCE,14,0.5,0.0002939642290584743,2.2017893570591696e-06,False,False,10,
zero,ENDPOINT_REFERENCE,15,0.5,0.0002895324141718447,2.04525827030011e-06,True,True,15,0.001672461861744523
zero,ENDPOINT_REFERENCE,16,0.5,0.00028569885762408376,1.9048978856517351e-06,False,False,15,
zero,ENDPOINT_REFERENCE,17,0.5,0.0002824050316121429,1.786074449228181e-06,False,False,15,
