optimized_by,mode,state_kind,evaluated_against,hard_rmse,hard_correct_observation_rmse,distance_to_truth_response,hidden_target_iou,hidden_target_recall,hidden_target_precision,hidden_target_true_positive_voxels,hidden_target_predicted_voxels,hidden_target_truth_voxels
correct,BASE_PLUS_PHYSICS,best_hard_state,correct,0.04152549430727959,0.04152549430727959,47.54116075834989,0.023597273203985317,0.03515625,0.06696428571428571,45,672,1280
correct,BASE_PLUS_PHYSICS,best_hard_state,zero,0.03948407992720604,0.04152549430727959,47.54116075834989,0.023597273203985317,0.03515625,0.06696428571428571,45,672,1280
correct,BASE_PLUS_PHYSICS,best_hard_state,shuffled_xy,0.041898488998413086,0.04152549430727959,47.54116075834989,0.023597273203985317,0.03515625,0.06696428571428571,45,672,1280
correct,BASE_PLUS_PHYSICS,final_state,correct,0.04152549430727959,0.04152549430727959,47.54116075834989,0.023597273203985317,0.03515625,0.06696428571428571,45,672,1280
correct,BASE_PLUS_PHYSICS,final_state,zero,0.03948407992720604,0.04152549430727959,47.54116075834989,0.023597273203985317,0.03515625,0.06696428571428571,45,672,1280
correct,BASE_PLUS_PHYSICS,final_state,shuffled_xy,0.041898488998413086,0.04152549430727959,47.54116075834989,0.023597273203985317,0.03515625,0.06696428571428571,45,672,1280
correct,ENDPOINT_REFERENCE,best_hard_state,correct,0.028345271944999695,0.028345271944999695,32.451560875172525,0.0015657620041753654,0.00234375,0.004694835680751174,3,639,1280
correct,ENDPOINT_REFERENCE,best_hard_state,zero,0.0269640926271677,0.028345271944999695,32.451560875172525,0.0015657620041753654,0.00234375,0.004694835680751174,3,639,1280
correct,ENDPOINT_REFERENCE,best_hard_state,shuffled_xy,0.03035416640341282,0.028345271944999695,32.451560875172525,0.0015657620041753654,0.00234375,0.004694835680751174,3,639,1280
correct,ENDPOINT_REFERENCE,final_state,correct,0.028345271944999695,0.028345271944999695,32.451560875172525,0.0015657620041753654,0.00234375,0.004694835680751174,3,639,1280
correct,ENDPOINT_REFERENCE,final_state,zero,0.0269640926271677,0.028345271944999695,32.451560875172525,0.0015657620041753654,0.00234375,0.004694835680751174,3,639,1280
correct,ENDPOINT_REFERENCE,final_state,shuffled_xy,0.03035416640341282,0.028345271944999695,32.451560875172525,0.0015657620041753654,0.00234375,0.004694835680751174,3,639,1280
zero,BASE_PLUS_PHYSICS,best_hard_state,correct,0.03906942903995514,0.03906942903995514,44.729291247206376,0.0016224986479177934,0.00234375,0.005244755244755245,3,572,1280
zero,BASE_PLUS_PHYSICS,best_hard_state,zero,0.037008367478847504,0.03906942903995514,44.729291247206376,0.0016224986479177934,0.00234375,0.005244755244755245,3,572,1280
zero,BASE_PLUS_PHYSICS,best_hard_state,shuffled_xy,0.03954293578863144,0.03906942903995514,44.729291247206376,0.0016224986479177934,0.00234375,0.005244755244755245,3,572,1280
zero,BASE_PLUS_PHYSICS,final_state,correct,0.03906942903995514,0.03906942903995514,44.729291247206376,0.0016224986479177934,0.00234375,0.005244755244755245,3,572,1280
zero,BASE_PLUS_PHYSICS,final_state,zero,0.037008367478847504,0.03906942903995514,44.729291247206376,0.0016224986479177934,0.00234375,0.005244755244755245,3,572,1280
zero,BASE_PLUS_PHYSICS,final_state,shuffled_xy,0.03954293578863144,0.03906942903995514,44.729291247206376,0.0016224986479177934,0.00234375,0.005244755244755245,3,572,1280
zero,ENDPOINT_REFERENCE,best_hard_state,correct,0.028788454830646515,0.028788454830646515,32.95894565084528,0.0,0.0,0.0,0,636,1280
zero,ENDPOINT_REFERENCE,best_hard_state,zero,0.025778919458389282,0.028788454830646515,32.95894565084528,0.0,0.0,0.0,0,636,1280
zero,ENDPOINT_REFERENCE,best_hard_state,shuffled_xy,0.029341546818614006,0.028788454830646515,32.95894565084528,0.0,0.0,0.0,0,636,1280
zero,ENDPOINT_REFERENCE,final_state,correct,0.028788454830646515,0.028788454830646515,32.95894565084528,0.0,0.0,0.0,0,636,1280
zero,ENDPOINT_REFERENCE,final_state,zero,0.025778919458389282,0.028788454830646515,32.95894565084528,0.0,0.0,0.0,0,636,1280
zero,ENDPOINT_REFERENCE,final_state,shuffled_xy,0.029341546818614006,0.028788454830646515,32.95894565084528,0.0,0.0,0.0,0,636,1280
shuffled_xy,BASE_PLUS_PHYSICS,best_hard_state,correct,0.04157550260424614,0.04157550260424614,47.598414735150534,0.002048131080389145,0.003125,0.005908419497784343,4,677,1280
shuffled_xy,BASE_PLUS_PHYSICS,best_hard_state,zero,0.03966502845287323,0.04157550260424614,47.598414735150534,0.002048131080389145,0.003125,0.005908419497784343,4,677,1280
shuffled_xy,BASE_PLUS_PHYSICS,best_hard_state,shuffled_xy,0.042036738246679306,0.04157550260424614,47.598414735150534,0.002048131080389145,0.003125,0.005908419497784343,4,677,1280
shuffled_xy,BASE_PLUS_PHYSICS,final_state,correct,0.04157550260424614,0.04157550260424614,47.598414735150534,0.002048131080389145,0.003125,0.005908419497784343,4,677,1280
shuffled_xy,BASE_PLUS_PHYSICS,final_state,zero,0.03966502845287323,0.04157550260424614,47.598414735150534,0.002048131080389145,0.003125,0.005908419497784343,4,677,1280
shuffled_xy,BASE_PLUS_PHYSICS,final_state,shuffled_xy,0.042036738246679306,0.04157550260424614,47.598414735150534,0.002048131080389145,0.003125,0.005908419497784343,4,677,1280
shuffled_xy,ENDPOINT_REFERENCE,best_hard_state,correct,0.029388025403022766,0.029388025403022766,33.645375178473586,0.0,0.0,0.0,0,634,1280
shuffled_xy,ENDPOINT_REFERENCE,best_hard_state,zero,0.026458121836185455,0.029388025403022766,33.645375178473586,0.0,0.0,0.0,0,634,1280
shuffled_xy,ENDPOINT_REFERENCE,best_hard_state,shuffled_xy,0.029233887791633606,0.029388025403022766,33.645375178473586,0.0,0.0,0.0,0,634,1280
shuffled_xy,ENDPOINT_REFERENCE,final_state,correct,0.029388025403022766,0.029388025403022766,33.645375178473586,0.0,0.0,0.0,0,634,1280
shuffled_xy,ENDPOINT_REFERENCE,final_state,zero,0.026458121836185455,0.029388025403022766,33.645375178473586,0.0,0.0,0.0,0,634,1280
shuffled_xy,ENDPOINT_REFERENCE,final_state,shuffled_xy,0.029233887791633606,0.029388025403022766,33.645375178473586,0.0,0.0,0.0,0,634,1280
