mode,state_kind,left,right,full_label_agreement,target_label_iou
BASE_PLUS_PHYSICS,best_hard_state,correct,zero,0.9302215576171875,0.6534743309020996
BASE_PLUS_PHYSICS,best_hard_state,correct,shuffled_xy,0.9241371154785156,0.6411752700805664
BASE_PLUS_PHYSICS,best_hard_state,zero,shuffled_xy,0.9307746887207031,0.6528819799423218
BASE_PLUS_PHYSICS,final_state,correct,zero,0.9302215576171875,0.6534743309020996
BASE_PLUS_PHYSICS,final_state,correct,shuffled_xy,0.9241371154785156,0.6411752700805664
BASE_PLUS_PHYSICS,final_state,zero,shuffled_xy,0.9307746887207031,0.6528819799423218
ENDPOINT_REFERENCE,best_hard_state,correct,zero,0.9968528747558594,0.9756563305854797
ENDPOINT_REFERENCE,best_hard_state,correct,shuffled_xy,0.9940414428710938,0.9606796503067017
ENDPOINT_REFERENCE,best_hard_state,zero,shuffled_xy,0.996917724609375,0.9825570583343506
ENDPOINT_REFERENCE,final_state,correct,zero,0.9968528747558594,0.9756563305854797
ENDPOINT_REFERENCE,final_state,correct,shuffled_xy,0.9940414428710938,0.9606796503067017
ENDPOINT_REFERENCE,final_state,zero,shuffled_xy,0.996917724609375,0.9825570583343506
