candidate_0,candidate_1,candidate_ids,is_truth_pair,hard_rmse,hard_attainment,selected_body_count,body_true_positive,body_precision,body_recall,rank
4,6,"candidate_04,candidate_06",True,0.0,1.0,2,2,1.0,1.0,1
4,10,"candidate_04,candidate_10",False,0.0505407378077507,0.0008127140739320193,2,1,0.5,0.5,2
0,6,"candidate_00,candidate_06",False,0.05058179423213005,1.0310826492609948e-06,2,1,0.5,0.5,3
4,5,"candidate_04,candidate_05",False,0.05058179423213005,1.0310826492609948e-06,2,1,0.5,0.5,4
0,4,"candidate_00,candidate_04",False,0.05058184266090393,7.36487606456393e-08,2,1,0.5,0.5,5
1,4,"candidate_01,candidate_04",False,0.05058184266090393,7.36487606456393e-08,2,1,0.5,0.5,6
1,6,"candidate_01,candidate_06",False,0.05058184266090393,7.36487606456393e-08,2,1,0.5,0.5,7
2,4,"candidate_02,candidate_04",False,0.05058184266090393,7.36487606456393e-08,2,1,0.5,0.5,8
2,6,"candidate_02,candidate_06",False,0.05058184266090393,7.36487606456393e-08,2,1,0.5,0.5,9
3,4,"candidate_03,candidate_04",False,0.05058184266090393,7.36487606456393e-08,2,1,0.5,0.5,10
3,6,"candidate_03,candidate_06",False,0.05058184266090393,7.36487606456393e-08,2,1,0.5,0.5,11
4,7,"candidate_04,candidate_07",False,0.05058184266090393,7.36487606456393e-08,2,1,0.5,0.5,12
4,8,"candidate_04,candidate_08",False,0.05058184266090393,7.36487606456393e-08,2,1,0.5,0.5,13
4,11,"candidate_04,candidate_11",False,0.05058184266090393,7.36487606456393e-08,2,1,0.5,0.5,14
5,6,"candidate_05,candidate_06",False,0.05058184266090393,7.36487606456393e-08,2,1,0.5,0.5,15
6,7,"candidate_06,candidate_07",False,0.05058184266090393,7.36487606456393e-08,2,1,0.5,0.5,16
6,9,"candidate_06,candidate_09",False,0.05058184266090393,7.36487606456393e-08,2,1,0.5,0.5,17
6,10,"candidate_06,candidate_10",False,0.05058184266090393,7.36487606456393e-08,2,1,0.5,0.5,18
6,11,"candidate_06,candidate_11",False,0.05058184266090393,7.36487606456393e-08,2,1,0.5,0.5,19
4,9,"candidate_04,candidate_09",False,0.05058184638619423,0.0,2,1,0.5,0.5,20
