candidate_0,candidate_1,candidate_ids,is_truth_pair,hard_rmse,hard_attainment,selected_body_count,body_true_positive,body_precision,body_recall,rank
4,6,"candidate_04,candidate_06",True,0.0,1.0,2,2,1.0,1.0,1
0,6,"candidate_00,candidate_06",False,0.08934622257947922,0.7800014713231415,2,1,0.5,0.5,2
6,9,"candidate_06,candidate_09",False,0.11459486186504364,0.7178313724252763,2,1,0.5,0.5,3
5,7,"candidate_05,candidate_07",False,0.15897062420845032,0.6085642748064715,2,0,0.0,0.0,4
6,7,"candidate_06,candidate_07",False,0.17016088962554932,0.5810103183414923,2,1,0.5,0.5,5
5,6,"candidate_05,candidate_06",False,0.1734844446182251,0.5728266796015906,2,1,0.5,0.5,6
5,11,"candidate_05,candidate_11",False,0.1776057928800583,0.5626786226654211,2,0,0.0,0.0,7
2,6,"candidate_02,candidate_06",False,0.1820320188999176,0.5517798607049582,2,1,0.5,0.5,8
4,10,"candidate_04,candidate_10",False,0.18485596776008606,0.5448264095532535,2,1,0.5,0.5,9
6,8,"candidate_06,candidate_08",False,0.1855456829071045,0.543128113719703,2,1,0.5,0.5,10
7,9,"candidate_07,candidate_09",False,0.19208848476409912,0.5270176756910265,2,0,0.0,0.0,11
6,11,"candidate_06,candidate_11",False,0.19310055673122406,0.5245256358794439,2,1,0.5,0.5,12
2,10,"candidate_02,candidate_10",False,0.1942412555217743,0.521716876333272,2,0,0.0,0.0,13
2,9,"candidate_02,candidate_09",False,0.1973613053560257,0.5140343313625186,2,0,0.0,0.0,14
5,10,"candidate_05,candidate_10",False,0.19908569753170013,0.5097883349391914,2,0,0.0,0.0,15
0,10,"candidate_00,candidate_10",False,0.20018833875656128,0.5070732851013304,2,0,0.0,0.0,16
2,5,"candidate_02,candidate_05",False,0.203162282705307,0.49975049881890543,2,0,0.0,0.0,17
4,7,"candidate_04,candidate_07",False,0.20346158742904663,0.49901351635957225,2,1,0.5,0.5,18
4,11,"candidate_04,candidate_11",False,0.21996188163757324,0.45838459726473324,2,1,0.5,0.5,19
