step,temperature,objective,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,probability_sum,probability_entropy,selected_indices,selected_count,selected_body_count,body_true_positive,body_precision,body_recall
0,1.0,,0.04654369130730629,0.05058184638619423,0.07983407818007426,0.0,0.07983407818007426,1.430435061454773,0.3653338849544525,,0,0,0,0.0,0.0
1,1.0,0.8499494194984436,0.04527043551206589,0.05058184638619423,0.10500626714128869,0.0,0.10500626714128869,1.3150579929351807,0.3449806869029999,,0,0,0,0.0,0.0
2,1.0,0.8057053089141846,0.043994322419166565,0.05058184638619423,0.13023494470193275,0.0,0.13023494470193275,1.2224104404449463,0.3264314830303192,,0,0,0,0.0,0.0
3,1.0,0.7625378370285034,0.042690832167863846,0.05058184638619423,0.15600486700469973,0.0,0.15600486700469973,1.15183687210083,0.3099406957626343,,0,0,0,0.0,0.0
4,1.0,0.7195216417312622,0.04133782535791397,0.05058184638619423,0.18275372863421835,0.0,0.18275372863421835,1.102055311203003,0.2955874502658844,,0,0,0,0.0,0.0
5,1.0,0.6759545803070068,0.03991703316569328,0.05058184638619423,0.21084270311278697,0.0,0.21084270311278697,1.0713778734207153,0.2832939624786377,,0,0,0,0.0,0.0
6,1.0,0.6313926577568054,0.03841501846909523,0.05058184638619423,0.24053744152012224,0.0,0.24053744152012224,1.0579214096069336,0.27286145091056824,,0,0,0,0.0,0.0
7,1.0,0.5856585502624512,0.03682377561926842,0.05058184638619423,0.27199621504289195,0.0,0.27199621504289195,1.0597540140151978,0.2640114724636078,,0,0,0,0.0,0.0
8,1.0,0.5388301610946655,0.035141099244356155,0.05058184638619423,0.30526262374740953,0.0,0.30526262374740953,1.0749733448028564,0.2564229965209961,,0,0,0,0.0,0.0
9,1.0,0.491216778755188,0.033370837569236755,0.05058184638619423,0.3402605884639085,0.0,0.3402605884639085,1.1017265319824219,0.24976271390914917,,0,0,0,0.0,0.0
10,1.0,0.44332510232925415,0.0315229557454586,0.05058184638619423,0.3767930987576117,0.0,0.3767930987576117,1.1381986141204834,0.24370841681957245,,0,0,0,0.0,0.0
11,1.0,0.39581388235092163,0.02961334027349949,0.05058184638619423,0.4145460794886655,0.0,0.4145460794886655,1.1825907230377197,0.237967848777771,,0,0,0,0.0,0.0
12,1.0,0.3494378924369812,0.02766326256096363,0.05058184638619423,0.453098996233676,0.0,0.453098996233676,1.2331063747406006,0.2322932481765747,,0,0,0,0.0,0.0
13,1.0,0.30498194694519043,0.025698283687233925,0.05058184638619423,0.4919465080213443,0.0,0.4919465080213443,1.2879579067230225,0.22649288177490234,,0,0,0,0.0,0.0
14,1.0,0.2631883919239044,0.0237466711550951,0.0,0.5305297680557486,1.0,-0.4694702319442514,1.3453959226608276,0.2204381227493286,"4,6",2,2,2,1.0,1.0
15,1.0,0.2246873676776886,0.021837402135133743,0.0,0.5682758994520606,1.0,-0.4317241005479394,1.403761863708496,0.21406546235084534,"4,6",2,2,2,1.0,1.0
16,1.0,0.1899407058954239,0.01999794878065586,0.0,0.6046417794247605,1.0,-0.3953582205752395,1.4615508317947388,0.20737245678901672,"4,6",2,2,2,1.0,1.0
17,1.0,0.15920741856098175,0.01825222745537758,0.0,0.6391545829303826,1.0,-0.36084541706961737,1.5174752473831177,0.20040792226791382,"4,6",2,2,2,1.0,1.0
18,1.0,0.13253773748874664,0.016619017347693443,0.0,0.6714430465664174,1.0,-0.3285569534335826,1.5705113410949707,0.19325761497020721,"4,6",2,2,2,1.0,1.0
19,1.0,0.10979428887367249,0.015111060813069344,0.0,0.7012552547470124,1.0,-0.29874474525298755,1.6199229955673218,0.18602803349494934,"4,6",2,2,2,1.0,1.0
20,1.0,0.09069301933050156,0.013734989799559116,0.0,0.7284600942659947,1.0,-0.2715399057340053,1.6652555465698242,0.17883092164993286,"4,6",2,2,2,1.0,1.0
21,1.0,0.07485446333885193,0.01249183900654316,0.0,0.7530371091800897,1.0,-0.2469628908199103,1.706307291984558,0.17177072167396545,"4,6",2,2,2,1.0,1.0
22,1.0,0.06185322254896164,0.011378102004528046,0.0,0.7750556213852728,1.0,-0.22494437861472716,1.7430824041366577,0.16493618488311768,"4,6",2,2,2,1.0,1.0
23,1.0,0.05126003921031952,0.010386877693235874,0.0,0.7946520652106749,1.0,-0.20534793478932512,1.7757402658462524,0.15839610993862152,"4,6",2,2,2,1.0,1.0
24,1.0,0.04267070069909096,0.009509095922112465,0.0,0.8120057569763236,1.0,-0.1879942430236764,1.8045434951782227,0.15219853818416595,"4,6",2,2,2,1.0,1.0
25,1.0,0.03572387248277664,0.008734532631933689,0.0,0.8273188257058626,1.0,-0.17268117429413743,1.82981538772583,0.14637234807014465,"4,6",2,2,2,1.0,1.0
26,1.0,0.030108420178294182,0.008052592165768147,0.0,0.8408007468868116,1.0,-0.1591992531131884,1.8519048690795898,0.14093026518821716,"4,6",2,2,2,1.0,1.0
27,1.0,0.025563722476363182,0.0074529084376990795,0.0,0.8526564574018146,1.0,-0.14734354259818538,1.8711628913879395,0.1358722299337387,"4,6",2,2,2,1.0,1.0
28,1.0,0.02187611162662506,0.0069257114082574844,0.0,0.8630791103318091,1.0,-0.13692088966819094,1.8879244327545166,0.13118873536586761,"4,6",2,2,2,1.0,1.0
29,1.0,0.0188729390501976,0.0064620221965014935,0.0,0.8722462176021863,1.0,-0.12775378239781365,1.902500867843628,0.1268637776374817,"4,6",2,2,2,1.0,1.0
30,1.0,0.016416089609265327,0.006053769960999489,0.0,0.8803173392529261,1.0,-0.1196826607470739,1.9151731729507446,0.12287720292806625,"4,6",2,2,2,1.0,1.0
31,1.0,0.014395896345376968,0.005693788640201092,0.0,0.8874341478812614,1.0,-0.1125658521187386,1.9261925220489502,0.11920665204524994,"4,6",2,2,2,1.0,1.0
32,1.0,0.012725547887384892,0.005375776905566454,0.0,0.8937212203658561,1.0,-0.1062787796341439,1.935779094696045,0.1158287450671196,"4,6",2,2,2,1.0,1.0
33,1.0,0.01133642252534628,0.00509424414485693,0.0,0.8992871057738345,1.0,-0.10071289422616547,1.944125771522522,0.11272026598453522,"4,6",2,2,2,1.0,1.0
34,1.0,0.010174306109547615,0.004844435956329107,0.0,0.9042257983359946,1.0,-0.09577420166400541,1.9513987302780151,0.10985871404409409,"4,6",2,2,2,1.0,1.0
35,1.0,0.009196318686008453,0.004622234031558037,0.0,0.9086187167572509,1.0,-0.09138128324274908,1.9577422142028809,0.10722269862890244,"4,6",2,2,2,1.0,1.0
