step,temperature,objective,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,probability_sum,probability_entropy,selected_indices,selected_count,selected_body_count,body_true_positive,body_precision,body_recall
0,1.0,,0.009084286168217659,0.008885824121534824,-0.022334680944433805,0.0,-0.022334680944433805,1.430435061454773,0.3653338849544525,,0,0,0,0.0,0.0
1,1.0,1.0484123229980469,0.008826026692986488,0.008885824121534824,0.006729530961952834,0.0,0.006729530961952834,1.3150579929351807,0.3449806869029999,,0,0,0,0.0,0.0
2,1.0,0.991277813911438,0.008660129271447659,0.008885824121534824,0.025399428010306146,0.0,0.025399428010306146,1.2574405670166016,0.33326196670532227,,0,0,0,0.0,0.0
3,1.0,0.9553602337837219,0.008354637771844864,0.008885824121534824,0.05977907534796112,0.0,0.05977907534796112,1.1851767301559448,0.3177753686904907,,0,0,0,0.0,0.0
4,1.0,0.8906547427177429,0.008120862767100334,0.008885824121534824,0.08608783428209021,0.0,0.08608783428209021,1.1298444271087646,0.30392950773239136,,0,0,0,0.0,0.0
5,1.0,0.8428071141242981,0.008091915398836136,0.008885824121534824,0.08934553642296927,0.0,0.08934553642296927,1.0838167667388916,0.291462779045105,,0,0,0,0.0,0.0
6,1.0,0.8376855254173279,0.007898813113570213,0.008885824121534824,0.11107703623939469,0.0,0.11107703623939469,1.060234546661377,0.28217819333076477,,0,0,0,0.0,0.0
7,1.0,0.7990156412124634,0.007832363247871399,0.008885824121534824,0.11855522450757938,0.0,0.11855522450757938,1.0295759439468384,0.2717077136039734,,0,0,0,0.0,0.0
8,1.0,0.7863621115684509,0.007617336232215166,0.008885824121534824,0.14275410721279902,0.0,0.14275410721279902,1.0145370960235596,0.2628721296787262,,0,0,0,0.0,0.0
9,1.0,0.7445818781852722,0.007675588596612215,0.008885824121534824,0.1361984559191982,0.0,0.1361984559191982,0.9958150386810303,0.25405558943748474,,0,0,0,0.0,0.0
10,1.0,0.7562369704246521,0.007469420321285725,0.008885824121534824,0.15940038660189548,0.0,0.15940038660189548,0.99431973695755,0.24718789756298065,,0,0,0,0.0,0.0
11,1.0,0.7167217135429382,0.007595201022922993,0.008885824121534824,0.1452451771450216,0.0,0.1452451771450216,0.9878526926040649,0.2404291033744812,,0,0,0,0.0,0.0
12,1.0,0.7408502697944641,0.007389099337160587,0.008885824121534824,0.1684396139179617,0.0,0.1684396139179617,0.9977596998214722,0.2353188693523407,,0,0,0,0.0,0.0
13,1.0,0.701537549495697,0.007545475848019123,0.008885824121534824,0.15084118874999597,0.0,0.15084118874999597,0.9992918968200684,0.23008689284324646,,0,0,0,0.0,0.0
