step,temperature,objective,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,probability_sum,probability_entropy,selected_indices,selected_count,selected_body_count,body_true_positive,body_precision,body_recall
0,1.0,,0.011982856318354607,0.014049739576876163,-0.10107433207250072,-0.2909950023105756,0.1899206702380749,1.430435061454773,0.3653338849544525,"0,1",2,2,0,0.0,0.0
1,1.0,1.6666679382324219,0.011953778564929962,0.014049729332327843,-0.098402450921663,-0.29099406096496483,0.19259161004330183,1.4006916284561157,0.3601943254470825,"2,3",2,2,0,0.0,0.0
2,1.0,1.6666656732559204,0.011916270479559898,0.014049723744392395,-0.0949559279100416,-0.29099354750372264,0.19603761959368105,1.3601795434951782,0.35303911566734314,"4,5",2,2,1,0.5,0.5
3,1.0,1.6666642427444458,0.011860243044793606,0.014049739576876163,-0.0898077087647835,-0.2909950023105756,0.20118729354579212,1.3117306232452393,0.3443686366081238,"6,7",2,2,1,0.5,0.5
4,1.0,1.6666679382324219,0.011797504499554634,0.014049729332327843,-0.08404282266760221,-0.29099406096496483,0.20695123829736262,1.2567847967147827,0.33444011211395264,"8,9",2,2,0,0.0,0.0
5,1.0,1.6666656732559204,0.01173334289342165,0.01404972467571497,-0.07814717510739899,-0.2909936330805962,0.21284645797319723,1.196244239807129,0.323416531085968,"10,11",2,2,0,0.0,0.0
6,1.0,1.6666643619537354,0.011664443649351597,0.01404972467571497,-0.07181619799065508,-0.2909936330805962,0.21917743508994114,1.1307373046875,0.31141263246536255,"10,11",2,2,0,0.0,0.0
7,1.0,1.6666643619537354,0.011608108878135681,0.01404972467571497,-0.06663973847707405,-0.2909936330805962,0.22435389460352217,1.0700366497039795,0.3000296950340271,"10,11",2,2,0,0.0,0.0
8,1.0,1.6666643619537354,0.011522812768816948,0.014049729332327843,-0.058802094921868386,-0.29099406096496483,0.23219196604309644,1.0148773193359375,0.2893967628479004,"8,9",2,2,0,0.0,0.0
9,1.0,1.6666656732559204,0.011443942785263062,0.014049729332327843,-0.05155493179523174,-0.29099406096496483,0.2394391291697331,0.9628294706344604,0.2790893018245697,"8,9",2,2,0,0.0,0.0
10,1.0,1.6666656732559204,0.01139826886355877,0.014049739576876163,-0.047358070754959236,-0.2909950023105756,0.2436369315556164,0.9149589538574219,0.2693417966365814,"6,7",2,2,1,0.5,0.5
11,1.0,1.6666679382324219,0.011370904743671417,0.014049739576876163,-0.04484365105173982,-0.2909950023105756,0.2461513512588358,0.869269609451294,0.25979942083358765,"6,7",2,2,1,0.5,0.5
12,1.0,1.6666679382324219,0.01135337632149458,0.014049723744392395,-0.04323300871172564,-0.29099354750372264,0.247760538791997,0.8267964124679565,0.25070253014564514,"4,5",2,2,1,0.5,0.5
13,1.0,1.6666642427444458,0.01132368016988039,0.014049723744392395,-0.04050430451674747,-0.29099354750372264,0.25048924298697517,0.7859119176864624,0.2417488694190979,"4,5",2,2,1,0.5,0.5
14,1.0,1.6666642427444458,0.011281350627541542,0.014049729332327843,-0.03661475002995185,-0.29099406096496483,0.254379310935013,0.7475486993789673,0.23316065967082977,"2,3",2,2,0,0.0,0.0
15,1.0,1.6666656732559204,0.01123267412185669,0.014049729332327843,-0.03214198914885236,-0.29099406096496483,0.2588520718161125,0.7104158401489258,0.22468557953834534,"2,3",2,2,0,0.0,0.0
16,1.0,1.6666656732559204,0.011187266558408737,0.014049739576876163,-0.02796960309445984,-0.2909950023105756,0.2630253992161158,0.675315260887146,0.21651963889598846,"0,1",2,2,0,0.0,0.0
17,1.0,1.6666679382324219,0.011150513775646687,0.014049739576876163,-0.024592482927413784,-0.2909950023105756,0.26640251938316184,0.6413637399673462,0.20847825706005096,"0,1",2,2,0,0.0,0.0
18,1.0,1.6666679382324219,0.011121121235191822,0.014049739576876163,-0.021891676793263315,-0.2909950023105756,0.2691033255173123,0.6091610789299011,0.20071785151958466,"0,1",2,2,0,0.0,0.0
19,1.0,1.6666679382324219,0.011098170652985573,0.014049729332327843,-0.01978280589453507,-0.29099406096496483,0.27121125507042976,0.5790722966194153,0.19333231449127197,"2,3",2,2,0,0.0,0.0
20,1.0,1.6666656732559204,0.011080212891101837,0.014049729332327843,-0.018132712615742674,-0.29099406096496483,0.27286134834922215,0.5510599613189697,0.1863243281841278,"2,3",2,2,0,0.0,0.0
21,1.0,1.6666656732559204,0.01106599997729063,0.01404972467571497,-0.016826723946120836,-0.2909936330805962,0.2741669091344754,0.5251957178115845,0.17972847819328308,"10,11",2,2,0,0.0,0.0
22,1.0,1.6666643619537354,0.01105437334626913,0.014049723744392395,-0.015758382254779546,-0.29099354750372264,0.2752351652489431,0.5013408064842224,0.17353543639183044,"4,5",2,2,1,0.5,0.5
23,1.0,1.6666642427444458,0.011044399812817574,0.014049729332327843,-0.0148419395142656,-0.29099406096496483,0.27615212145069923,0.47900617122650146,0.1676432192325592,"8,9",2,2,0,0.0,0.0
24,1.0,1.6666656732559204,0.011035667732357979,0.014049739576876163,-0.014039570746401386,-0.2909950023105756,0.27695543156417424,0.4581416845321655,0.1620567888021469,"6,7",2,2,1,0.5,0.5
25,1.0,1.6666679382324219,0.011027811095118523,0.014049739576876163,-0.013317644239820625,-0.2909950023105756,0.277677358070755,0.43848785758018494,0.15672415494918823,"6,7",2,2,1,0.5,0.5
26,1.0,1.6666679382324219,0.011019405908882618,0.01404972467571497,-0.01254531295462713,-0.2909936330805962,0.2784483201259691,0.4200360178947449,0.15165257453918457,"10,11",2,2,0,0.0,0.0
27,1.0,1.6666643619537354,0.011011064983904362,0.014049729332327843,-0.011778886473719385,-0.29099406096496483,0.27921517449124544,0.40280595421791077,0.14685776829719543,"8,9",2,2,0,0.0,0.0
28,1.0,1.6666656732559204,0.011003286577761173,0.01404972467571497,-0.01106414842452974,-0.2909936330805962,0.2799294846560665,0.3866068124771118,0.1422966569662094,"10,11",2,2,0,0.0,0.0
