candidate_0,candidate_1,candidate_ids,is_truth_pair,hard_rmse,hard_attainment,selected_body_count,body_true_positive,body_precision,body_recall,rank
4,6,"candidate_04,candidate_06",True,0.0,1.0,2,2,1.0,1.0,1
6,11,"candidate_06,candidate_11",False,0.008885814808309078,1.0480992667094569e-06,2,1,0.5,0.5,2
2,6,"candidate_02,candidate_06",False,0.008885815739631653,9.432893400829201e-07,2,1,0.5,0.5,3
5,6,"candidate_05,candidate_06",False,0.008885815739631653,9.432893400829201e-07,2,1,0.5,0.5,4
6,9,"candidate_06,candidate_09",False,0.008885815739631653,9.432893400829201e-07,2,1,0.5,0.5,5
6,10,"candidate_06,candidate_10",False,0.008885815739631653,9.432893400829201e-07,2,1,0.5,0.5,6
1,6,"candidate_01,candidate_06",False,0.008885824121534824,0.0,2,1,0.5,0.5,7
2,4,"candidate_02,candidate_04",False,0.008885824121534824,0.0,2,1,0.5,0.5,8
3,6,"candidate_03,candidate_06",False,0.008885824121534824,0.0,2,1,0.5,0.5,9
4,5,"candidate_04,candidate_05",False,0.008885824121534824,0.0,2,1,0.5,0.5,10
4,9,"candidate_04,candidate_09",False,0.008885824121534824,0.0,2,1,0.5,0.5,11
4,10,"candidate_04,candidate_10",False,0.008885824121534824,0.0,2,1,0.5,0.5,12
4,11,"candidate_04,candidate_11",False,0.008885824121534824,0.0,2,1,0.5,0.5,13
6,8,"candidate_06,candidate_08",False,0.008885824121534824,0.0,2,1,0.5,0.5,14
0,6,"candidate_00,candidate_06",False,0.008885831572115421,-8.384794134563833e-07,2,1,0.5,0.5,15
4,8,"candidate_04,candidate_08",False,0.008885831572115421,-8.384794134563833e-07,2,1,0.5,0.5,16
1,4,"candidate_01,candidate_04",False,0.008885832503437996,-9.432893399718978e-07,2,1,0.5,0.5,17
3,4,"candidate_03,candidate_04",False,0.008885832503437996,-9.432893399718978e-07,2,1,0.5,0.5,18
6,7,"candidate_06,candidate_07",False,0.008885832503437996,-9.432893399718978e-07,2,1,0.5,0.5,19
0,4,"candidate_00,candidate_04",False,0.008885840885341167,-1.8865786801658402e-06,2,1,0.5,0.5,20
4,7,"candidate_04,candidate_07",False,0.008885840885341167,-1.8865786801658402e-06,2,1,0.5,0.5,21
2,5,"candidate_02,candidate_05",False,0.01256644632667303,-0.41421281299257395,2,0,0.0,0.0,22
2,9,"candidate_02,candidate_09",False,0.01256644632667303,-0.41421281299257395,2,0,0.0,0.0,23
2,10,"candidate_02,candidate_10",False,0.01256644632667303,-0.41421281299257395,2,0,0.0,0.0,24
