step,temperature,objective,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,probability_sum,probability_entropy,selected_indices,selected_count,selected_body_count,body_true_positive,body_precision,body_recall
0,1.0,,0.04654369130730629,0.07153348624706268,0.07983407818007426,-0.4142126347247572,0.4940467129048315,1.430435061454773,0.3653338849544525,"0,1",2,2,0,0.0,0.0
1,1.0,1.999997615814209,0.045684900134801865,0.0,0.09681232697604591,1.0,-0.9031876730239541,1.4444475173950195,0.36709362268447876,"4,6",2,2,2,1.0,1.0
2,1.0,1.0846781202985666e-14,0.04508070647716522,0.0,0.10875719852192833,1.0,-0.8912428014780717,1.4589849710464478,0.36848753690719604,"4,6",2,2,2,1.0,1.0
3,1.0,0.0,0.04459693655371666,0.0,0.11832130023057219,1.0,-0.8816786997694278,1.4731764793395996,0.3696984648704529,"4,6",2,2,2,1.0,1.0
4,1.0,0.0,0.044189516454935074,0.0,0.12637597058939853,1.0,-0.8736240294106015,1.4867446422576904,0.37077566981315613,"4,6",2,2,2,1.0,1.0
5,1.0,0.0,0.04383727163076401,0.0,0.13333982915402398,1.0,-0.866660170845976,1.4995821714401245,0.3717429041862488,"4,6",2,2,2,1.0,1.0
6,1.0,0.0,0.04352789744734764,0.0,0.13945613778092303,1.0,-0.860543862219077,1.5116521120071411,0.37261518836021423,"4,6",2,2,2,1.0,1.0
7,1.0,0.0,0.04325339198112488,0.0,0.14488309400800314,1.0,-0.8551169059919969,1.5229524374008179,0.37340399622917175,"4,6",2,2,2,1.0,1.0
8,1.0,0.0,0.04300808534026146,0.0,0.1497327912489953,1.0,-0.8502672087510047,1.5334994792938232,0.3741184175014496,"4,6",2,2,2,1.0,1.0
9,1.0,0.0,0.04278776794672012,0.0,0.1540884526034505,1.0,-0.8459115473965495,1.5433204174041748,0.3747662901878357,"4,6",2,2,2,1.0,1.0
10,1.0,0.0,0.042589154094457626,0.0,0.15801503627827473,1.0,-0.8419849637217253,1.5524470806121826,0.3753542900085449,"4,6",2,2,2,1.0,1.0
11,1.0,0.0,0.04240959882736206,0.0,0.16156483289353973,1.0,-0.8384351671064603,1.560915231704712,0.3758883476257324,"4,6",2,2,2,1.0,1.0
12,1.0,0.0,0.042246922850608826,0.0,0.1647809269742342,1.0,-0.8352190730257658,1.5687613487243652,0.3763737082481384,"4,6",2,2,2,1.0,1.0
13,1.0,5.423390601492833e-15,0.04209929332137108,0.0,0.16769955371060496,1.0,-0.832300446289395,1.5760222673416138,0.3768150806427002,"4,6",2,2,2,1.0,1.0
14,1.0,0.0,0.041965145617723465,0.0,0.17035164558213123,1.0,-0.8296483544178688,1.5827343463897705,0.3772165775299072,"4,6",2,2,2,1.0,1.0
15,1.0,0.0,0.04184311628341675,0.0,0.17276415803521605,1.0,-0.827235841964784,1.588932752609253,0.37758201360702515,"4,6",2,2,2,1.0,1.0
16,1.0,0.0,0.04173203185200691,0.0,0.1749602904294687,1.0,-0.8250397095705313,1.5946518182754517,0.3779147267341614,"4,6",2,2,2,1.0,1.0
