step,temperature,objective,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,probability_sum,probability_entropy,selected_indices,selected_count,selected_body_count,body_true_positive,body_precision,body_recall
0,1.0,,0.06430404633283615,0.06987712532281876,0.07975541300870725,0.0,0.07975541300870725,1.430435061454773,0.3653338849544525,,0,0,0,0.0,0.0
1,1.0,0.8500942587852478,0.06254453957080841,0.06987712532281876,0.1049354236903024,0.0,0.1049354236903024,1.3150579929351807,0.3449806869029999,,0,0,0,0.0,0.0
2,1.0,0.8058322072029114,0.06078111007809639,0.06987712532281876,0.13017157192286521,0.0,0.13017157192286521,1.2224079370498657,0.326431006193161,,0,0,0,0.0,0.0
3,1.0,0.7626479864120483,0.05897989124059677,0.06987712532281876,0.1559485172276175,0.0,0.1559485172276175,1.1518290042877197,0.30993908643722534,,0,0,0,0.0,0.0
4,1.0,0.7196168303489685,0.05711032450199127,0.06987712532281876,0.18270357805715876,0.0,0.18270357805715876,1.102038860321045,0.29558390378952026,,0,0,0,0.0,0.0
5,1.0,0.6760367751121521,0.05514715239405632,0.06987712532281876,0.2107982098678619,0.0,0.2107982098678619,1.0713508129119873,0.2832878530025482,,0,0,0,0.0,0.0
6,1.0,0.6314634084701538,0.053071826696395874,0.06987712532281876,0.2404978531784996,0.0,0.2404978531784996,1.0578821897506714,0.27285218238830566,,0,0,0,0.0,0.0
7,1.0,0.5857194066047668,0.050873275846242905,0.06987712532281876,0.2719609512953167,0.0,0.2719609512953167,1.0597020387649536,0.26399874687194824,,0,0,0,0.0,0.0
8,1.0,0.5388824939727783,0.048548463732004166,0.06987712532281876,0.3052309535098977,0.0,0.3052309535098977,1.07490873336792,0.2564065754413605,,0,0,0,0.0,0.0
9,1.0,0.49126195907592773,0.04610268771648407,0.06987712532281876,0.34023205013803015,0.0,0.34023205013803015,1.1016497611999512,0.24974259734153748,,0,0,0,0.0,0.0
10,1.0,0.44336408376693726,0.04354969784617424,0.06987712532281876,0.37676746653524895,0.0,0.37676746653524895,1.138110876083374,0.2436847686767578,,0,0,0,0.0,0.0
11,1.0,0.395847350358963,0.0409114733338356,0.06987712532281876,0.41452266181769015,0.0,0.41452266181769015,1.1824928522109985,0.23794078826904297,,0,0,0,0.0,0.0
12,1.0,0.34946689009666443,0.03821736201643944,0.06987712532281876,0.4530776439373737,0.0,0.4530776439373737,1.232999563217163,0.23226305842399597,,0,0,0,0.0,0.0
13,1.0,0.3050069808959961,0.035502687096595764,0.06987712532281876,0.49192690837552,0.0,0.49192690837552,1.2878432273864746,0.22645986080169678,,0,0,0,0.0,0.0
14,1.0,0.2632099390029907,0.03280648961663246,0.0,0.5305117452231636,1.0,-0.4694882547768364,1.3452746868133545,0.22040259838104248,"4,6",2,2,2,1.0,1.0
15,1.0,0.22470586001873016,0.030168801546096802,0.0,0.5682592635755579,1.0,-0.4317407364244421,1.4036349058151245,0.21402767300605774,"4,6",2,2,2,1.0,1.0
16,1.0,0.18995660543441772,0.02762756682932377,0.0,0.6046264539119237,1.0,-0.3953735460880763,1.461419701576233,0.2073327898979187,"4,6",2,2,2,1.0,1.0
17,1.0,0.15922094881534576,0.025215832516551018,0.0,0.6391403853541662,1.0,-0.3608596146458338,1.5173405408859253,0.20036670565605164,"4,6",2,2,2,1.0,1.0
18,1.0,0.13254927098751068,0.022959517315030098,0.0,0.6714301395633895,1.0,-0.3285698604366105,1.5703743696212769,0.19321510195732117,"4,6",2,2,2,1.0,1.0
19,1.0,0.1098039373755455,0.02087625116109848,0.0,0.701243417432325,1.0,-0.298756582567675,1.6197843551635742,0.18598446249961853,"4,6",2,2,2,1.0,1.0
20,1.0,0.0907011404633522,0.01897517219185829,0.0,0.7284494445901046,1.0,-0.27155055540989537,1.6651161909103394,0.17878660559654236,"4,6",2,2,2,1.0,1.0
21,1.0,0.07486117631196976,0.01725773699581623,0.0,0.7530273760391711,1.0,-0.24697262396082886,1.7061675786972046,0.1717258095741272,"4,6",2,2,2,1.0,1.0
22,1.0,0.061858851462602615,0.01571907103061676,0.0,0.7750469705501235,1.0,-0.2249530294498765,1.7429431676864624,0.16489091515541077,"4,6",2,2,2,1.0,1.0
23,1.0,0.051264647394418716,0.014349665492773056,0.0,0.7946443070392437,1.0,-0.2053556929607563,1.775601863861084,0.15835070610046387,"4,6",2,2,2,1.0,1.0
24,1.0,0.04267450422048569,0.013136976398527622,0.0,0.8119989003863948,1.0,-0.18800109961360523,1.8044066429138184,0.1521531045436859,"4,6",2,2,2,1.0,1.0
25,1.0,0.035726986825466156,0.012066876515746117,0.0,0.8273129230774808,1.0,-0.17268707692251917,1.8296802043914795,0.14632698893547058,"4,6",2,2,2,1.0,1.0
26,1.0,0.0301109179854393,0.011124739423394203,0.0,0.8407956914083105,1.0,-0.15920430859168955,1.8517719507217407,0.14088520407676697,"4,6",2,2,2,1.0,1.0
27,1.0,0.025565726682543755,0.010296251624822617,0.0,0.8526520434654985,1.0,-0.1473479565345015,1.8710318803787231,0.13582755625247955,"4,6",2,2,2,1.0,1.0
28,1.0,0.021877750754356384,0.009567891247570515,0.0,0.863075488532639,1.0,-0.13692451146736095,1.88779616355896,0.13114452362060547,"4,6",2,2,2,1.0,1.0
29,1.0,0.018874218687415123,0.008927282877266407,0.0,0.872243129120952,1.0,-0.12775687087904797,1.9023751020431519,0.1268201768398285,"4,6",2,2,2,1.0,1.0
30,1.0,0.0164171252399683,0.008363252505660057,0.0,0.8803148746170731,1.0,-0.11968512538292686,1.9150505065917969,0.12283426523208618,"4,6",2,2,2,1.0,1.0
31,1.0,0.014396695420145988,0.007865914143621922,0.0,0.8874322017787234,1.0,-0.1125677982212766,1.9260727167129517,0.11916442960500717,"4,6",2,2,2,1.0,1.0
32,1.0,0.012726162560284138,0.007426558993756771,0.0,0.8937197407671321,1.0,-0.10628025923286788,1.9356622695922852,0.11578729003667831,"4,6",2,2,2,1.0,1.0
33,1.0,0.011336887255311012,0.007037607487291098,0.0,0.8992859615392202,1.0,-0.10071403846077975,1.944011926651001,0.1126796305179596,"4,6",2,2,2,1.0,1.0
34,1.0,0.010174663737416267,0.0066924807615578175,0.0,0.9042250131120899,1.0,-0.09577498688791009,1.951288104057312,0.10981893539428711,"4,6",2,2,2,1.0,1.0
35,1.0,0.009196576662361622,0.006385490298271179,0.0,0.9086183029314464,1.0,-0.09138169706855359,1.9576349258422852,0.10718371719121933,"4,6",2,2,2,1.0,1.0
36,1.0,0.00836856383830309,0.006111740600317717,0.0,0.9125358896479691,1.0,-0.08746411035203094,1.9631763696670532,0.10475411266088486,"4,6",2,2,2,1.0,1.0
37,1.0,0.007663530297577381,0.005866990890353918,0.0,0.916038462325839,1.0,-0.08396153767416104,1.9680193662643433,0.10251142829656601,"4,6",2,2,2,1.0,1.0
38,1.0,0.007059768307954073,0.005647606682032347,0.0,0.919178033498924,1.0,-0.08082196650107598,1.9722551107406616,0.10043863952159882,"4,6",2,2,2,1.0,1.0
39,1.0,0.006539888679981232,0.005450433120131493,0.0,0.9219997517792619,1.0,-0.07800024822073814,1.9759628772735596,0.09852009266614914,"4,6",2,2,2,1.0,1.0
40,1.0,0.006089817266911268,0.0052727703005075455,0.0,0.9245422550491542,1.0,-0.07545774495084578,1.979210376739502,0.0967416763305664,"4,6",2,2,2,1.0,1.0
41,1.0,0.005698193795979023,0.005112270824611187,0.0,0.9268391365415579,1.0,-0.07316086345844208,1.9820557832717896,0.09509044885635376,"4,6",2,2,2,1.0,1.0
42,1.0,0.005355732049793005,0.004966902546584606,0.0,0.9289194779602269,1.0,-0.07108052203977311,1.984549641609192,0.09355475753545761,"4,6",2,2,2,1.0,1.0
43,1.0,0.005054828245192766,0.0048349034041166306,0.0,0.9308084958878844,1.0,-0.06919150411211561,1.9867357015609741,0.09212398529052734,"4,6",2,2,2,1.0,1.0
44,1.0,0.0047892238944768906,0.004714752547442913,0.0,0.9325279549543335,1.0,-0.0674720450456665,1.9886512756347656,0.09078874439001083,"4,6",2,2,2,1.0,1.0
45,1.0,0.004553765524178743,0.004605108872056007,0.0,0.9340970474846912,1.0,-0.06590295251530875,1.9903292655944824,0.08954028785228729,"4,6",2,2,2,1.0,1.0
46,1.0,0.004344134591519833,0.004504813347011805,0.0,0.93553236017938,1.0,-0.06446763982061998,1.9917980432510376,0.0883709043264389,"4,6",2,2,2,1.0,1.0
47,1.0,0.0041567496955394745,0.004412843845784664,0.0,0.9368485205222999,1.0,-0.06315147947770006,1.9930824041366577,0.08727355301380157,"4,6",2,2,2,1.0,1.0
