step,temperature,objective,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,probability_sum,probability_entropy,selected_indices,selected_count,selected_body_count,body_true_positive,body_precision,body_recall
0,1.0,,0.06430404633283615,0.09882117807865143,0.07975541300870725,-0.4142135587592759,0.49396897176798316,1.430435061454773,0.3653338849544525,"0,1",2,2,0,0.0,0.0
1,1.0,2.0,0.06306146830320358,0.0,0.09753774197390297,1.0,-0.902462258026097,1.43403160572052,0.36553871631622314,"4,6",2,2,2,1.0,1.0
2,1.0,3.552713678800501e-15,0.06217237561941147,0.0,0.11026140053433564,1.0,-0.8897385994656644,1.4404572248458862,0.3658997714519501,"4,6",2,2,2,1.0,1.0
3,1.0,0.0,0.06145129352807999,0.0,0.12058068725370519,1.0,-0.8794193127462948,1.4476207494735718,0.3662946820259094,"4,6",2,2,2,1.0,1.0
4,1.0,0.0,0.060837533324956894,0.0,0.12936410815557597,1.0,-0.870635891844424,1.4549064636230469,0.36668819189071655,"4,6",2,2,2,1.0,1.0
5,1.0,0.0,0.06030198559165001,0.0,0.1370282433190183,1.0,-0.8629717566809817,1.4620535373687744,0.36706623435020447,"4,6",2,2,2,1.0,1.0
6,1.0,0.0,0.0598277822136879,0.0,0.14381448954439446,1.0,-0.8561855104556055,1.468935489654541,0.36742278933525085,"4,6",2,2,2,1.0,1.0
7,1.0,0.0,0.059403933584690094,0.0,0.14988011727363637,1.0,-0.8501198827263636,1.4754886627197266,0.3677555322647095,"4,6",2,2,2,1.0,1.0
8,1.0,0.0,0.05902266502380371,0.0,0.15533638868040933,1.0,-0.8446636113195907,1.4816826581954956,0.3680640459060669,"4,6",2,2,2,1.0,1.0
9,1.0,0.0,0.05867816507816315,0.0,0.16026647050688747,1.0,-0.8397335294931125,1.487506628036499,0.36834877729415894,"4,6",2,2,2,1.0,1.0
10,1.0,0.0,0.05836588889360428,0.0,0.16473540341041215,1.0,-0.8352645965895878,1.4929611682891846,0.3686107099056244,"4,6",2,2,2,1.0,1.0
11,1.0,3.552713678800501e-15,0.05808214470744133,0.0,0.1687960195970699,1.0,-0.8312039804029301,1.498053789138794,0.3688511848449707,"4,6",2,2,2,1.0,1.0
12,1.0,0.0,0.057823874056339264,0.0,0.17249208823053053,1.0,-0.8275079117694695,1.5027968883514404,0.3690716624259949,"4,6",2,2,2,1.0,1.0
13,1.0,0.0,0.05758848786354065,0.0,0.1758606611606729,1.0,-0.8241393388393271,1.5072052478790283,0.36927348375320435,"4,6",2,2,2,1.0,1.0
14,1.0,0.0,0.05737375468015671,0.0,0.17893367228401147,1.0,-0.8210663277159885,1.5112950801849365,0.36945807933807373,"4,6",2,2,2,1.0,1.0
15,1.0,0.0,0.05717770755290985,0.0,0.18173927034405124,1.0,-0.8182607296559488,1.51508367061615,0.36962684988975525,"4,6",2,2,2,1.0,1.0
16,1.0,3.552713678800501e-15,0.05699864402413368,0.0,0.18430181893128816,1.0,-0.8156981810687118,1.5185885429382324,0.3697810173034668,"4,6",2,2,2,1.0,1.0
17,1.0,0.0,0.05683502182364464,0.0,0.186643389219607,1.0,-0.813356610780393,1.5218268632888794,0.36992186307907104,"4,6",2,2,2,1.0,1.0
18,1.0,0.0,0.05668548494577408,0.0,0.18878338678218176,1.0,-0.8112166132178182,1.5248157978057861,0.37005043029785156,"4,6",2,2,2,1.0,1.0
19,1.0,0.0,0.05654878914356232,0.0,0.19073961783175986,1.0,-0.8092603821682401,1.527571678161621,0.3701677918434143,"4,6",2,2,2,1.0,1.0
20,1.0,0.0,0.05642383173108101,0.0,0.19252786272454891,1.0,-0.8074721372754511,1.530110478401184,0.3702748715877533,"4,6",2,2,2,1.0,1.0
21,1.0,0.0,0.05630960687994957,0.0,0.19416251570438658,1.0,-0.8058374842956134,1.532447099685669,0.37037259340286255,"4,6",2,2,2,1.0,1.0
22,1.0,0.0,0.05620518699288368,0.0,0.1956568514628123,1.0,-0.8043431485371877,1.53459632396698,0.37046176195144653,"4,6",2,2,2,1.0,1.0
23,1.0,0.0,0.05610974505543709,0.0,0.19702270526698173,1.0,-0.8029772947330183,1.5365712642669678,0.37054306268692017,"4,6",2,2,2,1.0,1.0
24,1.0,0.0,0.0560225248336792,0.0,0.19827089945578025,1.0,-0.8017291005442198,1.5383851528167725,0.37061724066734314,"4,6",2,2,2,1.0,1.0
25,1.0,0.0,0.05594281852245331,0.0,0.19941156331190868,1.0,-0.8005884366880913,1.5400500297546387,0.3706848621368408,"4,6",2,2,2,1.0,1.0
26,1.0,3.552713678800501e-15,0.05587000399827957,0.0,0.2004535999417406,1.0,-0.7995464000582594,1.5415769815444946,0.37074655294418335,"4,6",2,2,2,1.0,1.0
27,1.0,0.0,0.055803488940000534,0.0,0.2014054859555363,1.0,-0.7985945140444637,1.5429768562316895,0.37080276012420654,"4,6",2,2,2,1.0,1.0
