step,temperature,objective,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,probability_sum,probability_entropy,selected_indices,selected_count,selected_body_count,body_true_positive,body_precision,body_recall
0,1.0,,0.0071967290714383125,0.007097688969224691,-0.013953852112012166,0.0,-0.013953852112012166,1.430435061454773,0.3653338849544525,,0,0,0,0.0,0.0
1,1.0,1.0313464403152466,0.007004244718700647,0.007097688969224691,0.01316544736310854,0.0,0.01316544736310854,1.3150578737258911,0.3449806571006775,,0,0,0,0.0,0.0
2,1.0,0.9785338640213013,0.006936998572200537,0.007097688969224691,0.022639819485032686,0.0,0.022639819485032686,1.2710108757019043,0.33585235476493835,,0,0,0,0.0,0.0
3,1.0,0.9605470895767212,0.006664274260401726,0.007097688969224691,0.06106420141855118,0.0,0.06106420141855118,1.201686143875122,0.32122260332107544,,0,0,0,0.0,0.0
4,1.0,0.8879735469818115,0.006413324270397425,0.007097688969224691,0.09642077890347778,0.0,0.09642077890347778,1.1466646194458008,0.30779558420181274,,0,0,0,0.0,0.0
5,1.0,0.8237372636795044,0.00643417751416564,0.007097688969224691,0.09348274599464867,0.0,0.09348274599464867,1.1039729118347168,0.29609355330467224,,0,0,0,0.0,0.0
6,1.0,0.8298020958900452,0.006287058349698782,0.007097688969224691,0.11421050190291138,0.0,0.11421050190291138,1.0833768844604492,0.2875697910785675,,0,0,0,0.0,0.0
7,1.0,0.793025016784668,0.00624028779566288,0.007097688969224691,0.12080004875945827,0.0,0.12080004875945827,1.0663279294967651,0.280146062374115,,0,0,0,0.0,0.0
8,1.0,0.7817099690437317,0.006034600082784891,0.007097688969224691,0.149779581924386,0.0,0.149779581924386,1.0592833757400513,0.2732575237751007,,0,0,0,0.0,0.0
9,1.0,0.731724202632904,0.006081216502934694,0.007097688969224691,0.1432117511344021,0.0,0.1432117511344021,1.0424671173095703,0.2654415965080261,,0,0,0,0.0,0.0
10,1.0,0.7432548403739929,0.0058716097846627235,0.007097688969224691,0.17274343661411484,0.0,0.17274343661411484,1.0413864850997925,0.25919097661972046,,0,0,0,0.0,0.0
11,1.0,0.6935428380966187,0.006032390519976616,0.007097688969224691,0.15009088928342296,0.0,0.15009088928342296,1.0345568656921387,0.2528202533721924,,0,0,0,0.0,0.0
12,1.0,0.7316663265228271,0.005782566964626312,0.007097688969224691,0.18528876234231983,0.0,0.18528876234231983,1.04396390914917,0.24798327684402466,,0,0,0,0.0,0.0
13,1.0,0.6728944778442383,0.005972316022962332,0.007097688969224691,0.1585548410393769,0.0,0.1585548410393769,1.046590805053711,0.24304640293121338,,0,0,0,0.0,0.0
14,1.0,0.7171198725700378,0.005751118063926697,0.007097688969224691,0.18971962721058566,0.0,0.18971962721058566,1.0645313262939453,0.2393272966146469,,0,0,0,0.0,0.0
15,1.0,0.6653052568435669,0.0059339189901947975,0.007097688969224691,0.16396463469672395,0.0,0.16396463469672395,1.071056842803955,0.2352852076292038,,0,0,0,0.0,0.0
16,1.0,0.70758455991745,0.005714931059628725,0.007097688969224691,0.19481804790144397,0.0,0.19481804790144397,1.0926141738891602,0.23220139741897583,,0,0,0,0.0,0.0
17,1.0,0.6565514206886292,0.005957213696092367,0.007097688969224691,0.16068262191783567,0.0,0.16068262191783567,1.1021571159362793,0.22883543372154236,,0,0,0,0.0,0.0
18,1.0,0.7125148177146912,0.005658215843141079,0.007097688969224691,0.20280870749973867,0.0,0.20280870749973867,1.126168131828308,0.22595123946666718,,0,0,0,0.0,0.0
19,1.0,0.6431497931480408,0.005958938505500555,0.007097688969224691,0.1604396119161765,0.0,0.1604396119161765,1.1388102769851685,0.22271975874900818,,0,0,0,0.0,0.0
20,1.0,0.7122781872749329,0.005643922369927168,0.007097688969224691,0.2048225282343309,0.0,0.2048225282343309,1.1659915447235107,0.21986278891563416,,0,0,0,0.0,0.0
21,1.0,0.639262855052948,0.005933373235166073,0.007097688969224691,0.16404152663029437,0.0,0.16404152663029437,1.1807878017425537,0.21679934859275818,,0,0,0,0.0,0.0
22,1.0,0.7055376172065735,0.005648069549351931,0.007097688969224691,0.20423822826813842,0.0,0.20423822826813842,1.2095205783843994,0.21396146714687347,,0,0,0,0.0,0.0
23,1.0,0.6394854187965393,0.005956312175840139,0.007097688969224691,0.1608096379446209,0.0,0.1608096379446209,1.2249864339828491,0.2110612392425537,,0,0,0,0.0,0.0
24,1.0,0.7102469205856323,0.005630624946206808,0.0,0.206696014629412,1.0,-0.793303985370588,1.2543007135391235,0.20824240148067474,"4,6",2,2,2,1.0,1.0
25,1.0,0.634891927242279,0.006016407161951065,0.0,0.15234279946078544,1.0,-0.8476572005392146,1.2715688943862915,0.20549222826957703,"4,6",2,2,2,1.0,1.0
26,1.0,0.723828911781311,0.005627680104225874,0.0,0.20711091615492305,1.0,-0.792889083845077,1.3025238513946533,0.20265677571296692,"4,6",2,2,2,1.0,1.0
27,1.0,0.6335378885269165,0.006044994108378887,0.0,0.1483151579916011,1.0,-0.8516848420083989,1.3221368789672852,0.1999826431274414,"4,6",2,2,2,1.0,1.0
28,1.0,0.7299620509147644,0.005650782026350498,0.0,0.20385606486110153,1.0,-0.7961439351388985,1.3544788360595703,0.19706213474273682,"4,6",2,2,2,1.0,1.0
29,1.0,0.6380121111869812,0.006068377289921045,0.0,0.14502067979686095,1.0,-0.854979320203139,1.3752620220184326,0.19440779089927673,"4,6",2,2,2,1.0,1.0
30,1.0,0.7348926067352295,0.005666077136993408,0.0,0.201701122497576,1.0,-0.798298877502424,1.4077444076538086,0.19137534499168396,"4,6",2,2,2,1.0,1.0
31,1.0,0.640788733959198,0.0061347526498138905,0.0,0.1356689936098998,1.0,-0.8643310063901002,1.429222822189331,0.18869873881340027,"4,6",2,2,2,1.0,1.0
32,1.0,0.7503259778022766,0.005666984245181084,0.0,0.20157331918136856,1.0,-0.7984266808186314,1.461709976196289,0.18552134931087494,"4,6",2,2,2,1.0,1.0
33,1.0,0.640382707118988,0.006219241302460432,0.0,0.12376530876080583,1.0,-0.8762346912391942,1.4844412803649902,0.18274208903312683,"4,6",2,2,2,1.0,1.0
34,1.0,0.7704452276229858,0.005675250198692083,0.0,0.2004087213035466,1.0,-0.7995912786964534,1.5173007249832153,0.17935484647750854,"4,6",2,2,2,1.0,1.0
35,1.0,0.6416761875152588,0.006290983874350786,0.0,0.11365743108380033,1.0,-0.8863425689161997,1.5413689613342285,0.17639610171318054,"4,6",2,2,2,1.0,1.0
36,1.0,0.7877065539360046,0.005690491292625666,0.0,0.19826138940443594,1.0,-0.8017386105955641,1.574297547340393,0.17276182770729065,"4,6",2,2,2,1.0,1.0
37,1.0,0.6445969939231873,0.006373158656060696,0.0,0.10207974966295807,1.0,-0.8979202503370419,1.5991957187652588,0.16958598792552948,"4,6",2,2,2,1.0,1.0
38,1.0,0.807867169380188,0.0057000587694346905,0.0,0.19691341869868795,1.0,-0.803086581301312,1.6316357851028442,0.16570131480693817,"4,6",2,2,2,1.0,1.0
39,1.0,0.6463049054145813,0.006500827614217997,0.0,0.08409235141109495,1.0,-0.915907648588905,1.6570430994033813,0.16227440536022186,"4,6",2,2,2,1.0,1.0
40,1.0,0.8400629758834839,0.0057048494927585125,0.0,0.19623844923403633,1.0,-0.8037615507659637,1.6887718439102173,0.15812675654888153,"4,6",2,2,2,1.0,1.0
41,1.0,0.6470012664794922,0.0066732061095535755,0.0,0.059805784884581104,1.0,-0.9401942151154189,1.7146464586257935,0.154396191239357,"4,6",2,2,2,1.0,1.0
42,1.0,0.8847793936729431,0.006074757315218449,0.0,0.14412179209903886,1.0,-0.8558782079009611,1.7256803512573242,0.15217606723308563,"4,6",2,2,2,1.0,1.0
43,1.0,0.7332800626754761,0.00572096835821867,0.0,0.19396744728818482,1.0,-0.8060325527118152,1.7408391237258911,0.14950653910636902,"4,6",2,2,2,1.0,1.0
44,1.0,0.6503600478172302,0.005917492788285017,0.0,0.1662789375607976,1.0,-0.8337210624392024,1.7545957565307617,0.146979421377182,"4,6",2,2,2,1.0,1.0
45,1.0,0.6956930756568909,0.006288954988121986,0.0,0.11394328275151877,1.0,-0.8860567172484812,1.7626749277114868,0.14512164890766144,"4,6",2,2,2,1.0,1.0
46,1.0,0.785659670829773,0.006399369332939386,0.0,0.09838690302057362,1.0,-0.9016130969794264,1.7631851434707642,0.14420302212238312,"4,6",2,2,2,1.0,1.0
47,1.0,0.8134670257568359,0.0061751464381814,0.0,0.12997787519901205,1.0,-0.870022124800988,1.7565449476242065,0.14418432116508484,"4,6",2,2,2,1.0,1.0
48,1.0,0.7575311660766602,0.005843902938067913,0.0,0.1766470799992993,1.0,-0.8233529200007007,1.7446779012680054,0.14481042325496674,"4,6",2,2,2,1.0,1.0
49,1.0,0.6785619258880615,0.005716795567423105,0.0,0.1945553556642292,1.0,-0.8054446443357708,1.73052978515625,0.14570383727550507,"4,6",2,2,2,1.0,1.0
50,1.0,0.6494671702384949,0.005875005386769772,0.0,0.1722650270752113,1.0,-0.8277349729247887,1.717753291130066,0.14643865823745728,"4,6",2,2,2,1.0,1.0
51,1.0,0.685941755771637,0.006076514255255461,0.0,0.14387425518320196,1.0,-0.856125744816798,1.7097736597061157,0.14665356278419495,"4,6",2,2,2,1.0,1.0
52,1.0,0.7337936162948608,0.006080208346247673,0.0,0.14335379126766123,1.0,-0.8566462087323388,1.7083120346069336,0.14618316292762756,"4,6",2,2,2,1.0,1.0
53,1.0,0.7346935272216797,0.0058992402628064156,0.0,0.16885055285103412,1.0,-0.8311494471489659,1.712715744972229,0.14509771764278412,"4,6",2,2,2,1.0,1.0
54,1.0,0.6916347742080688,0.005734049715101719,0.0,0.19212440275076303,1.0,-0.807875597249237,1.7205822467803955,0.1436409205198288,"4,6",2,2,2,1.0,1.0
55,1.0,0.6534437537193298,0.005737665109336376,0.0,0.19161502649458528,1.0,-0.8083849735054147,1.7288404703140259,0.14214065670967102,"4,6",2,2,2,1.0,1.0
56,1.0,0.6542215347290039,0.005858290009200573,0.0,0.1746200721668849,1.0,-0.8253799278331151,1.7347346544265747,0.14091460406780243,"4,6",2,2,2,1.0,1.0
57,1.0,0.6819556951522827,0.0059368484653532505,0.0,0.16355189821712401,1.0,-0.836448101782876,1.7365556955337524,0.14017529785633087,"4,6",2,2,2,1.0,1.0
58,1.0,0.7003394961357117,0.005892391316592693,0.0,0.16981550725287098,1.0,-0.830184492747129,1.7339297533035278,0.139974445104599,"4,6",2,2,2,1.0,1.0
59,1.0,0.6899142265319824,0.0057789538986980915,0.0,0.18579781056123834,1.0,-0.8142021894387617,1.727687120437622,0.14020945131778717,"4,6",2,2,2,1.0,1.0
60,1.0,0.6636667251586914,0.005712482146918774,0.0,0.1951630774907328,1.0,-0.8048369225092672,1.7195537090301514,0.14066840708255768,"4,6",2,2,2,1.0,1.0
61,1.0,0.64854896068573,0.0057466295547783375,0.0,0.19035201743898555,1.0,-0.8096479825610144,1.711745023727417,0.14109234511852264,"4,6",2,2,2,1.0,1.0
62,1.0,0.6563606858253479,0.005819112062454224,0.0,0.18013988952098758,1.0,-0.8198601104790124,1.7063568830490112,0.1412501335144043,"4,6",2,2,2,1.0,1.0
63,1.0,0.6730327606201172,0.005836544092744589,0.0,0.17768387456091395,1.0,-0.822316125439086,1.7046291828155518,0.14101210236549377,"4,6",2,2,2,1.0,1.0
64,1.0,0.6770762801170349,0.005782594904303551,0.0,0.18528482589520878,1.0,-0.8147151741047912,1.706499695777893,0.14038662612438202,"4,6",2,2,2,1.0,1.0
65,1.0,0.6646222472190857,0.00572181586176157,0.0,0.1938480417258145,1.0,-0.8061519582741855,1.7107406854629517,0.13950392603874207,"4,6",2,2,2,1.0,1.0
66,1.0,0.6507177352905273,0.005715600680559874,0.0,0.19472370438568098,1.0,-0.805276295614319,1.7155177593231201,0.13856376707553864,"4,6",2,2,2,1.0,1.0
67,1.0,0.6492792367935181,0.005755038000643253,0.0,0.18916734368089694,1.0,-0.8108326563191031,1.7190518379211426,0.13776856660842896,"4,6",2,2,2,1.0,1.0
68,1.0,0.6582388877868652,0.005784061271697283,0.0,0.18507822802932727,1.0,-0.8149217719706727,1.7201513051986694,0.13725996017456055,"4,6",2,2,2,1.0,1.0
69,1.0,0.664880633354187,0.005769111216068268,0.0,0.18718455527103062,1.0,-0.8128154447289694,1.7184817790985107,0.137079656124115,"4,6",2,2,2,1.0,1.0
70,1.0,0.6614614129066467,0.005729813128709793,0.0,0.19272129934771098,1.0,-0.807278700652289,1.71455717086792,0.13716630637645721,"4,6",2,2,2,1.0,1.0
71,1.0,0.6525136828422546,0.005709432996809483,0.0,0.19559267508545863,1.0,-0.8044073249145414,1.7095321416854858,0.13738295435905457,"4,6",2,2,2,1.0,1.0
72,1.0,0.6479148268699646,0.005724060349166393,0.0,0.19353181380788864,1.0,-0.8064681861921114,1.7048486471176147,0.13756360113620758,"4,6",2,2,2,1.0,1.0
73,1.0,0.6512620449066162,0.005747862625867128,0.0,0.19017828890648192,1.0,-0.8098217110935181,1.7017771005630493,0.13756680488586426,"4,6",2,2,2,1.0,1.0
74,1.0,0.6567004919052124,0.00574906449764967,0.0,0.1900089560732523,1.0,-0.8099910439267477,1.700975775718689,0.13732166588306427,"4,6",2,2,2,1.0,1.0
75,1.0,0.6569796204566956,0.005727635230869055,0.0,0.1930281454000221,1.0,-0.8069718545999779,1.7022783756256104,0.13684657216072083,"4,6",2,2,2,1.0,1.0
76,1.0,0.6520899534225464,0.005709851160645485,0.0,0.19553375959369568,1.0,-0.8044662404063043,1.7048227787017822,0.1362357884645462,"4,6",2,2,2,1.0,1.0
77,1.0,0.6480371952056885,0.005713343154639006,0.0,0.1950417693122587,1.0,-0.8049582306877413,1.7074224948883057,0.13562153279781342,"4,6",2,2,2,1.0,1.0
78,1.0,0.6488138437271118,0.005728189367800951,0.0,0.19295007253231844,1.0,-0.8070499274676816,1.709000587463379,0.13512694835662842,"4,6",2,2,2,1.0,1.0
79,1.0,0.6521763801574707,0.005733434110879898,0.0,0.19221113580211113,1.0,-0.8077888641978889,1.708927869796753,0.13482581079006195,"4,6",2,2,2,1.0,1.0
