step,temperature,objective,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,probability_sum,probability_entropy,selected_indices,selected_count,selected_body_count,body_true_positive,body_precision,body_recall
0,1.0,,0.0071967290714383125,0.010037660598754883,-0.013953852112012166,-0.4142153371721129,0.40026148506010073,1.430435061454773,0.3653338849544525,"0,1",2,2,0,0.0,0.0
1,1.0,2.000005006790161,0.0071172830648720264,0.0,-0.002760630359021743,1.0,-1.0027606303590217,1.43403160572052,0.36553871631622314,"4,6",2,2,2,1.0,1.0
2,1.0,3.533107834075011e-11,0.0070300232619047165,0.0,0.009533484436042627,1.0,-0.9904665155639574,1.440460443496704,0.3659002482891083,"4,6",2,2,2,1.0,1.0
3,1.0,0.0,0.007005020044744015,0.0,0.01305621095577525,1.0,-0.9869437890442248,1.4476268291473389,0.3662955164909363,"4,6",2,2,2,1.0,1.0
4,1.0,0.0,0.00695970980450511,0.0,0.019440012843314758,1.0,-0.9805599871566852,1.4549150466918945,0.3666893243789673,"4,6",2,2,2,1.0,1.0
5,1.0,0.0,0.006873773410916328,0.0,0.03154767126021618,1.0,-0.9684523287397838,1.462064504623413,0.3670676648616791,"4,6",2,2,2,1.0,1.0
6,1.0,0.0,0.006840826477855444,0.0,0.03618959530108934,1.0,-0.9638104046989107,1.4689486026763916,0.3674244284629822,"4,6",2,2,2,1.0,1.0
7,1.0,0.0,0.0068525210954248905,0.0,0.03454192975528225,1.0,-0.9654580702447177,1.47550368309021,0.3677574098110199,"4,6",2,2,2,1.0,1.0
8,1.0,0.0,0.006901004817336798,0.0,0.027711013083372427,1.0,-0.9722889869166276,1.4816994667053223,0.36806604266166687,"4,6",2,2,2,1.0,1.0
9,1.0,0.0,0.006880541332066059,0.0,0.03059413255500154,1.0,-0.9694058674449985,1.4875249862670898,0.36835092306137085,"4,6",2,2,2,1.0,1.0
10,1.0,0.0,0.00681351637467742,0.0,0.040037341137295956,1.0,-0.959962658862704,1.49298095703125,0.36861300468444824,"4,6",2,2,2,1.0,1.0
11,1.0,0.0,0.006769963074475527,0.0,0.046173606108998566,1.0,-0.9538263938910014,1.498075008392334,0.3688535690307617,"4,6",2,2,2,1.0,1.0
12,1.0,0.0,0.006743516772985458,0.0,0.04989965012202002,1.0,-0.95010034987798,1.502819299697876,0.36907410621643066,"4,6",2,2,2,1.0,1.0
13,1.0,0.0,0.0067313117906451225,0.0,0.051619221435056706,1.0,-0.9483807785649433,1.5072287321090698,0.3692760467529297,"4,6",2,2,2,1.0,1.0
14,1.0,0.0,0.006734227761626244,0.0,0.05120838757156054,1.0,-0.9487916124284395,1.511319637298584,0.36946070194244385,"4,6",2,2,2,1.0,1.0
15,1.0,0.0,0.006749332416802645,0.0,0.04908027865584241,1.0,-0.9509197213441576,1.5151093006134033,0.36962956190109253,"4,6",2,2,2,1.0,1.0
16,1.0,0.0,0.006774021312594414,0.0,0.04560183716610977,1.0,-0.9543981628338902,1.5186150074005127,0.36978381872177124,"4,6",2,2,2,1.0,1.0
17,1.0,3.533107834075011e-11,0.006806069519370794,0.0,0.04108653550731056,1.0,-0.9589134644926894,1.5218586921691895,0.3699251115322113,"4,6",2,2,2,1.0,1.0
18,1.0,0.0,0.0068434979766607285,0.0,0.03581320534981536,1.0,-0.9641867946501846,1.5248522758483887,0.3700541853904724,"4,6",2,2,2,1.0,1.0
19,1.0,3.533107834075011e-11,0.00682385778054595,0.0,0.03858033084657031,1.0,-0.9614196691534297,1.5276174545288086,0.370172381401062,"4,6",2,2,2,1.0,1.0
20,1.0,0.0,0.006783698219805956,0.0,0.0442384487091767,1.0,-0.9557615512908233,1.5301644802093506,0.37028026580810547,"4,6",2,2,2,1.0,1.0
21,1.0,0.0,0.006750339176505804,0.0,0.04893843534493869,1.0,-0.9510615646550613,1.5325089693069458,0.3703787326812744,"4,6",2,2,2,1.0,1.0
22,1.0,0.0,0.006722807884216309,0.0,0.05281734472077504,1.0,-0.947182655279225,1.5346651077270508,0.3704685568809509,"4,6",2,2,2,1.0,1.0
23,1.0,0.0,0.006700236350297928,0.0,0.05599746912693737,1.0,-0.9440025308730626,1.5366466045379639,0.3705504536628723,"4,6",2,2,2,1.0,1.0
24,1.0,0.0,0.006681870203465223,0.0,0.05858509263542577,1.0,-0.9414149073645742,1.538466453552246,0.3706251382827759,"4,6",2,2,2,1.0,1.0
25,1.0,0.0,0.006667041219770908,0.0,0.06067436193964759,1.0,-0.9393256380603524,1.5401365756988525,0.37069329619407654,"4,6",2,2,2,1.0,1.0
26,1.0,0.0,0.006655178032815456,0.0,0.06234577738302505,1.0,-0.937654222616975,1.5416686534881592,0.3707553744316101,"4,6",2,2,2,1.0,1.0
27,1.0,0.0,0.006645789835602045,0.0,0.06366848921980994,1.0,-0.9363315107801901,1.543073058128357,0.3708120286464691,"4,6",2,2,2,1.0,1.0
28,1.0,3.533107834075011e-11,0.006638434715569019,0.0,0.06470475892180971,1.0,-0.9352952410781903,1.544365406036377,0.3708641529083252,"4,6",2,2,2,1.0,1.0
29,1.0,3.533107834075011e-11,0.00663276482373476,0.0,0.06550359525555771,1.0,-0.9344964047444423,1.5455543994903564,0.37091225385665894,"4,6",2,2,2,1.0,1.0
30,1.0,0.0,0.006628493778407574,0.0,0.06610534680394287,1.0,-0.9338946531960571,1.546642541885376,0.37095603346824646,"4,6",2,2,2,1.0,1.0
31,1.0,0.0,0.00662536546587944,0.0,0.06654609766548347,1.0,-0.9334539023345165,1.547638177871704,0.37099596858024597,"4,6",2,2,2,1.0,1.0
