step,temperature,objective,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,probability_sum,probability_entropy,selected_indices,selected_count,selected_body_count,body_true_positive,body_precision,body_recall
0,1.0,,0.009084286168217659,0.012566464953124523,-0.022334680944433805,-0.41421490919110737,0.39188022824667357,1.430435061454773,0.3653338849544525,"0,1",2,2,0,0.0,0.0
1,1.0,2.0000038146972656,0.00898236408829689,0.0,-0.010864492189092578,1.0,-1.0108644921890926,1.43403160572052,0.36553871631622314,"4,6",2,2,2,1.0,1.0
2,1.0,2.6435634931099017e-11,0.008883905597031116,0.0,0.00021590844894825434,1.0,-0.9997840915510517,1.4404598474502563,0.3659001290798187,"4,6",2,2,2,1.0,1.0
3,1.0,0.0,0.008848283439874649,0.0,0.00422478333429932,1.0,-0.9957752166657007,1.4476255178451538,0.36629533767700195,"4,6",2,2,2,1.0,1.0
4,1.0,0.0,0.008796592243015766,0.0,0.01004204869448233,1.0,-0.9899579513055177,1.4549132585525513,0.3666890859603882,"4,6",2,2,2,1.0,1.0
5,1.0,0.0,0.008709014393389225,0.0,0.019897954959191777,1.0,-0.9801020450408082,1.462062120437622,0.3670673370361328,"4,6",2,2,2,1.0,1.0
6,1.0,0.0,0.008672160096466541,0.0,0.024045493377532368,1.0,-0.9759545066224676,1.4689457416534424,0.3674241006374359,"4,6",2,2,2,1.0,1.0
7,1.0,0.0,0.008677847683429718,0.0,0.023405419155334672,1.0,-0.9765945808446653,1.475500464439392,0.36775702238082886,"4,6",2,2,2,1.0,1.0
8,1.0,0.0,0.008718646131455898,0.0,0.01881401069752997,1.0,-0.98118598930247,1.4816958904266357,0.36806559562683105,"4,6",2,2,2,1.0,1.0
9,1.0,0.0,0.008695954456925392,0.0,0.02136770456094017,1.0,-0.9786322954390598,1.4875209331512451,0.36835044622421265,"4,6",2,2,2,1.0,1.0
10,1.0,0.0,0.008630401454865932,0.0,0.02874496086973788,1.0,-0.9712550391302621,1.4929766654968262,0.36861249804496765,"4,6",2,2,2,1.0,1.0
11,1.0,0.0,0.008587191812694073,0.0,0.033607722227701475,1.0,-0.9663922777722985,1.498070478439331,0.36885306239128113,"4,6",2,2,2,1.0,1.0
12,1.0,2.6435634931099017e-11,0.00856025330722332,0.0,0.036639349356744844,1.0,-0.9633606506432552,1.5028175115585327,0.3690739572048187,"4,6",2,2,2,1.0,1.0
13,1.0,2.6435634931099017e-11,0.008546854369342327,0.0,0.038147249771802616,1.0,-0.9618527502281974,1.507232666015625,0.3692764639854431,"4,6",2,2,2,1.0,1.0
14,1.0,0.0,0.008547762408852577,0.0,0.03804506009329556,1.0,-0.9619549399067044,1.5113288164138794,0.36946171522140503,"4,6",2,2,2,1.0,1.0
15,1.0,0.0,0.008560234680771828,0.0,0.03664144555527826,1.0,-0.9633585544447217,1.5151233673095703,0.3696310520172119,"4,6",2,2,2,1.0,1.0
16,1.0,0.0,0.00858183205127716,0.0,0.034210903355709865,1.0,-0.9657890966442901,1.518633484840393,0.36978572607040405,"4,6",2,2,2,1.0,1.0
17,1.0,0.0,0.008610449731349945,0.0,0.030990303928873475,1.0,-0.9690096960711265,1.5218768119812012,0.3699270188808441,"4,6",2,2,2,1.0,1.0
18,1.0,0.0,0.008644264191389084,0.0,0.027184865111196554,1.0,-0.9728151348888034,1.5248702764511108,0.37005600333213806,"4,6",2,2,2,1.0,1.0
19,1.0,0.0,0.008624693378806114,0.0,0.029387340910322468,1.0,-0.9706126590896775,1.5276304483413696,0.37017369270324707,"4,6",2,2,2,1.0,1.0
20,1.0,2.6435634931099017e-11,0.008586459793150425,0.0,0.033690102830067126,1.0,-0.9663098971699329,1.5301767587661743,0.37028154730796814,"4,6",2,2,2,1.0,1.0
