step,temperature,objective,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,probability_sum,probability_entropy,selected_indices,selected_count,selected_body_count,body_true_positive,body_precision,body_recall
0,1.0,,0.018330875784158707,0.01974475383758545,-0.03962063139013261,-0.11980756909675483,0.08018693770662222,1.430435061454773,0.3653338849544525,"0,1",2,2,0,0.0,0.0
1,1.0,1.2539689540863037,0.018357424065470695,0.01968216337263584,-0.041126295456862305,-0.11625780205582892,0.07513150659896661,1.4237744808197021,0.36363300681114197,"6,9",2,2,1,0.5,0.5
2,1.0,1.2460315227508545,0.018322717398405075,0.019744746387004852,-0.039157935213027795,-0.11980714654316826,0.08064921133014047,1.3743618726730347,0.3547341823577881,"3,10",2,2,0,0.0,0.0
3,1.0,1.2539680004119873,0.018244633451104164,0.019744744524359703,-0.03472946798918897,-0.11980704090477179,0.08507757291558282,1.3025306463241577,0.34205111861228943,"8,10",2,2,0,0.0,0.0
4,1.0,1.2539674043655396,0.018181143328547478,0.019744740799069405,-0.031128677602705546,-0.11980682962797862,0.08867815202527307,1.2309629917144775,0.3290484547615051,"4,10",2,2,1,0.5,0.5
5,1.0,1.2539674043655396,0.018145954236388206,0.01974474824965,-0.02913295701415186,-0.11980725218156496,0.0906742951674131,1.1614364385604858,0.3160484731197357,"7,11",2,2,0,0.0,0.0
6,1.0,1.253968358039856,0.01811697706580162,0.01974474824965,-0.02748954047825669,-0.11980725218156496,0.09231771170330827,1.087960958480835,0.30213409662246704,"7,11",2,2,0,0.0,0.0
7,1.0,1.253968358039856,0.018067091703414917,0.01974474824965,-0.0246603329405346,-0.11980725218156496,0.09514691924103036,1.020263910293579,0.28894639015197754,"7,11",2,2,0,0.0,0.0
8,1.0,1.253968358039856,0.018005775287747383,0.01974474824965,-0.02118282256288251,-0.11980725218156496,0.09862442961868245,0.9590055346488953,0.27663397789001465,"4,7",2,2,1,0.5,0.5
9,1.0,1.253968358039856,0.017955061048269272,0.01968216709792614,-0.018306605938673837,-0.11625801333262209,0.09795140739394825,0.9028747081756592,0.2650042772293091,"6,8",2,2,1,0.5,0.5
10,1.0,1.2460318803787231,0.017923178151249886,0.01968216337263584,-0.016498393504083664,-0.11625780205582892,0.09975940855174525,0.8499107360839844,0.25374218821525574,"6,9",2,2,1,0.5,0.5
11,1.0,1.2460315227508545,0.01790180429816246,0.019744746387004852,-0.015286192903106954,-0.11980714654316826,0.10452095364006131,0.8002585768699646,0.24293236434459686,"3,9",2,2,0,0.0,0.0
12,1.0,1.2539681196212769,0.017882991582155228,0.019744746387004852,-0.014219245097454092,-0.11980714654316826,0.10558790144571417,0.753475546836853,0.2325250804424286,"3,9",2,2,0,0.0,0.0
13,1.0,1.2539681196212769,0.01786203309893608,0.01974475011229515,-0.0130306018589188,-0.11980735781996144,0.10677675596104264,0.710205614566803,0.22267860174179077,"3,8",2,2,0,0.0,0.0
14,1.0,1.2539680004119873,0.017839614301919937,0.019744744524359703,-0.011759138117449774,-0.11980704090477179,0.10804790278732201,0.6701668500900269,0.2133571207523346,"4,8",2,2,1,0.5,0.5
15,1.0,1.25396728515625,0.01780812069773674,0.01974474824965,-0.00997300410774904,-0.11980725218156496,0.10983424807381592,0.633059561252594,0.20452472567558289,"0,4",2,2,1,0.5,0.5
