step,temperature,objective,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,probability_sum,probability_entropy,selected_indices,selected_count,selected_body_count,body_true_positive,body_precision,body_recall
0,1.0,,0.011982856318354607,0.010882876813411713,-0.10107433207250072,0.0,-0.10107433207250072,1.430435061454773,0.3653338849544525,,0,0,0,0.0,0.0
1,1.0,1.215608835220337,0.011807314120233059,0.010882876813411713,-0.0849442038783439,0.0,-0.0849442038783439,1.2519747018814087,0.33449679613113403,,0,0,0,0.0,0.0
2,1.0,1.1826993227005005,0.011748075485229492,0.010882876813411713,-0.07950091567254858,0.0,-0.07950091567254858,1.1444485187530518,0.31479066610336304,,0,0,0,0.0,0.0
3,1.0,1.1726418733596802,0.011496618390083313,0.010882876813411713,-0.05639515977202314,0.0,-0.05639515977202314,1.0236254930496216,0.2915317416191101,,0,0,0,0.0,0.0
4,1.0,1.1255037784576416,0.011390087194740772,0.010882876813411713,-0.04660627791945515,0.0,-0.04660627791945515,0.915202796459198,0.26955580711364746,,0,0,0,0.0,0.0
5,1.0,1.1071525812149048,0.011353249661624432,0.010882876813411713,-0.04322137025690176,0.0,-0.04322137025690176,0.8259462118148804,0.2505989670753479,,0,0,0,0.0,0.0
6,1.0,1.1020948886871338,0.011296161450445652,0.010882876813411713,-0.03797567905249277,0.0,-0.03797567905249277,0.7542674541473389,0.23475363850593567,,0,0,0,0.0,0.0
7,1.0,1.092911958694458,0.011195516213774681,0.010882876813411713,-0.028727643041744466,0.0,-0.028727643041744466,0.685556173324585,0.2189955711364746,,0,0,0,0.0,0.0
8,1.0,1.0755581855773926,0.011131947860121727,0.010882876813411713,-0.022886507950091506,0.0,-0.022886507950091506,0.6237250566482544,0.2042960226535797,,0,0,0,0.0,0.0
9,1.0,1.065238118171692,0.01109166070818901,0.010882876813411713,-0.019184623547332524,0.0,-0.019184623547332524,0.5697791576385498,0.19103211164474487,,0,0,0,0.0,0.0
10,1.0,1.0591926574707031,0.011064964346587658,0.010882876813411713,-0.016731562462560134,0.0,-0.016731562462560134,0.5233480930328369,0.17925916612148285,,0,0,0,0.0,0.0
11,1.0,1.0555481910705566,0.011046099476516247,0.010882876813411713,-0.014998117308778536,0.0,-0.014998117308778536,0.48354479670524597,0.16888180375099182,,0,0,0,0.0,0.0
12,1.0,1.0532175302505493,0.011031861416995525,0.010882876813411713,-0.013689818063566506,0.0,-0.013689818063566506,0.4493836760520935,0.15974923968315125,,0,0,0,0.0,0.0
13,1.0,1.0516111850738525,0.011020497418940067,0.010882876813411713,-0.012645609050610185,0.0,-0.012645609050610185,0.41995254158973694,0.15170136094093323,,0,0,0,0.0,0.0
14,1.0,1.0504165887832642,0.011011041700839996,0.010882876813411713,-0.01177674705187659,0.0,-0.01177674705187659,0.39446723461151123,0.1445888876914978,,0,0,0,0.0,0.0
15,1.0,1.0494695901870728,0.010994711890816689,0.010882876813411713,-0.01027624214832179,0.0,-0.01027624214832179,0.37227484583854675,0.13828012347221375,,0,0,0,0.0,0.0
16,1.0,1.0471528768539429,0.010979723185300827,0.010882876813411713,-0.008898967942903013,0.0,-0.008898967942903013,0.3520301580429077,0.13242587447166443,,0,0,0,0.0,0.0
17,1.0,1.0450352430343628,0.010967632755637169,0.010882876813411713,-0.007788008968456328,0.0,-0.007788008968456328,0.33367919921875,0.1270330250263214,,0,0,0,0.0,0.0
18,1.0,1.043402910232544,0.010957819409668446,0.010882876813411713,-0.006886285450219853,0.0,-0.006886285450219853,0.31711187958717346,0.12209009379148483,,0,0,0,0.0,0.0
19,1.0,1.0421411991119385,0.010949795134365559,0.010882876813411713,-0.006148955106372034,0.0,-0.006148955106372034,0.30219072103500366,0.11757498979568481,,0,0,0,0.0,0.0
20,1.0,1.041161298751831,0.010943179950118065,0.010882876813411713,-0.005541102572440781,0.0,-0.005541102572440781,0.28876885771751404,0.11345984041690826,,0,0,0,0.0,0.0
21,1.0,1.0403960943222046,0.010937681421637535,0.010882876813411713,-0.005035856710082776,0.0,-0.005035856710082776,0.27670079469680786,0.10971429944038391,,0,0,0,0.0,0.0
22,1.0,1.0397948026657104,0.010933073237538338,0.010882876813411713,-0.004612422338987177,0.0,-0.004612422338987177,0.26584839820861816,0.10630780458450317,,0,0,0,0.0,0.0
23,1.0,1.0393189191818237,0.010929180309176445,0.010882876813411713,-0.00425471100689756,0.0,-0.00425471100689756,0.25608396530151367,0.10321059077978134,,0,0,0,0.0,0.0
24,1.0,1.0389399528503418,0.010925870388746262,0.010882876813411713,-0.003950570797747632,0.0,-0.003950570797747632,0.24729125201702118,0.10039448738098145,,0,0,0,0.0,0.0
25,1.0,1.038636565208435,0.010923034511506557,0.010882876813411713,-0.0036899892173138937,0.0,-0.0036899892173138937,0.23936569690704346,0.09783332794904709,,0,0,0,0.0,0.0
26,1.0,1.0383919477462769,0.010920590721070766,0.010882876813411713,-0.0034654355007102122,0.0,-0.0034654355007102122,0.23221389949321747,0.0955030769109726,,0,0,0,0.0,0.0
27,1.0,1.0381935834884644,0.010918471962213516,0.010882876813411713,-0.0032707481130298532,0.0,-0.0032707481130298532,0.2257527858018875,0.09338181465864182,,0,0,0,0.0,0.0
28,1.0,1.0380316972732544,0.010916626080870628,0.010882876813411713,-0.003101134749345258,0.0,-0.003101134749345258,0.2199086844921112,0.09144958108663559,,0,0,0,0.0,0.0
29,1.0,1.037899136543274,0.01091501023620367,0.010882876813411713,-0.002952658873466074,0.0,-0.002952658873466074,0.2146163135766983,0.08968840539455414,,0,0,0,0.0,0.0
30,1.0,1.037790060043335,0.010913589969277382,0.010882876813411713,-0.002822154141064903,0.0,-0.002822154141064903,0.2098177969455719,0.08808201551437378,,0,0,0,0.0,0.0
