step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,probability_entropy,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,1.0,,,0.3180982172489166,0.4061219096183777,0.21674204293034738,0.0,0.21674204293034738,400.36712646484375,0.01731143891811371,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,1.0,0.613493025302887,0.0009224044042639434,0.30452027916908264,0.4061219096183777,0.25017520119701864,0.0,0.25017520119701864,464.5556640625,0.01965966820716858,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,1.0,0.3837762176990509,0.0012269319267943501,0.2297215759754181,0.4061219096183777,0.4343531571806073,0.0,0.4343531571806073,844.0712890625,0.032601457089185715,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,1.0,0.14315509796142578,0.0007030280539765954,0.15622177720069885,0.4061219096183777,0.615332801553365,0.0,0.615332801553365,1702.6131591796875,0.05834546312689781,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,1.0,0.16448749601840973,0.001583790872246027,0.15054123103618622,0.4061219096183777,0.6293200946049773,0.0,0.6293200946049773,1853.433837890625,0.062222011387348175,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,1.0,0.05696152150630951,0.0007661142735742033,0.08942810446023941,0.4061219096183777,0.779799852354007,0.0,0.779799852354007,1399.857666015625,0.048693060874938965,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,1.0,0.023207489401102066,0.000577884609811008,0.05821128189563751,0.4061219096183777,0.8566654974356416,0.0,0.8566654974356416,1261.49658203125,0.04287712275981903,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,1.0,0.018931733444333076,0.0012654527090489864,0.048500239849090576,0.4061219096183777,0.8805771402614919,0.0,0.8805771402614919,1184.9019775390625,0.039467472583055496,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
35,1.0,0.00778306694701314,0.000884807959664613,0.03206922113895416,0.4061219096183777,0.9210354812694327,0.0,0.9210354812694327,1119.1038818359375,0.03752503544092178,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
40,1.0,0.005760825704783201,0.0006561712943948805,0.0335095077753067,0.4061219096183777,0.9174890421282744,0.0,0.9174890421282744,1209.8189697265625,0.0390755757689476,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
45,1.0,0.002287333831191063,0.0002310304989805445,0.017420366406440735,0.4061219096183777,0.9571055734894721,0.0,0.9571055734894721,1152.22021484375,0.037829138338565826,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
50,1.0,0.0015914876712486148,0.00028462542104534805,0.014584703370928764,0.4061219096183777,0.9640878686288222,0.0,0.9640878686288222,1142.4464111328125,0.03761376067996025,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
55,1.0,0.0010312137892469764,0.000426628568675369,0.010939114727079868,0.4061219096183777,0.9730644556030994,0.0,0.9730644556030994,1177.0113525390625,0.038585495203733444,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
60,1.0,0.0006756838993169367,0.0002567704941611737,0.011060536839067936,0.4061219096183777,0.9727654761363128,0.0,0.9727654761363128,1182.49462890625,0.039042867720127106,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
65,1.0,0.0005271304398775101,0.00010165799176320434,0.009177069179713726,0.4061219096183777,0.9774031664818645,0.0,0.9774031664818645,1202.1220703125,0.039500847458839417,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
70,1.0,0.0003113919810857624,3.7392946978798136e-05,0.007460916880518198,0.4061219096183777,0.9816288737351574,0.0,0.9816288737351574,1184.8780517578125,0.039092931896448135,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
75,1.0,0.00030840153340250254,6.181989738252014e-05,0.006766279228031635,0.4061219096183777,0.9833392903269126,0.0,0.9833392903269126,1190.1138916015625,0.03920387849211693,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
