step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,probability_entropy,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,1.0,,,0.0697312131524086,0.06987712532281876,0.002088124972744243,0.0,0.002088124972744243,400.36712646484375,0.01731143891811371,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,1.0,0.9958281517028809,0.00013759409193880856,0.06969977170228958,0.06987712532281876,0.002538078372712582,0.0,0.002538078372712582,372.9072265625,0.01628742180764675,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,1.0,0.9914703369140625,0.00024912101798690856,0.06952572613954544,0.06987712532281876,0.005028815676802911,0.0,0.005028815676802911,290.74542236328125,0.013129333965480328,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,1.0,0.9811615347862244,0.0005259985337033868,0.06910362839698792,0.06987712532281876,0.011069386759364197,0.0,0.011069386759364197,232.482177734375,0.010726490058004856,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,1.0,0.9588410258293152,0.0011190054938197136,0.06817309558391571,0.06987712532281876,0.024386088165916364,0.0,0.024386088165916364,209.19598388671875,0.009483265690505505,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,1.0,0.9092442393302917,0.0023641877342015505,0.0660574808716774,0.06987712532281876,0.05466230091028135,0.0,0.05466230091028135,221.9670867919922,0.00914884451776743,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,1.0,0.8013268709182739,0.004697736352682114,0.06126968190073967,0.06987712532281876,0.12317970125866462,0.0,0.12317970125866462,292.0872497558594,0.00966047402471304,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,1.0,0.5933579802513123,0.007619824260473251,0.051295649260282516,0.06987712532281876,0.26591643512370355,0.0,0.26591643512370355,462.34954833984375,0.010740070603787899,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
35,1.0,0.3064202666282654,0.007646781392395496,0.035142265260219574,0.06987712532281876,0.49708484575074996,0.0,0.49708484575074996,749.0819091796875,0.01123127993196249,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
40,1.0,0.09822528809309006,0.0037683947011828423,0.01918584108352661,0.0,0.7254345968742739,1.0,-0.2745654031257261,1034.3819580078125,0.010080540552735329,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
45,1.0,0.026456644758582115,0.0012363065034151077,0.010066516697406769,0.0,0.8559397420700778,1.0,-0.14406025792992216,1195.9345703125,0.008438163436949253,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
50,1.0,0.00888992752879858,0.00044793603592552245,0.006022925488650799,0.0,0.913806908042853,1.0,-0.08619309195714697,1265.546142578125,0.007288977038115263,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
55,1.0,0.004087568260729313,0.00021179307077545673,0.004202652256935835,0.0,0.9398565376363095,1.0,-0.0601434623636905,1295.14990234375,0.0065855304710567,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
60,1.0,0.002424431499093771,0.0001268610212719068,0.0033041872084140778,0.0,0.9527143225605036,1.0,-0.04728567743949641,1308.3775634765625,0.006138447672128677,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
65,1.0,0.0017172932857647538,9.013353701448068e-05,0.0028195062186568975,0.0,0.9596505121578581,1.0,-0.04034948784214187,1314.40234375,0.005832957569509745,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
70,1.0,0.0013673048233613372,7.182209083111957e-05,0.0025383844040334225,0.0,0.9636736000185099,1.0,-0.03632639998149012,1316.99072265625,0.005608894396573305,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
75,1.0,0.0011736088199540973,6.166620005387813e-05,0.002365127904340625,0.0,0.9661530451715895,1.0,-0.03384695482841049,1317.8397216796875,0.005434195511043072,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
80,1.0,0.0010566021082922816,5.5537726439069957e-05,0.002252201084047556,0.0,0.9677691222464745,1.0,-0.03223087775352551,1317.7802734375,0.005291016306728125,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
85,1.0,0.0009803370339795947,5.155551843927242e-05,0.0021743066608905792,0.0,0.9688838564716894,1.0,-0.031116143528310602,1317.246337890625,0.005168869160115719,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
90,1.0,0.0009269448928534985,4.87792058265768e-05,0.002117277355864644,0.0,0.9696999934372911,1.0,-0.030300006562708925,1316.4747314453125,0.0050614322535693645,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
95,1.0,0.0008869266021065414,4.6707180445082486e-05,0.0020729023963212967,0.0,0.9703350361546087,1.0,-0.0296649638453913,1315.5975341796875,0.004964649677276611,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
100,1.0,0.0008549584308639169,4.505784090724774e-05,0.0020363356452435255,0.0,0.9708583368901332,1.0,-0.029141663109866767,1314.6884765625,0.004875929560512304,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
105,0.5,7.303653433154977e-07,8.158702513583194e-08,5.946807868895121e-05,0.0,0.9991489621472803,1.0,-0.0008510378527196716,1278.94140625,5.740299457102083e-05,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
110,0.5,7.055182322801556e-07,7.881259023179155e-08,5.8551773690851405e-05,0.0,0.9991620752367767,1.0,-0.0008379247632233078,1278.9576416015625,5.661859177052975e-05,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
115,0.5,6.909749004080368e-07,7.718864480921184e-08,5.8001991419587284e-05,0.0,0.9991699430800619,1.0,-0.0008300569199380936,1278.9674072265625,5.614796464215033e-05,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
120,0.5,6.823808007538901e-07,7.622897868486689e-08,5.7672954426379874e-05,0.0,0.9991746518741299,1.0,-0.0008253481258700957,1278.97314453125,5.586633051279932e-05,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
125,0.5,6.772696679036017e-07,7.565825654864966e-08,5.7473032939014956e-05,0.0,0.9991775129175177,1.0,-0.0008224870824823372,1278.9766845703125,5.569542554439977e-05,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
130,0.5,6.741339007021452e-07,7.530810108846708e-08,5.7348082918906584e-05,0.0,0.9991793010566195,1.0,-0.0008206989433805489,1278.97900390625,5.558892371482216e-05,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
135,0.5,6.721777481288882e-07,7.508966604063971e-08,5.727311145165004e-05,0.0,0.9991803739609055,1.0,-0.0008196260390944676,1278.9803466796875,5.552505899686366e-05,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
140,0.5,6.710054094583029e-07,7.495876275243063e-08,5.7231460232287645e-05,0.0,0.9991809700246269,1.0,-0.0008190299753730867,1278.98095703125,5.5489443184342235e-05,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
145,0.5,6.702244377265743e-07,7.487155073704344e-08,5.71981436223723e-05,0.0,0.999181446813129,1.0,-0.0008185531868709628,1278.9815673828125,5.5461398005718365e-05,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
150,0.5,6.698341508126759e-07,7.482797315105927e-08,5.718148167943582e-05,0.0,0.9991816852594426,1.0,-0.0008183147405573798,1278.98193359375,5.544726082007401e-05,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
155,0.5,6.694439775856154e-07,7.478440267050246e-08,5.717315070796758e-05,0.0,0.9991818044825994,1.0,-0.0008181955174005884,1278.982177734375,5.544011219171807e-05,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
160,0.5,6.692488909720851e-07,7.476261743022405e-08,5.7164823374478146e-05,0.0,0.9991819236536937,1.0,-0.0008180763463062624,1278.9822998046875,5.54331491002813e-05,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
165,0.5,6.690539180453925e-07,7.474083929537301e-08,5.7156492403009906e-05,0.0,0.9991820428768505,1.0,-0.0008179571231494709,1278.982421875,5.542629514820874e-05,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
170,0.5,6.690539180453925e-07,7.474083929537301e-08,5.714815779356286e-05,0.0,0.9991821621520698,1.0,-0.000817837847930214,1278.9825439453125,5.5419506679754704e-05,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
175,0.5,6.688587745884433e-07,7.47190540550946e-08,5.714815779356286e-05,0.0,0.9991821621520698,1.0,-0.000817837847930214,1278.9825439453125,5.5419455748051405e-05,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
180,0.5,6.688587745884433e-07,7.47190540550946e-08,5.7139834098052233e-05,0.0,0.9991822812711015,1.0,-0.0008177187288984644,1278.982666015625,5.541271821130067e-05,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
185,0.5,6.686639153485885e-07,7.469729013109827e-08,5.7139834098052233e-05,0.0,0.9991822812711015,1.0,-0.0008177187288984644,1278.982666015625,5.541270729736425e-05,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
190,0.5,6.686639153485885e-07,7.469729013109827e-08,5.7139834098052233e-05,0.0,0.9991822812711015,1.0,-0.0008177187288984644,1278.982666015625,5.5412689107470214e-05,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
195,0.5,6.684689992653148e-07,7.467552620710194e-08,5.7131503126583993e-05,0.0,0.9991824004942583,1.0,-0.000817599505741673,1278.98291015625,5.5405984312528744e-05,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
200,0.5,6.684689992653148e-07,7.467552620710194e-08,5.7131503126583993e-05,0.0,0.9991824004942583,1.0,-0.000817599505741673,1278.98291015625,5.5405984312528744e-05,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
205,0.2,2.592948344587607e-32,0.0,1.1252057636039418e-17,0.0,0.9999999999999999,1.0,-1.1102230246251565e-16,1280.0,nan,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
210,0.2,2.592948344587607e-32,0.0,1.1252057636039418e-17,0.0,0.9999999999999999,1.0,-1.1102230246251565e-16,1280.0,nan,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
215,0.2,2.592948344587607e-32,0.0,1.1252057636039418e-17,0.0,0.9999999999999999,1.0,-1.1102230246251565e-16,1280.0,nan,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
220,0.2,2.592948344587607e-32,0.0,1.1252057636039418e-17,0.0,0.9999999999999999,1.0,-1.1102230246251565e-16,1280.0,nan,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
225,0.2,2.592948344587607e-32,0.0,1.1252057636039418e-17,0.0,0.9999999999999999,1.0,-1.1102230246251565e-16,1280.0,nan,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
230,0.2,2.592948344587607e-32,0.0,1.1252057636039418e-17,0.0,0.9999999999999999,1.0,-1.1102230246251565e-16,1280.0,nan,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
235,0.2,2.592948344587607e-32,0.0,1.1252057636039418e-17,0.0,0.9999999999999999,1.0,-1.1102230246251565e-16,1280.0,nan,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
