step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,probability_entropy,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,1.0,,,0.0697312131524086,0.06987712532281876,0.002088124972744243,0.0,0.002088124972744243,400.36712646484375,0.01731143891811371,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,1.0,1.0,0.0001378820597892627,0.06970342248678207,0.06987712532281876,0.0024858325987826557,0.0,0.0024858325987826557,400.8764343261719,0.017330069094896317,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,1.0,1.0,0.0002502359275240451,0.0695388913154602,0.06987712532281876,0.004840411018569801,0.0,0.004840411018569801,403.89141845703125,0.01743285171687603,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,1.0,1.0,0.0005310529959388077,0.06912264227867126,0.06987712532281876,0.010797282238814598,0.0,0.010797282238814598,411.51922607421875,0.017659801989793777,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,1.0,1.0,0.0011424535186961293,0.0681958794593811,0.06987712532281876,0.024060031886981914,0.0,0.024060031886981914,428.5023193359375,0.018082870170474052,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,1.0,1.0,0.0024766558781266212,0.06608743965625763,0.06987712532281876,0.05423356569197024,0.0,0.05423356569197024,467.1405029296875,0.01885012350976467,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,1.0,1.0,0.00523332878947258,0.06132930889725685,0.06987712532281876,0.12232638915915117,0.0,0.12232638915915117,554.3396606445312,0.02011842653155327,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,1.0,1.0,0.009848433546721935,0.051455914974212646,0.06987712532281876,0.26362289896019186,0.0,0.26362289896019186,735.306640625,0.021738598123192787,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
35,1.0,1.0,0.013801056891679764,0.035306449979543686,0.06987712532281876,0.49473522534828474,0.0,0.49473522534828474,1031.4359130859375,0.022653691470623016,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
40,1.0,0.0,0.0,0.02096658945083618,0.0,0.6999506010876291,1.0,-0.3000493989123709,1294.779052734375,0.02199527621269226,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
45,1.0,0.0,0.0,0.013990500941872597,0.0,0.7997842516096763,1.0,-0.20021574839032374,1423.390625,0.021111533045768738,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
50,1.0,0.0,0.0,0.010652919299900532,0.0,0.847547831272593,1.0,-0.15245216872740697,1485.3116455078125,0.020514992997050285,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
55,1.0,3.552713678800501e-15,3.7415953668684665e-10,0.008954081684350967,0.0,0.8718596158186982,1.0,-0.1281403841813018,1517.060546875,0.020154710859060287,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
60,1.0,3.552713678800501e-15,3.3584118819263153e-10,0.008035796694457531,0.0,0.8850010406505174,1.0,-0.11499895934948257,1534.33740234375,0.019940396770834923,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
65,1.0,0.0,0.0,0.0075171953067183495,0.0,0.8924226594612992,1.0,-0.10757734053870083,1544.146240234375,0.019812345504760742,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
70,1.0,0.0,0.0,0.007215733174234629,0.0,0.8967368342515617,1.0,-0.1032631657484383,1549.86962890625,0.019735347479581833,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
75,1.0,0.0,0.0,0.007037299685180187,0.0,0.8992903664443946,1.0,-0.10070963355560536,1553.2659912109375,0.01968882605433464,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
80,1.0,0.0,0.0,0.006930534262210131,0.0,0.9008182687797701,1.0,-0.09918173122022989,1555.30126953125,0.019660640507936478,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
85,1.0,0.0,0.0,0.006866259966045618,0.0,0.9017380876170159,1.0,-0.0982619123829841,1556.5279541015625,0.019643543288111687,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
90,1.0,3.552713678800501e-15,2.832020729037765e-10,0.006827447097748518,0.0,0.9022935321651108,1.0,-0.09770646783488923,1557.2691650390625,0.01963317021727562,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
95,1.0,0.0,0.0,0.006803965661674738,0.0,0.9026295711187068,1.0,-0.09737042888129321,1557.7177734375,0.019626878201961517,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
100,1.0,0.0,0.0,0.006789748091250658,0.0,0.9028330364209555,1.0,-0.09716696357904453,1557.989501953125,0.019623061642050743,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
105,0.5,0.0,0.0,0.0007271417416632175,0.0,0.9895939946255092,1.0,-0.010406005374490768,1267.6676025390625,0.0005366129335016012,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
110,0.5,0.0,0.0,0.0007258215337060392,0.0,0.9896128879035466,1.0,-0.010387112096453377,1267.6917724609375,0.0005359324277378619,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
115,0.5,0.0,0.0,0.00072502187686041,0.0,0.9896243316605978,1.0,-0.010375668339402178,1267.7064208984375,0.0005355200846679509,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
120,0.5,0.0,0.0,0.0007245387532748282,0.0,0.9896312455624412,1.0,-0.010368754437558803,1267.7152099609375,0.0005352710140869021,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
125,0.5,0.0,0.0,0.0007242471911013126,0.0,0.9896354180605537,1.0,-0.010364581939446338,1267.7205810546875,0.0005351206636987627,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
130,0.5,0.0,0.0,0.0007240764680318534,0.0,0.9896378612502051,1.0,-0.010362138749794858,1267.7237548828125,0.0005350326537154615,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
135,0.5,0.0,0.0,0.0007239682017825544,0.0,0.9896394106306182,1.0,-0.010360589369381779,1267.7257080078125,0.0005349767743609846,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
140,0.5,0.0,0.0,0.0007239056867547333,0.0,0.9896403052728567,1.0,-0.010359694727143265,1267.726806640625,0.0005349444691091776,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
145,0.5,3.552713678800501e-15,6.831721993671991e-11,0.0007238639518618584,0.0,0.989640902534016,1.0,-0.010359097465983957,1267.7276611328125,0.0005349229904823005,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
150,0.5,0.0,0.0,0.0007238389807753265,0.0,0.9896412598911113,1.0,-0.010358740108888709,1267.72802734375,0.0005349101847968996,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
155,0.5,0.0,0.0,0.0007238306570798159,0.0,0.989641379010143,1.0,-0.01035862098985696,1267.7281494140625,0.000534905877429992,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
160,0.5,3.552713678800501e-15,6.831255006112258e-11,0.0007238223333843052,0.0,0.9896414981291748,1.0,-0.01035850187082521,1267.7283935546875,0.0005349015700630844,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
165,0.5,0.0,0.0,0.0007238140096887946,0.0,0.9896416172482065,1.0,-0.01035838275179346,1267.728515625,0.0005348972626961768,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
170,0.5,0.0,0.0,0.0007238140096887946,0.0,0.9896416172482065,1.0,-0.01035838275179346,1267.728515625,0.0005348972626961768,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
175,0.5,3.552713678800501e-15,6.83109957488881e-11,0.000723805685993284,0.0,0.9896417363672383,1.0,-0.01035826363276171,1267.7286376953125,0.0005348929553292692,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
180,0.5,3.552713678800501e-15,6.83109957488881e-11,0.000723805685993284,0.0,0.9896417363672383,1.0,-0.01035826363276171,1267.7286376953125,0.0005348929553292692,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
185,0.5,3.552713678800501e-15,6.83109957488881e-11,0.000723805685993284,0.0,0.9896417363672383,1.0,-0.01035826363276171,1267.7286376953125,0.0005348929553292692,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
190,0.5,3.552713678800501e-15,6.83109957488881e-11,0.000723805685993284,0.0,0.9896417363672383,1.0,-0.01035826363276171,1267.7286376953125,0.0005348929553292692,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
195,0.5,3.552713678800501e-15,6.83109957488881e-11,0.000723805685993284,0.0,0.9896417363672383,1.0,-0.01035826363276171,1267.7286376953125,0.0005348929553292692,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
200,0.5,3.552713678800501e-15,6.83109957488881e-11,0.000723805685993284,0.0,0.9896417363672383,1.0,-0.01035826363276171,1267.7286376953125,0.0005348929553292692,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
205,0.2,0.0,0.0,7.830201980141283e-07,0.0,0.9999887943272652,1.0,-1.1205672734826422e-05,1279.985595703125,1.2810913858629647e-06,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
210,0.2,0.0,0.0,7.830201980141283e-07,0.0,0.9999887943272652,1.0,-1.1205672734826422e-05,1279.985595703125,1.2810913858629647e-06,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
