step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,probability_entropy,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,1.0,,,0.0070992461405694485,0.007097688969224691,-0.0002193913189925123,0.0,-0.0002193913189925123,400.36712646484375,0.01731143891811371,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,1.0,1.0,0.000874337216373533,0.00709072919562459,0.007097688969224691,0.0009805689753775715,0.0,0.0009805689753775715,400.38128662109375,0.01731187477707863,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,1.0,1.0,0.0011746268719434738,0.0070527782663702965,0.007097688969224691,0.006327510693850624,0.0,0.006327510693850624,400.7450866699219,0.017322946339845657,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,1.0,1.0,0.0023929388262331486,0.006977463141083717,0.007097688969224691,0.016938728741463405,0.0,0.016938728741463405,402.1285400390625,0.017362089827656746,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,1.0,1.0,0.0051378244534134865,0.0068209730088710785,0.007097688969224691,0.038986769010792455,0.0,0.038986769010792455,405.4683837890625,0.01744375377893448,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,1.0,1.0,0.011137725785374641,0.006461144424974918,0.007097688969224691,0.08968335285045681,0.0,0.08968335285045681,413.185546875,0.017595874145627022,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,1.0,1.0,0.02352895401418209,0.0056279441341757774,0.007097688969224691,0.20707371672972308,0.0,0.20707371672972308,430.6534423828125,0.017848964780569077,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,1.0,1.0,0.04424399882555008,0.006472054868936539,0.007097688969224691,0.08814617025356819,0.0,0.08814617025356819,466.9091796875,0.018172428011894226,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
35,1.0,1.0,0.06190743297338486,0.007194096222519875,0.007097688969224691,-0.013582907579241743,0.0,-0.013582907579241743,526.177978515625,0.0183541402220726,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
40,1.0,1.8849003314971924,0.16432468593120575,0.00803863164037466,0.009744536131620407,-0.13257028805148563,-0.37291675838041716,0.24034647032893153,591.064697265625,0.018335558474063873,256,1280,256,1.0,0.2,0.2,0,0.20000000298023224,0.20000000298023224
45,1.0,1.8849003314971924,0.09496942162513733,0.01025373674929142,0.009744536131620407,-0.4446585069804032,-0.37291675838041716,-0.07174174859998605,649.2037353515625,0.018530569970607758,256,1280,256,1.0,0.2,0.2,0,0.20000000298023224,0.20000000298023224
50,1.0,1.8849003314971924,0.09727717190980911,0.012205753475427628,0.009744536131620407,-0.7196799589769725,-0.37291675838041716,-0.3467632005965553,724.2628173828125,0.019657785072922707,256,1280,256,1.0,0.2,0.2,0,0.20000000298023224,0.20000000298023224
55,1.0,1.8849003314971924,0.25261634588241577,0.011181384325027466,0.009744536131620407,-0.5753556366740669,-0.37291675838041716,-0.2024388782936497,906.885986328125,0.022475723177194595,256,1280,256,1.0,0.2,0.2,0,0.20000000298023224,0.20000000298023224
60,1.0,1.8849003314971924,0.6025377511978149,0.010639897547662258,0.009744536131620407,-0.49906506100738546,-0.37291675838041716,-0.1261483026269683,1376.5843505859375,0.02679722011089325,256,1280,256,1.0,0.2,0.2,0,0.20000000298023224,0.20000000298023224
65,1.0,2.8633065223693848,0.45698076486587524,0.011192074045538902,0.012010217644274235,-0.5768617213387779,-0.6921307338698668,0.1152690125310889,2200.65087890625,0.028354164212942123,2944,1280,512,0.17391304347826086,0.4,0.13793103448275862,2432,0.4000000059604645,0.4000000059604645
70,1.0,2.8633065223693848,0.2993672788143158,0.0113671300932765,0.012010217644274235,-0.6015255307134397,-0.6921307338698668,0.09060520315642706,2822.58447265625,0.02507765404880047,2944,1280,512,0.17391304347826086,0.4,0.13793103448275862,2432,0.4000000059604645,0.4000000059604645
75,1.0,2.86330509185791,0.13311807811260223,0.011802980676293373,0.012010217644274235,-0.6629329247126279,-0.6921307338698668,0.029197809157238908,3078.330810546875,0.022136658430099487,2944,1280,512,0.17391304347826086,0.4,0.13793103448275862,2432,0.4000000059604645,0.4000000059604645
80,1.0,2.8633065223693848,0.0660453513264656,0.011532437056303024,0.012010217644274235,-0.6248157824761316,-0.6921307338698668,0.06731495139373522,3171.82177734375,0.020814795047044754,2944,1280,512,0.17391304347826086,0.4,0.13793103448275862,2432,0.4000000059604645,0.4000000059604645
