step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,probability_entropy,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,1.0,,,0.008887686766684055,0.008885824121534824,-0.00020961985334788658,0.0,-0.00020961985334788658,400.36712646484375,0.01731143891811371,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,1.0,1.0004193782806396,0.0007252739160321653,0.008875520899891853,0.008885824121534824,0.0011595122187936235,0.0,0.0011595122187936235,398.6591796875,0.017247293144464493,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,1.0,0.9888866543769836,0.0009913328103721142,0.0088212164118886,0.008885824121534824,0.007270874233223701,0.0,0.007270874233223701,389.0088195800781,0.01687125489115715,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,1.0,0.9673728942871094,0.0020655302796512842,0.00871115829795599,0.008885824121534824,0.019656682507988354,0.0,0.019656682507988354,379.2127380371094,0.016453087329864502,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,1.0,0.9233012199401855,0.004477327689528465,0.008473285473883152,0.008885824121534824,0.04642660511948282,0.0,0.04642660511948282,375.1263427734375,0.016186051070690155,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,1.0,0.8217154741287231,0.009731857106089592,0.00789144728332758,0.008885824121534824,0.11190597794945878,0.0,0.11190597794945878,381.0838317871094,0.016117092221975327,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,1.0,0.6513068079948425,0.009025851264595985,0.0070905000902712345,0.008885824121534824,0.2020436153932662,0.0,0.2020436153932662,401.68572998046875,0.016222504898905754,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,1.0,0.6144641637802124,0.012736932374536991,0.006934008561074734,0.008885824121534824,0.21965498458717625,0.0,0.21965498458717625,406.48956298828125,0.016019528731703758,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
35,1.0,0.5864567756652832,0.009159150533378124,0.006779002491384745,0.008885824121534824,0.23709918194804136,0.0,0.23709918194804136,389.90875244140625,0.015578487887978554,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
40,1.0,0.580020010471344,0.003346140729263425,0.006780544761568308,0.008885824121534824,0.23692561670946932,0.0,0.23692561670946932,371.26531982421875,0.015188165940344334,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
45,1.0,0.5863773226737976,0.005727567709982395,0.006795378401875496,0.008885824121534824,0.23525625660237037,0.0,0.23525625660237037,362.464111328125,0.014931210316717625,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
50,1.0,0.573905348777771,0.0030733298044651747,0.006719415541738272,0.008885824121534824,0.24380502586656583,0.0,0.24380502586656583,361.86346435546875,0.014780267141759396,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
55,1.0,0.5701496601104736,0.0035764863714575768,0.006710073444992304,0.008885824121534824,0.24485637424103202,0.0,0.24485637424103202,361.18560791015625,0.014641154557466507,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
60,1.0,0.5683706402778625,0.0022418119478970766,0.006696581374853849,0.008885824121534824,0.24637475564875722,0.0,0.24637475564875722,354.034912109375,0.014441790990531445,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
65,1.0,0.5681272149085999,0.0019807915668934584,0.006698062643408775,0.008885824121534824,0.24620805546038227,0.0,0.24620805546038227,346.2584228515625,0.014233269728720188,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
70,1.0,0.5669800639152527,0.001737725455313921,0.006688059773296118,0.008885824121534824,0.24733376647782368,0.0,0.24733376647782368,342.5275573730469,0.014069095253944397,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
75,1.0,0.565809428691864,0.0007716945256106555,0.006684466265141964,0.008885824121534824,0.24773817557989497,0.0,0.24773817557989497,340.4903869628906,0.01392686553299427,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
80,1.0,0.5658153295516968,0.0012000089045614004,0.006683201063424349,0.008885824121534824,0.24788055986528146,0.0,0.24788055986528146,336.16064453125,0.013769540004432201,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
85,1.0,0.5654382109642029,0.0006827448378317058,0.006681700237095356,0.008885824121534824,0.24804946106211656,0.0,0.24804946106211656,331.0393371582031,0.013611988164484501,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
90,1.0,0.5652164816856384,0.0005717703024856746,0.006680082995444536,0.008885824121534824,0.24823146349978586,0.0,0.24823146349978586,327.782470703125,0.013477778993546963,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
95,1.0,0.5651010870933533,0.0004550302110146731,0.006679771933704615,0.008885824121534824,0.2482664700152949,0.0,0.2482664700152949,325.1472473144531,0.013352770358324051,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
100,1.0,0.5649828910827637,0.00033683099900372326,0.006678848993033171,0.008885824121534824,0.24837033665262875,0.0,0.24837033665262875,321.50384521484375,0.013220345601439476,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
105,0.5,0.734885036945343,0.025649219751358032,0.0072663831524550915,0.008885824121534824,0.18224994631111502,0.0,0.18224994631111502,30.890106201171875,0.0005717409076169133,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
