step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,probability_entropy,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,1.0,,,0.010884398594498634,0.010882876813411713,-0.00013983261163508232,0.0,-0.00013983261163508232,400.36712646484375,0.01731143891811371,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,1.0,1.0002796649932861,9.295569725509267e-06,0.010884051211178303,0.010882876813411713,-0.00010791243774277426,0.0,-0.00010791243774277426,398.7326354980469,0.017250262200832367,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,1.0,1.0001137256622314,2.5219956114597153e-06,0.010883401148021221,0.010882876813411713,-4.817977989635125e-05,0.0,-4.817977989635125e-05,391.2305908203125,0.01696227304637432,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,1.0,1.0000584125518799,8.115304126476985e-07,0.010883166454732418,0.010882876813411713,-2.6614407722558298e-05,0.0,-2.6614407722558298e-05,382.1919250488281,0.016607869416475296,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,1.0,1.0000399351119995,4.26153349053493e-07,0.010883081704378128,0.010882876813411713,-1.8826912215219593e-05,0.0,-1.8826912215219593e-05,374.15533447265625,0.016290342435240746,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,1.0,1.0000312328338623,2.8810779895138694e-07,0.01088303979486227,0.010882876813411713,-1.4975952898454992e-05,0.0,-1.4975952898454992e-05,367.0148010253906,0.01600797474384308,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,1.0,1.0000263452529907,2.2058645754441386e-07,0.010883016511797905,0.010882876813411713,-1.2836531055882006e-05,0.0,-1.2836531055882006e-05,360.6167907714844,0.015755362808704376,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,1.0,1.0000230073928833,1.8097328791100153e-07,0.010882998816668987,0.010882876813411713,-1.121057045549989e-05,0.0,-1.121057045549989e-05,354.8350524902344,0.015527604147791862,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
35,1.0,1.0000208616256714,1.5521654006533936e-07,0.010882988572120667,0.010882876813411713,-1.0269224844705604e-05,0.0,-1.0269224844705604e-05,349.568603515625,0.01532062143087387,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
40,1.0,1.0000191926956177,1.3735566994910187e-07,0.010882980190217495,0.010882876813411713,-9.499032981308275e-06,0.0,-9.499032981308275e-06,344.7352294921875,0.01513104047626257,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
45,1.0,1.0000180006027222,1.2436117913239286e-07,0.010882973670959473,0.010882876813411713,-8.899994865307903e-06,0.0,-8.899994865307903e-06,340.2673034667969,0.01495605893433094,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
50,1.0,1.0000169277191162,1.1452135595391155e-07,0.010882968083024025,0.010882876813411713,-8.386533623117032e-06,0.0,-8.386533623117032e-06,336.1085510253906,0.014793372713029385,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
55,1.0,1.0000160932540894,1.0677700146288771e-07,0.010882962495088577,0.010882876813411713,-7.87307238092616e-06,0.0,-7.87307238092616e-06,332.2125244140625,0.01464107632637024,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
60,1.0,1.000015377998352,1.0045435061556418e-07,0.010882959701120853,0.010882876813411713,-7.6163417597197025e-06,0.0,-7.6163417597197025e-06,328.5406799316406,0.0144976070150733,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
65,1.0,1.0000147819519043,9.514047860648134e-08,0.01088295690715313,0.010882876813411713,-7.359611138735289e-06,0.0,-7.359611138735289e-06,325.06134033203125,0.014361685141921043,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
70,1.0,1.000014305114746,9.053987781726391e-08,0.010882954113185406,0.010882876813411713,-7.102880517528831e-06,0.0,-7.102880517528831e-06,321.74847412109375,0.014232258312404156,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
75,1.0,1.0000137090682983,8.645476157198573e-08,0.010882951319217682,0.010882876813411713,-6.846149896544418e-06,0.0,-6.846149896544418e-06,318.5806884765625,0.014108482748270035,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
80,1.0,1.0000132322311401,8.278438201614335e-08,0.010882949456572533,0.010882876813411713,-6.674996149147461e-06,0.0,-6.674996149147461e-06,315.5401916503906,0.013989655300974846,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
85,1.0,1.0000128746032715,7.945007496346079e-08,0.010882947593927383,0.010882876813411713,-6.503842401528459e-06,0.0,-6.503842401528459e-06,312.6125183105469,0.013875209726393223,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
90,1.0,1.0000125169754028,7.638678312105185e-08,0.01088294479995966,0.010882876813411713,-6.247111780544046e-06,0.0,-6.247111780544046e-06,309.78546142578125,0.013764667324721813,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
95,1.0,1.0000122785568237,7.357143516628639e-08,0.01088294293731451,0.010882876813411713,-6.075958033147089e-06,0.0,-6.075958033147089e-06,307.0489196777344,0.013657625764608383,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
100,1.0,1.000011920928955,7.099757937112372e-08,0.010882941074669361,0.010882876813411713,-5.9048042857501315e-06,0.0,-5.9048042857501315e-06,304.3943176269531,0.013553762808442116,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
105,0.5,1.0,2.391670195223128e-12,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,0.6297034621238708,5.1703340432140976e-05,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
110,0.5,1.0,2.3849698257971674e-12,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,0.6254965662956238,5.137770131113939e-05,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
115,0.5,1.0,2.3295258951006037e-12,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,0.6230282783508301,5.1191611419199035e-05,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
120,0.5,1.0,2.7561319112384686e-12,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,0.6215760707855225,5.107654942548834e-05,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
125,0.5,1.0,2.8315006589396674e-12,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,0.6207201480865479,5.1011407776968554e-05,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
130,0.5,1.0,2.576529918238424e-12,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,0.6202152371406555,5.097119355923496e-05,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
135,0.5,1.0,2.0753646197413378e-12,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,0.6199171543121338,5.0944596296176314e-05,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
140,0.5,1.0,2.0748170976442326e-12,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,0.6197409629821777,5.093100116937421e-05,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
145,0.5,1.0,2.0744933548755284e-12,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,0.6196369528770447,5.092252104077488e-05,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
150,0.5,1.0,2.0828659977323305e-12,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,0.6195753812789917,5.091598359285854e-05,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
155,0.5,1.0,2.1242558493478336e-12,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,0.6195390224456787,5.0913396989926696e-05,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
160,0.5,1.0,2.1241829909618426e-12,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,0.61951744556427,5.091186540084891e-05,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
165,0.5,1.0,2.1241394060345087e-12,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,0.6195046901702881,5.091095226816833e-05,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
170,0.5,1.0,2.1241131683419345e-12,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,0.6194970607757568,5.0910410209326074e-05,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
175,0.5,1.0,2.1240966884689128e-12,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,0.6194923520088196,5.0910082791233435e-05,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
180,0.5,1.0,2.124086280128057e-12,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,0.6194896697998047,5.0909893616335467e-05,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
185,0.5,1.0,2.124078473872415e-12,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,0.6194879412651062,5.0909769925056025e-05,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
190,0.5,1.0,2.124072836021118e-12,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,0.6194869875907898,5.0909697165479884e-05,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
195,0.5,1.0,2.124069366574166e-12,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,0.6194867491722107,5.090967897558585e-05,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
200,0.5,1.0,2.124069366574166e-12,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,0.6194867491722107,5.090967897558585e-05,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
205,0.2,1.0,0.0,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,6.782333361599058e-09,1.8420681158204388e-07,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
210,0.2,1.0,0.0,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,6.782333361599058e-09,1.8420681158204388e-07,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
215,0.2,1.0,0.0,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,6.782333361599058e-09,1.8420681158204388e-07,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
220,0.2,1.0,0.0,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,6.782333361599058e-09,1.8420681158204388e-07,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
225,0.2,1.0,0.0,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,6.782333361599058e-09,1.8420681158204388e-07,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
230,0.2,1.0,0.0,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,6.782333361599058e-09,1.8420681158204388e-07,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
235,0.2,1.0,0.0,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,6.782333361599058e-09,1.8420681158204388e-07,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
240,0.2,1.0,0.0,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,6.782333361599058e-09,1.8420681158204388e-07,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
245,0.2,1.0,0.0,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,6.782333361599058e-09,1.8420681158204388e-07,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
250,0.2,1.0,0.0,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,6.782333361599058e-09,1.8420681158204388e-07,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
255,0.2,1.0,0.0,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,6.782333361599058e-09,1.8420681158204388e-07,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
260,0.2,1.0,0.0,0.010882876813411713,0.010882876813411713,0.0,0.0,0.0,6.782333361599058e-09,1.8420681158204388e-07,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
