step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,probability_entropy,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,1.0,,,0.3180982172489166,0.4061219096183777,0.21674204293034738,0.0,0.21674204293034738,400.36712646484375,0.01731143891811371,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,1.0,0.9999999403953552,0.0012277805944904685,0.30450117588043213,0.4061219096183777,0.250222239507925,0.0,0.250222239507925,464.6693115234375,0.019663775339722633,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,1.0,0.9999999403953552,0.0022278421092778444,0.22958387434482574,0.4061219096183777,0.4346922219474447,0.0,0.4346922219474447,845.2241821289062,0.032638851553201675,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,1.0,0.9999999403953552,0.0047272611409425735,0.16916219890117645,0.4061219096183777,0.5834694093206303,0.0,0.5834694093206303,1807.7801513671875,0.061287201941013336,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,1.0,0.9999999403953552,0.010168985463678837,0.6099221706390381,0.4061219096183777,-0.5018204046468862,0.0,-0.5018204046468862,3950.724609375,0.1146983951330185,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,1.0,0.9999999403953552,0.022044256329536438,1.7874077558517456,0.4061219096183777,-3.401160620788292,0.0,-3.401160620788292,8826.423828125,0.21158914268016815,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,1.0,0.9999999403953552,0.0465824119746685,4.471311092376709,0.4061219096183777,-10.009775603040685,0.0,-10.009775603040685,19832.36328125,0.37184178829193115,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,1.0,0.9999999403953552,0.08767165243625641,10.05009937286377,0.4061219096183777,-23.746508707958135,0.0,-23.746508707958135,42685.10546875,0.5768071413040161,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
35,1.0,0.9999999403953552,0.12288510799407959,19.18685531616211,0.4061219096183777,-46.244078346306175,0.0,-46.244078346306175,80118.421875,0.6930922269821167,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
40,1.0,0.9999999403953552,0.12394866347312927,17.142072677612305,0.4061219096183777,-41.20917973551407,0.0,-41.20917973551407,71727.2578125,0.6866282224655151,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
45,1.0,0.9999999403953552,0.11607491225004196,13.687036514282227,0.4061219096183777,-32.701792959516965,0.0,-32.701792959516965,57555.23828125,0.6507521867752075,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
50,1.0,0.9999999403953552,0.10789400339126587,11.841058731079102,0.4061219096183777,-28.15641449190919,0.0,-28.15641449190919,49975.66796875,0.617998480796814,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
55,1.0,0.9999999403953552,0.10263831168413162,10.897969245910645,0.4061219096183777,-25.834231268515374,0.0,-25.834231268515374,46094.109375,0.5972877144813538,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
60,1.0,0.9999999403953552,0.09996160864830017,10.465510368347168,0.4061219096183777,-24.769381361821477,0.0,-24.769381361821477,44302.71875,0.586775004863739,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
65,1.0,0.9999999403953552,0.09906988590955734,10.333438873291016,0.4061219096183777,-24.444179761198015,0.0,-24.444179761198015,43739.65625,0.5833274722099304,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
70,1.0,0.9999999403953552,0.09933651983737946,10.386439323425293,0.4061219096183777,-24.574683555450537,0.0,-24.574683555450537,43932.1015625,0.5844766497612,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
75,1.0,0.9999999403953552,0.10034088790416718,10.559406280517578,0.4061219096183777,-25.000582658640557,0.0,-25.000582658640557,44613.04296875,0.5885497331619263,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
80,1.0,0.9999999403953552,0.10181266069412231,10.814852714538574,0.4061219096183777,-25.629572200871934,0.0,-25.629572200871934,45628.63671875,0.5944682359695435,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
