step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,probability_entropy,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,1.0,,,0.0070992461405694485,0.007097688969224691,-0.0002193913189925123,0.0,-0.0002193913189925123,400.36712646484375,0.01731143891811371,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,1.0,1.0004388093948364,0.000772944709751755,0.007090362254530191,0.007097688969224691,0.001032267647436802,0.0,0.001032267647436802,399.400146484375,0.017275089398026466,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,1.0,0.9898561835289001,0.0010697541292756796,0.007050470449030399,0.007097688969224691,0.00665266122522834,0.0,0.00665266122522834,391.38812255859375,0.01696358248591423,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,1.0,0.9699190855026245,0.002244421746581793,0.006968985311686993,0.007097688969224691,0.018133178009878015,0.0,0.018133178009878015,382.1968994140625,0.016577022150158882,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,1.0,0.9288426041603088,0.004825488664209843,0.006792100612074137,0.007097688969224691,0.0430546278479621,0.0,0.0430546278479621,377.4261474609375,0.016308624297380447,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,1.0,0.8331084847450256,0.010317971929907799,0.006354630459100008,0.007097688969224691,0.10469020456469091,0.0,0.10469020456469091,380.62176513671875,0.01620844565331936,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,1.0,0.6127640604972839,0.011284035630524158,0.005445300135761499,0.007097688969224691,0.23280659953231075,0.0,0.23280659953231075,398.3085021972656,0.016305087134242058,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,1.0,0.5726118087768555,0.015606304630637169,0.005372318904846907,0.007097688969224691,0.2430889930312421,0.0,0.2430889930312421,409.6006774902344,0.016181986778974533,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
35,1.0,0.5469940304756165,0.01185626070946455,0.005207517649978399,0.007097688969224691,0.2663079951012228,0.0,0.2663079951012228,395.00433349609375,0.01578630320727825,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
40,1.0,0.5258403420448303,0.004112523980438709,0.0051620639860630035,0.007097688969224691,0.2727120040839327,0.0,0.2727120040839327,375.46746826171875,0.015399239026010036,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
45,1.0,0.5300243496894836,0.011916320770978928,0.005142146721482277,0.007097688969224691,0.2755181660145395,0.0,0.2755181660145395,370.3293151855469,0.015185006894171238,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
50,1.0,0.5180663466453552,0.005341185722500086,0.005106964614242315,0.007097688969224691,0.2804750058243015,0.0,0.2804750058243015,372.1055603027344,0.01506112702190876,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
55,1.0,0.5122202634811401,0.004520883318036795,0.005072004161775112,0.007097688969224691,0.2854006164869821,0.0,0.2854006164869821,367.4587707519531,0.014891372062265873,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
60,1.0,0.5095027685165405,0.001889198087155819,0.005068745464086533,0.007097688969224691,0.28585973743504123,0.0,0.28585973743504123,360.0918884277344,0.014694384299218655,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
65,1.0,0.5102891325950623,0.0031663672998547554,0.005067529622465372,0.007097688969224691,0.28603103849182643,0.0,0.28603103849182643,355.5522766113281,0.014525647275149822,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
70,1.0,0.5071380734443665,0.0012706662528216839,0.005052634049206972,0.007097688969224691,0.2881296896616631,0.0,0.2881296896616631,353.19403076171875,0.014382819645106792,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
75,1.0,0.5062986612319946,0.001644164090976119,0.005049935542047024,0.007097688969224691,0.2885098848451444,0.0,0.2885098848451444,349.7697448730469,0.014235062524676323,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
80,1.0,0.5058006644248962,0.0009141639457084239,0.0050476002506911755,0.007097688969224691,0.28883890621618136,0.0,0.28883890621618136,344.7547607421875,0.014080225490033627,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
85,1.0,0.5055232644081116,0.0011046811705455184,0.00504583865404129,0.007097688969224691,0.28908709920653697,0.0,0.28908709920653697,340.9189758300781,0.013943466357886791,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
90,1.0,0.5049442052841187,0.000258052401477471,0.005043332930654287,0.007097688969224691,0.28944013290495163,0.0,0.28944013290495163,338.68096923828125,0.013826455920934677,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
95,1.0,0.5048460960388184,0.0006626850226894021,0.00504294503480196,0.007097688969224691,0.2894947839123443,0.0,0.2894947839123443,336.01788330078125,0.013708455488085747,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
100,1.0,0.5046462416648865,0.0003508470836095512,0.005041907075792551,0.007097688969224691,0.28964102292252203,0.0,0.28964102292252203,332.4504089355469,0.013584466651082039,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
