step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,probability_entropy,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,1.0,,,0.017633212730288506,0.017632273957133293,-5.3241751886146105e-05,0.0,-5.3241751886146105e-05,400.36712646484375,0.01731143891811371,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,1.0,1.0001064538955688,0.00024606139049865305,0.017622362822294235,0.017632273957133293,0.0005621019083048573,0.0,0.0005621019083048573,399.0948486328125,0.017263546586036682,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,1.0,0.9948961138725281,0.00033489082125015557,0.017573639750480652,0.017632273957133293,0.0033253910865490566,0.0,0.0033253910865490566,392.3803405761719,0.01699657179415226,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,1.0,0.9850717782974243,0.0006987924571149051,0.017474519088864326,0.017632273957133293,0.008946938361580115,0.0,0.008946938361580115,388.197265625,0.016773631796240807,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,1.0,0.964867115020752,0.0015202662907540798,0.017262034118175507,0.017632273957133293,0.020997849730437168,0.0,0.020997849730437168,393.0689697265625,0.016776567324995995,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,1.0,0.918256938457489,0.0033127358183264732,0.016756320372223854,0.017632273957133293,0.04967899132233389,0.0,0.04967899132233389,414.897705078125,0.01709018275141716,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,1.0,0.8399059772491455,0.0030674415174871683,0.016094285994768143,0.017632273957133293,0.0872257297104293,0.0,0.0872257297104293,462.25616455078125,0.01767987385392189,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,1.0,0.8228055834770203,0.004349233116954565,0.01596911810338497,0.017632273957133293,0.09432452432350491,0.0,0.09432452432350491,480.40625,0.01767762564122677,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
35,1.0,0.8097484111785889,0.0031149156857281923,0.015846332535147667,0.017632273957133293,0.10128820742733002,0.0,0.10128820742733002,458.8800354003906,0.017211826518177986,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
40,1.0,0.8067299127578735,0.0011452239705249667,0.01584719680249691,0.017632273957133293,0.10123919121130798,0.0,0.10123919121130798,432.9433898925781,0.016810640692710876,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
45,1.0,0.8096133470535278,0.0019561147782951593,0.015858175233006477,0.017632273957133293,0.10061655850175177,0.0,0.10061655850175177,424.3017272949219,0.016628388315439224,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
50,1.0,0.803867518901825,0.0010416024597361684,0.015799585729837418,0.017632273957133293,0.10393941426678233,0.0,0.10393941426678233,429.9767761230469,0.01661786064505577,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
55,1.0,0.8021654486656189,0.0012259987415745854,0.015792403370141983,0.017632273957133293,0.10434675592406928,0.0,0.10434675592406928,434.9131774902344,0.016609806567430496,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
60,1.0,0.8013204336166382,0.0007515773759223521,0.015781976282596588,0.017632273957133293,0.10493811966823208,0.0,0.10493811966823208,427.75494384765625,0.016477486118674278,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
65,1.0,0.8012261390686035,0.0006806072778999805,0.015783173963427544,0.017632273957133293,0.10487019417921872,0.0,0.10487019417921872,419.2769775390625,0.016317054629325867,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
70,1.0,0.8006767630577087,0.0005848985747434199,0.01577531173825264,0.017632273957133293,0.10531609385126428,0.0,0.10531609385126428,417.8397521972656,0.016225973144173622,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
