step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,probability_entropy,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,1.0,,,0.017633212730288506,0.017632273957133293,-5.3241751886146105e-05,0.0,-5.3241751886146105e-05,400.36712646484375,0.01731143891811371,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,1.0,1.0,0.0002695721632335335,0.017622563987970352,0.017632273957133293,0.0005506929614721434,0.0,0.0005506929614721434,400.4181823730469,0.01731301285326481,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,1.0,1.0,0.0003607393300626427,0.01757487654685974,0.017632273957133293,0.003255247191207067,0.0,0.003255247191207067,401.72747802734375,0.017352880910038948,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,1.0,1.0,0.0007340426091104746,0.017478616908192635,0.017632273957133293,0.008714533889061737,0.0,0.008714533889061737,406.7059326171875,0.01749386265873909,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,1.0,1.0,0.0015756371431052685,0.017271745949983597,0.017632273957133293,0.02044705113056855,0.0,0.02044705113056855,418.729248046875,0.01778821460902691,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,1.0,1.0,0.0034154413733631372,0.016777096316218376,0.017632273957133293,0.04850070064666545,0.0,0.04850070064666545,446.52008056640625,0.018337059766054153,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,1.0,1.0,0.007215931545943022,0.016455482691526413,0.017632273957133293,0.06674075439548166,0.0,0.06674075439548166,509.46502685546875,0.019251618534326553,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,1.0,1.0,0.013573049567639828,0.017329342663288116,0.017632273957133293,0.017180500630925355,0.0,0.017180500630925355,640.2918701171875,0.02042432688176632,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
35,1.0,1.0,0.01900317333638668,0.016197333112359047,0.017632273957133293,0.08138149669536687,0.0,0.08138149669536687,854.730712890625,0.021090935915708542,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
40,1.0,0.9104132652282715,0.013890109024941921,0.017124207690358162,0.016823936253786087,0.02881456288680162,0.04584421188738308,-0.01702964900058146,1071.7996826171875,0.02082153968513012,928,1280,8,0.008620689655172414,0.00625,0.0036363636363636364,920,0.0,0.012500000186264515
45,1.0,0.9104132652282715,0.00837594736367464,0.01874515786767006,0.016823936253786087,-0.06311630100816013,0.04584421188738308,-0.1089605128955432,1243.729248046875,0.02070138230919838,928,1280,8,0.008620689655172414,0.00625,0.0036363636363636364,920,0.0,0.012500000186264515
50,1.0,0.9104132652282715,0.005493949167430401,0.02113295905292034,0.016823936253786087,-0.19853849278304891,0.04584421188738308,-0.244382704670432,1415.7711181640625,0.022395387291908264,928,1280,8,0.008620689655172414,0.00625,0.0036363636363636364,920,0.0,0.012500000186264515
55,1.0,0.9104132652282715,0.010433250106871128,0.022404786199331284,0.016823936253786087,-0.27066912944981936,0.04584421188738308,-0.31651334133720244,1770.4091796875,0.02742011286318302,928,1280,8,0.008620689655172414,0.00625,0.0036363636363636364,920,0.0,0.012500000186264515
60,1.0,0.9104132652282715,0.024445686489343643,0.02226603776216507,0.016823936253786087,-0.26280012528713836,0.04584421188738308,-0.30864433717452144,2654.52587890625,0.035435210913419724,928,1280,8,0.008620689655172414,0.00625,0.0036363636363636364,920,0.0,0.012500000186264515
65,1.0,2.465033531188965,0.21277406811714172,0.023842468857765198,0.027130775153636932,-0.35220612586498046,-0.5386997286677784,0.18649360280279792,4067.519287109375,0.03862199932336807,5736,1280,10,0.0017433751743375174,0.0078125,0.0014273479874393378,5726,0.0,0.015625
70,1.0,2.2300095558166504,0.10094482451677322,0.02443946897983551,0.026330653578042984,-0.3860644996358116,-0.4933214877477947,0.10725698811198314,4869.64013671875,0.035190969705581665,5888,1280,12,0.0020380434782608695,0.009375,0.0016769144773616546,5876,0.0,0.01875000074505806
75,1.0,2.087599992752075,0.07277485728263855,0.024267984554171562,0.026429422199726105,-0.3763389006528981,-0.4989230693658686,0.12258416871297051,5397.1787109375,0.03051173873245716,5664,1280,12,0.00211864406779661,0.009375,0.0017311021350259665,5652,0.0,0.01875000074505806
80,1.0,2.074883222579956,0.020610777661204338,0.02430960163474083,0.02626641094684601,-0.37869917934811603,-0.4896780194490853,0.11097884010096926,5669.83740234375,0.027401871979236603,5440,1280,12,0.0022058823529411764,0.009375,0.0017889087656529517,5428,0.0,0.01875000074505806
