iteration,accepted,accepted_flip_count,hard_rmse,hard_attainment,positive_action_count,gradient_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,True,0,0.4061219096183777,0.0,0,,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,True,256,0.254105806350708,0.3743115051599045,161920,0.4977806806564331,256,1280,0,0.0,0.0,0.0,256,0.0,0.0
2,True,128,0.2034534215927124,0.49903362321946054,161664,0.30396825075149536,384,1280,0,0.0,0.0,0.0,384,0.0,0.0
3,True,128,0.16844584047794342,0.5852333092882686,161536,0.21627014875411987,512,1280,0,0.0,0.0,0.0,512,0.0,0.0
4,True,128,0.13713078200817108,0.6623408420958392,160770,0.14555251598358154,640,1280,0,0.0,0.0,0.0,640,0.0,0.0
5,True,128,0.11732081323862076,0.711119221937905,152572,0.06952068954706192,768,1280,0,0.0,0.0,0.0,768,0.0,0.0
6,True,64,0.10170390456914902,0.7495729677211516,78586,0.040183570235967636,704,1280,0,0.0,0.0,0.0,704,0.0,0.0
7,True,128,0.08691156655550003,0.7859963609518911,156034,0.04349786043167114,704,1280,0,0.0,0.0,0.0,704,0.0,0.0
8,True,32,0.07916141301393509,0.8050796789360095,160667,0.050567369908094406,736,1280,0,0.0,0.0,0.0,736,0.0,0.0
9,True,32,0.07662411034107208,0.811327316930343,158632,0.028534863144159317,768,1280,0,0.0,0.0,0.0,768,0.0,0.0
10,True,32,0.0711337998509407,0.8248461898601253,128631,0.01984395645558834,776,1280,0,0.0,0.0,0.0,776,0.0,0.0
11,True,32,0.06619954854249954,0.8369958700216259,134466,0.017175639048218727,744,1280,0,0.0,0.0,0.0,744,0.0,0.0
12,True,32,0.06224702298641205,0.8467282323061467,157313,0.02811741642653942,776,1280,0,0.0,0.0,0.0,776,0.0,0.0
13,True,32,0.0577530562877655,0.8577937931444414,122078,0.019739914685487747,772,1280,0,0.0,0.0,0.0,772,0.0,0.0
14,False,0,0.0577530562877655,0.8577937931444414,155844,0.014335262589156628,772,1280,0,0.0,0.0,0.0,772,0.0,0.0
