iteration,accepted,accepted_flip_count,hard_rmse,hard_attainment,positive_action_count,gradient_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,True,0,0.017632273957133293,0.0,0,,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,True,32,0.01759592443704605,0.0020615333096350996,928,0.10929299890995026,32,1280,0,0.0,0.0,0.0,32,0.0,0.0
2,True,32,0.01755949854850769,0.004127397793530774,960,0.1104036197066307,64,1280,0,0.0,0.0,0.0,64,0.0,0.0
3,True,32,0.01752299815416336,0.0061974878132904365,992,0.11075525730848312,96,1280,0,0.0,0.0,0.0,96,0.0,0.0
4,True,32,0.017486421391367912,0.008271909007310674,1024,0.11168501526117325,128,1280,0,0.0,0.0,0.0,128,0.0,0.0
5,True,32,0.017449768260121346,0.010350661375591486,1056,0.11319798976182938,160,1280,0,0.0,0.0,0.0,160,0.0,0.0
6,True,32,0.01741303689777851,0.012433850556529458,1088,0.11258334666490555,192,1280,2,0.010416666666666666,0.0015625,0.0013605442176870747,190,0.0,0.0031250000465661287
7,True,32,0.017376229166984558,0.014521370911728004,1120,0.11202391982078552,224,1280,2,0.008928571428571428,0.0015625,0.0013315579227696406,222,0.0,0.0031250000465661287
8,True,32,0.017343956977128983,0.016351661771207282,1152,0.11157935857772827,256,1280,2,0.0078125,0.0015625,0.001303780964797914,254,0.0,0.0031250000465661287
9,False,0,0.017343956977128983,0.016351661771207282,1848,0.2087932676076889,256,1280,2,0.0078125,0.0015625,0.001303780964797914,254,0.0,0.0031250000465661287
