step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,0.5,,,0.05746728554368019,0.05058184638619423,-0.13612470974102808,0.0,-0.13612470974102808,7188.853515625,0.21378415822982788,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,0.5,1.2907794713974,0.006858284119516611,0.05584336817264557,0.05058184638619423,-0.1040199629384706,0.0,-0.1040199629384706,6699.140625,0.21401405334472656,0,161920,0,1,1.0191760063171387,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,0.5,1.0492502450942993,0.007185608148574829,0.05072377994656563,0.05058184638619423,-0.002806017781314951,0.0,-0.002806017781314951,5214.1533203125,0.21922370791435242,0,161920,0,1,1.0879446268081665,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,0.5,0.8747830390930176,0.007877543568611145,0.046632204204797745,0.05058184638619423,0.07808418362668734,0.0,0.07808418362668734,4271.68359375,0.2292124629020691,0,161920,0,1,1.2689604759216309,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,0.5,0.7705551981925964,0.007563464809209108,0.043935153633356094,0.05058184638619423,0.13140470796756598,0.0,0.13140470796756598,3762.74072265625,0.2351684421300888,0,161920,0,1,1.4897689819335938,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,0.5,0.6991274952888489,0.0071117933839559555,0.0419185571372509,0.05058184638619423,0.17127269698300063,0.0,0.17127269698300063,3367.47119140625,0.23776982724666595,0,161920,0,1,1.6486483812332153,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,0.5,0.6397120356559753,0.007078986149281263,0.04008357971906662,0.05058184638619423,0.20755008796976215,0.0,0.20755008796976215,3023.0302734375,0.23885194957256317,0,161920,0,1,1.679735541343689,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,0.5,0.5778083801269531,0.007624922785907984,0.03798000141978264,0.060550350695848465,0.2491377018979507,-0.1970767186619553,0.446214420559906,2749.330810546875,0.2393217235803604,0,158160,3760,2,1.7614930868148804,3760,1280,1280,0.3404255319148936,1.0,0.3404255319148936,2480,1.0,1.0
35,0.5,0.4969680905342102,0.008679007180035114,0.03492437303066254,0.06193834915757179,0.30954728769658424,-0.22451736310039472,0.534064650796979,2594.54443359375,0.23959670960903168,0,158096,3824,2,1.8754100799560547,3824,1280,1280,0.33472803347280333,1.0,0.33472803347280333,2544,1.0,1.0
40,0.5,0.3811708390712738,0.00845897663384676,0.030175315216183662,0.060550350695848465,0.4034358693473932,-0.1970767186619553,0.6005125880093485,2601.67333984375,0.23983711004257202,0,158160,3760,2,2.001875162124634,3760,1280,1280,0.3404255319148936,1.0,0.3404255319148936,2480,1.0,1.0
45,0.2,0.4389493763446808,0.02558690309524536,0.03098059445619583,0.05046289786696434,0.3875155481739858,0.0023516049280153384,0.3851639432459705,2575.460205078125,0.2205517590045929,0,158656,3264,2,2.26615834236145,3264,1280,1280,0.39215686274509803,1.0,0.39215686274509803,1984,1.0,1.0
50,0.2,0.1632121354341507,0.01518815103918314,0.018109913915395737,0.03968200832605362,0.6419681128852852,0.2154891297743453,0.4264789831109399,2037.4908447265625,0.22400842607021332,82,158092,2752,15,2.518021583557129,2752,1280,1280,0.46511627906976744,1.0,0.46511627906976744,1472,1.0,1.0
55,0.2,0.05201246216893196,0.0051356153562664986,0.010628828778862953,0.011848504655063152,0.7898687070908511,0.765755789842083,0.024112917248768073,1653.001220703125,0.22596107423305511,140,158536,1600,15,2.6952874660491943,1600,1280,1216,0.76,0.95,0.7307692307692307,384,0.949999988079071,0.949999988079071
60,0.2,0.03252815455198288,0.0022802583407610655,0.009038178250193596,0.005776583217084408,0.8213157704606753,0.8857973041754944,-0.06448153371481913,1450.129150390625,0.22702232003211975,212,158552,1104,15,2.804621458053589,1104,1280,1104,1.0,0.8625,0.8625,0,0.862500011920929,0.862500011920929
