step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,0.5,,,0.058260660618543625,0.05058184638619423,-0.15180968629973224,0.0,-0.15180968629973224,7522.849609375,0.20765532553195953,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,0.5,1.0,0.006072225980460644,0.05814695358276367,0.05058184638619423,-0.14956170517797185,0.0,-0.14956170517797185,7586.091796875,0.20767346024513245,0,161920,0,1,1.0191755294799805,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,0.5,1.0,0.00813181884586811,0.05770546942949295,0.05058184638619423,-0.14083359055163003,0.0,-0.14083359055163003,7901.46337890625,0.20807954668998718,0,161920,0,1,1.0880225896835327,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,0.5,1.0,0.009971918538212776,0.057690318673849106,0.05058184638619423,-0.1405340610420076,0.0,-0.1405340610420076,8389.7900390625,0.20891441404819489,0,161920,0,1,1.2692943811416626,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,0.5,1.0,0.010280436836183071,0.058592721819877625,0.05058184638619423,-0.15837451587907792,0.0,-0.15837451587907792,8879.0302734375,0.20956569910049438,0,161920,0,1,1.4843418598175049,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,0.5,1.0,0.010210677981376648,0.06016751378774643,0.05058184638619423,-0.18950805647475355,0.0,-0.18950805647475355,9341.2021484375,0.20995162427425385,0,161920,0,1,1.640633463859558,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,0.5,1.0,0.010628816671669483,0.06237828731536865,0.05058184638619423,-0.23321491349106105,0.0,-0.23321491349106105,9829.796875,0.21014304459095,0,161920,0,1,1.668718934059143,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,0.5,0.7550203800201416,0.009289379231631756,0.060366347432136536,0.03707658126950264,-0.19343898542645688,0.26699826284668216,-0.46043724827313903,9594.5390625,0.21020901203155518,0,159296,2624,2,1.8145661354064941,2624,1280,1280,0.4878048780487805,1.0,0.4878048780487805,1344,1.0,1.0
35,0.5,0.08673268556594849,0.0027786102145910263,0.0585935041308403,0.01489656325429678,-0.1583899821188175,0.7054958583251196,-0.8638858404439371,9282.5498046875,0.21034535765647888,0,160176,1744,2,2.0452308654785156,1744,1280,1264,0.7247706422018348,0.9875,0.7181818181818181,480,0.987500011920929,0.987500011920929
40,0.5,0.02314235270023346,0.0011023915139958262,0.05778353288769722,0.007196907885372639,-0.14237690033135308,0.8577175726163891,-1.0000944729477421,9098.4951171875,0.21047015488147736,0,160512,1408,2,2.2348408699035645,1408,1280,1200,0.8522727272727273,0.9375,0.8064516129032258,208,0.9375,0.9375
45,0.2,0.01304225716739893,0.003982342313975096,0.049296677112579346,0.004822473041713238,0.025407717697819243,0.9046600038105869,-0.8792522861127676,4595.61572265625,0.053920928388834,0,160784,1136,2,2.3640942573547363,1136,1280,1136,1.0,0.8875,0.8875,0,0.887499988079071,0.887499988079071
50,0.2,0.00016017220332287252,0.0003356540692038834,0.04854602739214897,0.0006401594146154821,0.04024801662046307,0.9873440876450448,-0.9470960710245817,4556.7265625,0.05411813408136368,0,160656,1264,2,2.4464478492736816,1264,1280,1264,1.0,0.9875,0.9875,0,0.987500011920929,0.987500011920929
55,0.2,4.0429054626015166e-16,2.4027385636671283e-10,0.0482240729033947,0.0010984938126057386,0.046613037112126054,0.9782828447143131,-0.9316698076021871,4550.31201171875,0.05425391346216202,0,160608,1312,2,2.497976064682007,1312,1280,1280,0.975609756097561,1.0,0.975609756097561,32,1.0,1.0
60,0.2,0.0004716346156783402,0.0006446270272135735,0.047816887497901917,0.0010984938126057386,0.0546630675990305,0.9782828447143131,-0.9236197771152826,4512.630859375,0.054319415241479874,0,160608,1312,2,2.5290350914001465,1312,1280,1280,0.975609756097561,1.0,0.975609756097561,32,1.0,1.0
65,0.2,2.256428802943064e-16,1.360036111508478e-10,0.04737793281674385,0.0,0.06334117471688128,1.0,-0.9366588252831187,4460.7109375,0.05434208735823631,0,160640,1280,2,2.5471630096435547,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
70,0.2,4.4253630729016986e-16,2.4847859880772205e-10,0.04710002988576889,0.0,0.06883529861368731,1.0,-0.9311647013863127,4426.8828125,0.054354142397642136,0,160640,1280,2,2.5582001209259033,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
75,0.2,4.759570245454928e-16,2.562990930599085e-10,0.04693356156349182,0.0,0.07212636713273812,1.0,-0.9278736328672619,4406.40185546875,0.054361406713724136,0,160640,1280,2,2.564967393875122,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
80,0.2,3.413633568778864e-16,2.0358087438054895e-10,0.046833209693431854,0.0,0.07411031744751662,1.0,-0.9258896825524834,4393.974609375,0.05436578765511513,0,160640,1280,2,2.569105863571167,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
85,0.2,7.042198571549955e-16,3.809942361598928e-10,0.046772513538599014,0.0,0.07531027670502222,1.0,-0.9246897232949778,4386.4287109375,0.054368410259485245,0,160640,1280,2,2.5716304779052734,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
90,0.2,3.34302596108693e-16,1.903910917810947e-10,0.04673575609922409,0.0,0.07603696902649815,1.0,-0.9239630309735019,4381.84716796875,0.05436999350786209,0,160640,1280,2,2.5731678009033203,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
95,0.2,5.618117546835966e-16,3.1712110715176323e-10,0.04671347886323929,0.0,0.07647738861527142,1.0,-0.9235226113847286,4379.0673828125,0.0543709471821785,0,160640,1280,2,2.5741021633148193,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
100,0.2,3.9099538477115016e-16,2.290121842163373e-10,0.04669998586177826,0.0,0.0767441444263981,1.0,-0.9232558555736019,4377.38134765625,0.05437151715159416,0,160640,1280,2,2.574669599533081,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
105,0.1,1.0087664769942205e-15,1.0251915982806281e-09,0.034747473895549774,0.0,0.31304457274549546,1.0,-0.6869554272545045,3377.306396484375,0.007956335321068764,0,160640,1280,2,2.5750133991241455,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
110,0.1,1.2912628704527256e-15,1.2855504438746834e-09,0.03473325073719025,0.0,0.31332576371371224,1.0,-0.6866742362862878,3376.1640625,0.007955390959978104,0,160640,1280,2,2.575221538543701,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
115,0.1,1.3386404936870924e-15,1.339327981852989e-09,0.0347246490418911,0.0,0.3134958187020864,1.0,-0.6865041812979136,3375.4736328125,0.00795481912791729,0,160640,1280,2,2.575347423553467,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
120,0.1,9.899613926531094e-16,1.1048213455211453e-09,0.03471945971250534,0.0,0.313598411425692,1.0,-0.686401588574308,3375.056396484375,0.007954472675919533,0,160640,1280,2,2.5754234790802,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
125,0.1,1.1627514552117768e-15,1.2449550279569621e-09,0.034716323018074036,0.0,0.3136604236821714,1.0,-0.6863395763178286,3374.8046875,0.007954264059662819,0,160640,1280,2,2.5754692554473877,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
130,0.1,1.1882862163188233e-15,1.1524295961962139e-09,0.034714434295892715,0.0,0.3136977636038283,1.0,-0.6863022363961717,3374.6533203125,0.007954138331115246,0,160640,1280,2,2.5754969120025635,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
135,0.1,9.02774914963685e-16,9.699369085680587e-10,0.034713298082351685,0.0,0.313720226475831,1.0,-0.686279773524169,3374.5615234375,0.007954061962664127,0,160640,1280,2,2.5755136013031006,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
140,0.1,1.1786407345110834e-15,1.1888479090060855e-09,0.034712616354227066,0.0,0.31373370419903257,1.0,-0.6862662958009674,3374.5068359375,0.007954016327857971,0,160640,1280,2,2.575523853302002,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
145,0.1,1.155052666875064e-15,1.3040212243353722e-09,0.03471220284700394,0.0,0.31374187921146623,1.0,-0.6862581207885338,3374.4736328125,0.007953989319503307,0,160640,1280,2,2.5755298137664795,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
150,0.1,1.3826170678799964e-15,1.3635805817813207e-09,0.03471195697784424,0.0,0.3137467400296702,1.0,-0.6862532599703298,3374.4541015625,0.007953972555696964,0,160640,1280,2,2.575533628463745,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
155,0.1,1.096951394770221e-15,1.1563260349234383e-09,0.0347118116915226,0.0,0.313749612331336,1.0,-0.686250387668664,3374.4423828125,0.007953963242471218,0,160640,1280,2,2.575536012649536,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
160,0.1,9.732625616144645e-16,1.0149348028676286e-09,0.034711722284555435,0.0,0.31375137990159196,1.0,-0.686248620098408,3374.435546875,0.007953956723213196,0,160640,1280,2,2.5755372047424316,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
165,0.05,9.423314594795792e-16,1.5509425965731793e-09,0.012721497565507889,0.0,0.7484967735582684,1.0,-0.2515032264417316,1941.19921875,0.0028526231180876493,0,160640,1280,2,2.575538158416748,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
170,0.05,1.207047996100506e-15,1.8756254327456645e-09,0.012721464969217777,0.0,0.7484974179849242,1.0,-0.2515025820150758,1941.1971435546875,0.0028526203241199255,0,160640,1280,2,2.575538396835327,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
175,0.05,1.017771813652073e-15,1.6808969771631155e-09,0.012721450999379158,0.0,0.7484976941677768,1.0,-0.2515023058322232,1941.196533203125,0.0028526191599667072,0,160640,1280,2,2.575538396835327,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
180,0.05,1.1472592226064956e-15,1.7888689418654735e-09,0.012721450999379158,0.0,0.7484976941677768,1.0,-0.2515023058322232,1941.196533203125,0.0028526191599667072,0,160640,1280,2,2.575538396835327,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
185,0.05,1.094375144061147e-15,1.784820069516968e-09,0.012721452862024307,0.0,0.7484976573433963,1.0,-0.25150234265660365,1941.19677734375,0.0028526189271360636,0,160640,1280,2,2.575538396835327,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
190,0.05,1.171394685284678e-15,1.7384914619000824e-09,0.012721455655992031,0.0,0.7484976021068259,1.0,-0.2515023978931741,1941.19677734375,0.0028526189271360636,0,160640,1280,2,2.575538396835327,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
195,0.05,7.325289158620959e-16,1.301652230445427e-09,0.012721458449959755,0.0,0.7484975468702554,1.0,-0.2515024531297446,1941.1971435546875,0.00285261869430542,0,160640,1280,2,2.575538396835327,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
200,0.05,9.70517751348887e-16,1.605638511037455e-09,0.012721461243927479,0.0,0.7484974916336848,1.0,-0.25150250836631516,1941.1973876953125,0.00285261869430542,0,160640,1280,2,2.575538396835327,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
