step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,0.5,,,12.256961822509766,0.4061219096183777,-29.180498840920247,0.0,-29.180498840920247,7188.853515625,0.21378415822982788,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,0.5,910.862548828125,1.417182445526123,12.06342887878418,0.4061219096183777,-28.703959803892072,0.0,-28.703959803892072,6868.8330078125,0.21402284502983093,0,161920,0,1,1.005505084991455,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,0.5,839.8787841796875,0.49657291173934937,11.736326217651367,0.4061219096183777,-27.89853007112985,0.0,-27.89853007112985,5960.9404296875,0.217514306306839,0,161920,0,1,0.9820204973220825,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,0.5,833.341552734375,0.3312782943248749,11.725631713867188,0.4061219096183777,-27.87219683588473,0.0,-27.87219683588473,5258.123046875,0.22058680653572083,0,161920,0,1,0.994623601436615,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,0.5,832.3072509765625,0.2714347541332245,11.711824417114258,0.4061219096183777,-27.83819892435638,0.0,-27.83819892435638,5222.36181640625,0.22033917903900146,0,161920,0,1,1.0596426725387573,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,0.5,829.9410400390625,0.17470179498195648,11.698251724243164,0.4061219096183777,-27.804778681444965,0.0,-27.804778681444965,5447.7333984375,0.21927566826343536,0,161920,0,1,1.1241589784622192,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,0.5,829.140625,0.14091917872428894,11.693643569946289,0.4061219096183777,-27.793431954790385,0.0,-27.793431954790385,5671.0087890625,0.21853183209896088,0,161920,0,1,1.1750686168670654,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,0.5,828.5372314453125,0.11115875840187073,11.688919067382812,0.4061219096183777,-27.78179874207375,0.0,-27.78179874207375,5727.4130859375,0.21828745305538177,0,161920,0,1,1.2046170234680176,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
35,0.5,828.016845703125,0.06836803257465363,11.685930252075195,0.4061219096183777,-27.774439337823864,0.0,-27.774439337823864,5644.2109375,0.2183876782655716,0,161920,0,1,1.2184258699417114,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
40,0.5,827.9441528320312,0.0547771155834198,11.685890197753906,0.4061219096183777,-27.774340711474633,0.0,-27.774340711474633,5533.140625,0.21852095425128937,0,161920,0,1,1.225885033607483,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
45,0.2,6.916628837585449,0.05645009130239487,1.0607017278671265,0.4061219096183777,-1.6117815925366856,0.0,-1.6117815925366856,441.16845703125,0.05587922781705856,0,161920,0,1,1.235792636871338,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
50,0.2,6.3583598136901855,0.04695272073149681,1.014240026473999,0.4061219096183777,-1.4973782562655984,0.0,-1.4973782562655984,435.39007568359375,0.05365816131234169,0,161920,0,1,1.2498831748962402,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
55,0.2,5.783951759338379,0.036943189799785614,0.9681875109672546,0.4061219096183777,-1.383982464469931,0.0,-1.383982464469931,436.9222106933594,0.05131685361266136,0,161920,0,1,1.2663259506225586,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
60,0.2,5.339660167694092,0.02876836434006691,0.9321247339248657,0.4061219096183777,-1.2951845538221747,0.0,-1.2951845538221747,444.1128234863281,0.04933645948767662,0,161920,0,1,1.2829515933990479,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
65,0.2,5.029775619506836,0.022581253200769424,0.9063923358917236,0.4061219096183777,-1.2318232885870088,0.0,-1.2318232885870088,454.9205322265625,0.047806378453969955,0,161920,0,1,1.2979223728179932,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
70,0.2,4.820807456970215,0.017940375953912735,0.888673722743988,0.4061219096183777,-1.188194484703009,0.0,-1.188194484703009,467.63861083984375,0.04666893556714058,0,161920,0,1,1.310504674911499,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
