step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,0.5,,,12.201272964477539,0.4061219096183777,-29.043375340037088,0.0,-29.043375340037088,7522.849609375,0.20765532553195953,0,161920,0,1,1.000000238418579,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,0.5,0.9999999403953552,0.04711763188242912,12.474783897399902,0.4061219096183777,-29.7168453657724,0.0,-29.7168453657724,7886.4755859375,0.20801103115081787,0,161920,0,1,1.0057612657546997,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
5,0.5,0.9999995231628418,0.09029634296894073,14.275565147399902,0.4061219096183777,-34.150935739503154,0.0,-34.150935739503154,9812.345703125,0.21376700699329376,0,161920,0,1,1.0210169553756714,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
10,0.5,0.9999997019767761,0.11364755779504776,17.362728118896484,0.4061219096183777,-41.75250290045123,0.0,-41.75250290045123,12717.9609375,0.22396738827228546,0,161920,0,1,1.1558136940002441,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
15,0.5,0.9999995231628418,0.0941193550825119,19.804601669311523,0.4061219096183777,-47.76516435156478,0.0,-47.76516435156478,14958.45703125,0.22932909429073334,0,161920,0,1,1.3762542009353638,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
20,0.5,0.9999995231628418,0.07048679143190384,21.25564956665039,0.4061219096183777,-51.33810110521685,0.0,-51.33810110521685,16365.7998046875,0.2309422791004181,0,161920,0,1,1.602787971496582,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
25,0.5,0.9999997019767761,0.05511919781565666,22.132102966308594,0.4061219096183777,-53.49620530718365,0.0,-53.49620530718365,17364.18359375,0.2312498390674591,0,161920,0,1,1.7859516143798828,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
30,0.5,0.9999995231628418,0.04810177907347679,22.255592346191406,0.4061219096183777,-53.80027503836081,0.0,-53.80027503836081,17266.4609375,0.23130089044570923,0,161920,0,1,1.9080917835235596,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
35,0.5,0.9999997019767761,0.04637798294425011,22.143047332763672,0.4061219096183777,-53.523153782988274,0.0,-53.523153782988274,16842.9296875,0.23134036362171173,0,161920,0,1,1.9835115671157837,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
40,0.5,24.07951545715332,0.1991172879934311,22.098417282104492,1.420494556427002,-53.41326054747898,-2.497704809282031,-50.91555573819694,16627.998046875,0.2313527762889862,0,157780,0,2,2.0310637950897217,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
